,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"37,291","43,504","33,294","46,232","40,355","33,944","47,949","30,946","35,961","40,639","38,032"
Market Cap Growth,-2.67%,16.66%,-23.47%,38.86%,-12.71%,-15.89%,41.26%,-35.46%,16.21%,13.01%,-
Enterprise Value,"72,886","86,003","76,292","85,598","77,934","67,988","81,231","64,451","68,141","71,682","68,953"
PE Ratio,31.26,42.40,146.67,83.75,1494.62,22.92,21.90,260.05,20.16,15.95,15.70
PS Ratio,2.65,2.68,2.31,3.54,2.95,2.40,3.63,2.65,2.17,2.12,2.40
PB Ratio,2.85,1.28,0.95,1.34,1.20,1.01,1.42,0.98,1.17,1.32,1.26
P/FCF Ratio,49.52,50.88,22.87,20.96,26.36,15.13,18.73,7.91,7.44,12.12,11.14
P/OCF Ratio,9.05,9.74,6.27,9.72,8.77,6.73,10.10,6.80,6.30,8.18,6.82
EV/Sales Ratio,5.18,5.30,5.30,6.56,5.69,4.81,6.15,5.51,4.10,3.73,4.34
EV/EBITDA Ratio,13.46,15.60,14.74,15.18,12.54,10.61,11.09,14.79,11.79,10.30,9.60
EV/EBIT Ratio,20.19,24.77,26.60,24.95,19.72,16.53,16.52,29.36,18.69,15.02,13.94
EV/FCF Ratio,96.79,100.59,52.40,38.80,50.90,30.31,31.73,16.48,14.10,21.38,20.20
Debt / Equity Ratio,2.76,1.26,1.23,1.16,1.13,1.11,1.02,1.10,1.08,1.03,1.02
Debt / EBITDA Ratio,6.68,7.77,8.35,7.10,6.09,5.82,4.69,7.96,5.76,4.57,4.32
Debt / FCF Ratio,48.07,50.07,29.69,18.16,24.72,16.64,13.43,8.87,6.89,9.48,9.08
Quick Ratio,0.38,0.31,0.38,0.35,0.28,0.63,0.49,0.49,0.47,0.37,0.25
Current Ratio,0.64,0.59,0.70,0.55,0.44,0.76,0.64,0.63,0.66,0.55,0.39
Asset Turnover,0.19,0.21,0.17,0.16,0.17,0.18,0.17,0.16,0.24,0.28,0.23
Interest Coverage,2.16,1.93,1.40,1.90,2.16,2.15,2.73,1.38,2.44,3.15,2.79
Return on Equity (ROE),8.90%,5.70%,0.60%,1.60%,0.10%,4.40%,6.50%,0.40%,5.70%,8.30%,8.10%
Return on Assets (ROA),1.60%,1.30%,0.30%,0.70%,0.00%,1.90%,2.90%,0.20%,2.50%,3.70%,3.60%
Return on Capital (ROIC),4.99%,3.55%,0.97%,2.07%,0.43%,3.92%,5.03%,0.47%,3.77%,5.08%,5.41%
Earnings Yield,3.20%,2.36%,0.68%,1.19%,0.07%,4.36%,4.57%,0.38%,4.96%,6.27%,6.49%
FCF Yield,2.02%,1.97%,4.37%,4.77%,3.79%,6.61%,5.34%,12.64%,13.44%,8.25%,8.97%
Dividend Yield,4.30%,4.00%,12.90%,2.40%,2.80%,4.70%,4.50%,7.60%,6.80%,6.10%,6.60%
Payout Ratio,135.70%,191.00%,1930.00%,200.00%,5000.00%,109.80%,99.00%,2076.00%,137.60%,98.50%,103.67%
Buyback Yield / Dilution,-14.10%,-9.75%,-92.88%,-1.69%,-,0.63%,-2.17%,0.04%,-0.13%,0.35%,1.02%
Total Shareholder Return,-9.80%,-5.75%,-79.98%,0.71%,2.80%,5.33%,2.33%,7.64%,6.67%,6.45%,7.62%
