,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,774","11,193","10,489","12,729","14,313","15,935","18,895","19,297","22,930","22,988","18,277"
Market Cap Growth,17.71%,27.57%,-6.29%,21.35%,12.45%,11.34%,18.57%,2.13%,18.82%,0.25%,-
Enterprise Value,"15,150","18,107","17,773","20,554","22,722","24,955","28,676","30,734","36,526","37,833","34,287"
PE Ratio,30.36,19.10,16.65,19.49,27.37,19.55,22.82,22.16,23.16,21.40,15.73
PS Ratio,1.50,1.85,1.72,2.10,2.32,2.53,3.20,3.33,3.59,2.89,2.31
PB Ratio,1.34,1.67,1.51,1.79,1.99,2.09,2.35,2.16,2.36,2.19,1.66
P/FCF Ratio,32.62,-38.07,169.18,-909.19,-185.88,-94.85,-69.47,-12.28,-12.31,-20.58,-22.86
P/OCF Ratio,5.18,7.15,5.16,6.01,6.76,7.34,8.71,11.17,13.80,10.16,6.78
EV/Sales Ratio,2.60,2.99,2.91,3.38,3.68,3.97,4.85,5.30,5.71,4.75,4.32
EV/EBITDA Ratio,9.10,8.99,8.36,9.13,9.60,10.44,11.98,11.83,13.01,11.92,10.21
EV/EBIT Ratio,15.18,13.89,13.18,14.51,15.25,17.18,20.62,21.27,23.87,21.79,18.32
EV/FCF Ratio,56.32,-61.59,286.66,-1468.12,-295.09,-148.54,-105.43,-19.55,-19.62,-33.87,-41.48
Debt / Equity Ratio,0.98,1.03,1.09,1.10,1.17,1.18,1.22,1.30,1.40,1.44,1.45
Debt / EBITDA Ratio,3.85,3.44,3.57,3.48,3.56,3.78,4.09,4.46,4.85,4.76,4.77
Debt / FCF Ratio,23.81,-23.53,122.19,-559.57,-109.34,-53.79,-36.02,-7.36,-7.31,-13.51,-18.63
Quick Ratio,0.38,0.34,0.49,0.30,0.29,0.32,0.30,0.41,0.30,0.40,0.26
Current Ratio,0.80,0.75,0.92,0.60,0.55,0.57,0.57,0.76,0.70,0.79,0.52
Asset Turnover,0.27,0.28,0.26,0.25,0.24,0.24,0.21,0.19,0.19,0.21,0.21
Interest Coverage,2.51,3.82,3.80,3.71,3.81,3.62,3.65,3.45,3.99,3.57,3.45
Return on Equity (ROE),4.50%,8.80%,9.20%,9.30%,7.30%,10.90%,10.50%,10.30%,10.50%,10.60%,10.80%
Return on Assets (ROA),1.30%,2.70%,2.70%,2.70%,2.10%,3.00%,2.90%,2.90%,2.90%,2.90%,3.00%
Return on Capital (ROIC),4.40%,5.60%,5.50%,5.58%,4.30%,6.31%,5.82%,5.38%,4.94%,5.08%,5.05%
Earnings Yield,3.29%,5.24%,6.01%,5.13%,3.65%,5.11%,4.38%,4.51%,4.32%,4.67%,6.33%
FCF Yield,3.07%,-2.63%,0.59%,-0.11%,-0.54%,-1.05%,-1.44%,-8.15%,-8.12%,-4.86%,-4.71%
Dividend Yield,4.40%,3.50%,3.80%,4.10%,3.00%,2.80%,2.50%,2.60%,2.50%,2.70%,3.62%
Payout Ratio,134.50%,66.50%,63.70%,79.60%,82.30%,55.30%,57.00%,56.70%,57.00%,56.70%,57.01%
Buyback Yield / Dilution,-0.62%,0.04%,0.33%,0.08%,-0.33%,-0.66%,-0.53%,-0.65%,-3.58%,-0.74%,-1.50%
Total Shareholder Return,3.78%,3.54%,4.13%,4.18%,2.67%,2.14%,1.97%,1.95%,-1.08%,1.96%,2.12%
