,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,3289000000,2277000000,1930000000,1486000000,2946000000,2550000000,3397000000,3336000000,1176000000,4531000000,3923000000,3307000000,3246000000,4480000000,3813000000,2479000000,3332000000,2357000000,3237000000,2233000000
paymentsForOperatingActivities,646000000,214000000,894000000,1213000000,1822000000,399000000,212000000,1215000000,3832000000,387000000,260000000,230000000,3000000000,222000000,257000000,2153000000,3724000000,1490000000,265000000,245000000
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,1906000000,-1224000000,145000000,-129000000,1178000000,-792000000,1478000000,702000000,1540000000,122000000,264000000,127000000,836000000,-958000000,236000000,374000000,164000000,-1791000000,-733000000,235000000
changeInOperatingAssets,2062000000,-1429000000,214000000,-406000000,1640000000,-1432000000,1026000000,-337000000,2087000000,-798000000,190000000,373000000,2070000000,-1234000000,476000000,-166000000,1129000000,-2316000000,-769000000,457000000
depreciationDepletionAndAmortization,545000000,19000000,18000000,18000000,607000000,18000000,20000000,20000000,437000000,23000000,23000000,24000000,502000000,28000000,28000000,28000000,629000000,29000000,28000000,31000000
capitalExpenditures,1793000000,1514000000,1347000000,1475000000,2044000000,933000000,1132000000,1154000000,2193000000,834000000,836000000,900000000,1624000000,548000000,840000000,890000000,2491000000,609000000,1211000000,1289000000
changeInReceivables,1517000000,-1301000000,484000000,-26000000,1560000000,-1223000000,1118000000,-247000000,1914000000,-435000000,-4000000,460000000,2126000000,-1227000000,407000000,-202000000,1344000000,-2254000000,-644000000,18000000
changeInInventory,-2228000000,-1574000000,-1132000000,-883000000,-1921000000,-3149000000,-3038000000,-3944000000,-3302000000,-3937000000,,,,,,,,,,
profitLoss,543000000,1111000000,1685000000,1750000000,-198000000,965000000,1768000000,1957000000,-4288000000,4792000000,2676000000,2329000000,3093000000,2662000000,2849000000,2584000000,3453000000,1895000000,2081000000,1127000000
cashflowFromInvestment,-1831000000,-1416000000,-1431000000,-1180000000,-2034000000,-934000000,-1009000000,-1163000000,-2177000000,-766000000,32000000,-866000000,-2218000000,-572000000,-927000000,-909000000,-5064000000,-1813000000,-1046000000,-1070000000
cashflowFromFinancing,-1432000000,-695000000,-839000000,-320000000,127000000,2167000000,-2566000000,-2157000000,-1961000000,-1945000000,-2093000000,-1818000000,-967000000,-1970000000,-3316000000,-2189000000,-3710000000,4000000,-3586000000,-1603000000
proceedsFromRepaymentsOfShortTermDebt,140000000,-1217000000,1166000000,-1049000000,1410000000,-91000000,-801000000,-1032000000,-538000000,697000000,-199000000,-498000000,0,0,0,0,0,0,0,415000000
paymentsForRepurchaseOfCommonStock,230000000,246000000,257000000,248000000,253000000,220000000,11000000,-7000000,0,0,0,500000000,0,254000000,988000000,952000000,1306000000,751000000,747000000,752000000
paymentsForRepurchaseOfEquity,241000000,246000000,257000000,248000000,253000000,220000000,11000000,-7000000,0,0,0,500000000,0,254000000,988000000,952000000,1306000000,751000000,747000000,752000000
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
dividendPayout,751000000,799000000,800000000,798000000,797000000,840000000,843000000,845000000,846000000,858000000,860000000,860000000,859000000,1284000000,1283000000,1275000000,1272000000,1348000000,1345000000,1341000000
dividendPayoutCommonStock,751000000,799000000,800000000,798000000,797000000,840000000,843000000,845000000,846000000,858000000,860000000,860000000,859000000,1284000000,1283000000,1275000000,1272000000,1348000000,1345000000,1341000000
dividendPayoutPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,64000000,47000000,82000000,32000000,57000000,70000000,61000000,83000000,71000000,78000000,63000000,55000000,55000000,67000000,69000000,62000000,64000000,49000000,70000000,71000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,150000000,2141000000,512000000,2149000000,403000000,4253000000,183000000,567000000,0,0,0,0,0,0,0,0,0,2503000000,0,43000000
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
