,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"73,783","80,433","74,637","87,312","88,916","73,855","92,603","70,185","83,289","64,797","64,600"
Market Cap Growth,22.85%,9.01%,-7.21%,16.98%,1.84%,-16.94%,25.38%,-24.21%,18.67%,-22.20%,-
Enterprise Value,"112,963","131,932","123,445","118,893","118,321","107,881","134,088","60,668","98,305","82,300","65,220"
PE Ratio,13.29,14.41,13.31,15.62,15.04,10.89,14.07,15.19,10.95,11.78,12.39
PS Ratio,4.09,4.30,3.94,4.45,4.38,3.49,4.33,3.61,3.49,2.92,2.62
PB Ratio,1.80,1.85,1.62,1.85,1.81,1.45,1.79,1.32,1.52,1.28,1.22
P/FCF Ratio,6.45,15.08,8.50,16.36,13.74,6.99,18.94,18.89,8.44,3.07,4.33
P/OCF Ratio,6.45,15.08,8.50,16.36,13.74,6.99,18.94,18.89,8.44,3.07,4.33
EV/Sales Ratio,6.26,7.05,6.51,6.06,5.83,5.10,6.27,3.12,4.11,3.71,2.64
EV/EBITDA Ratio,13.47,15.63,14.60,13.96,14.88,11.83,14.79,9.26,9.24,10.49,8.27
EV/EBIT Ratio,14.36,16.62,15.48,14.77,15.81,12.47,15.66,10.07,9.69,11.29,9.39
EV/FCF Ratio,9.87,24.74,14.06,22.28,18.28,10.21,27.43,16.33,9.96,3.90,4.37
Debt / Equity Ratio,1.16,1.43,1.30,1.00,1.00,1.09,1.23,1.00,0.80,1.40,1.22
Debt / EBITDA Ratio,5.68,7.36,7.09,5.55,6.15,6.09,7.05,8.10,4.13,9.05,8.24
Debt / FCF Ratio,4.16,11.66,6.83,8.86,7.56,5.25,13.07,14.28,4.45,3.36,4.36
Asset Turnover,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
Return on Equity (ROE),13.80%,13.00%,12.50%,11.80%,12.20%,13.60%,12.50%,8.80%,14.30%,11.10%,9.80%
Return on Assets (ROA),1.50%,1.40%,1.30%,1.30%,1.30%,1.50%,1.40%,0.80%,1.40%,0.90%,0.80%
Return on Capital (ROIC),6.49%,5.58%,5.58%,6.27%,6.38%,6.68%,6.00%,4.69%,8.07%,4.79%,4.68%
Earnings Yield,7.52%,6.94%,7.51%,6.40%,6.65%,9.19%,7.11%,6.58%,9.13%,8.49%,7.95%
FCF Yield,15.51%,6.63%,11.77%,6.11%,7.28%,14.30%,5.28%,5.29%,11.85%,32.59%,23.09%
Dividend Yield,2.20%,2.10%,2.40%,2.10%,2.20%,2.90%,2.70%,3.60%,3.10%,4.30%,4.72%
Payout Ratio,29.30%,31.10%,31.80%,32.90%,32.90%,32.30%,38.00%,54.90%,34.40%,50.90%,58.51%
Buyback Yield / Dilution,2.48%,1.95%,2.26%,2.71%,2.38%,2.67%,3.36%,4.61%,1.32%,-,-4.24%
Total Shareholder Return,4.68%,4.05%,4.66%,4.81%,4.58%,5.57%,6.06%,8.21%,4.42%,4.30%,0.48%
