,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"8,477","10,654","11,147","15,705","19,505","21,453","22,405","62,580","28,905","53,542"
Cash & Cash Equivalents,"8,477","10,654","11,147","15,705","19,505","21,453","22,405","62,580","28,905","53,542"
Cash Growth,2.73%,25.68%,4.63%,40.89%,24.20%,9.99%,4.44%,179.31%,-53.81%,85.23%
"Property, Plant & Equipment","2,606","2,618","2,513","2,443","2,432","2,457","3,702","3,468","3,305","3,858"
Goodwill and Intangibles,"12,734","12,551","12,711","12,647","12,662","12,761","12,878","12,782","14,000","19,528"
Total Assets,"364,021","402,529","421,853","445,964","462,040","467,374","495,426","553,905","573,284","674,805"
Total Liabilities,"322,214","358,361","375,036","398,031","412,374","415,717","442,943","500,180","517,897","623,573"
Total Debt,"47,657","62,153","59,955","47,286","48,910","55,479","63,890","53,063","43,921","71,045"
Debt Growth,-8.03%,30.42%,-3.54%,-21.13%,3.43%,13.43%,15.16%,-16.95%,-17.23%,61.76%
Common Stock,"3,517","1,845",773,"-1,318","-3,698","-5,714","-9,960","-11,415","-12,340","-9,728"
Retained Earnings,"38,667","42,530","46,377","50,151","54,142","59,065","63,186","64,188","69,201","71,901"
Comprehensive Income,"-1,071",-896,"-1,019","-1,535","-1,404","-2,322","-1,373",322,"-1,943","-11,407"
Shareholders' Equity,"41,113","43,479","46,131","47,298","49,040","51,029","51,853","53,095","54,918","50,766"
Net Cash / Debt,"-39,180","-51,499","-48,808","-31,581","-29,405","-34,026","-41,485","9,517","-15,016","-17,503"
Net Cash Per Share,-21.19,-28.41,-27.54,-18.32,-17.47,-20.77,-26.21,6.30,-10.08,-11.75
Book Value Per Share,22.36,24.11,26.15,27.53,29.24,31.23,32.80,35.19,36.88,34.09
