,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"5,712","6,227","6,780","7,256","7,911","8,352","10,620","12,731","14,205","14,556"
Revenue Growth (YoY),10.59%,9.01%,8.88%,7.03%,9.02%,5.57%,27.16%,19.87%,11.57%,2.47%
Cost of Revenue,"3,761","4,083","4,454","4,764","5,209","5,480","6,859","8,254","9,233","9,328"
Gross Profit,"1,950","2,143","2,325","2,492","2,703","2,872","3,762","4,477","4,972","5,228"
Other Operating Expenses,114.64,123.57,142.96,165.83,177.35,195.98,217.12,270.16,343.06,0
Operating Expenses,"1,361","1,493","1,631","1,806","2,001","2,129","2,696","3,170","3,537","3,356"
Operating Income,589.47,650.51,694.08,686.38,701.74,743.22,996.93,"1,307","1,435","1,479"
Interest Expense,1.89,2.89,5.81,13.86,18.35,19.84,28.78,26.61,30.63,46.51
Pretax Income,587.59,647.62,688.27,672.52,683.39,723.38,968.15,"1,280","1,404","1,432"
Income Tax,216.7,237.22,251.15,249.92,151.03,161.02,219.19,282.97,315.6,325.18
Net Income,370.89,410.4,437.12,422.6,532.36,562.35,748.96,997.11,"1,089","1,107"
Net Income Growth,12.99%,10.65%,6.51%,-3.32%,25.97%,5.63%,33.18%,33.13%,9.19%,1.70%
Shares Outstanding (Basic),138,136,133,128,123,120,116,115,111,109
Shares Outstanding (Diluted),139,137,134,128,123,121,117,116,112,110
Shares Change,-1.61%,-1.86%,-2.22%,-4.19%,-3.69%,-2.21%,-2.74%,-1.37%,-3.17%,-2.14%
EPS (Basic),2.69,3.03,3.29,3.31,4.34,4.70,6.44,8.69,9.78,10.15
EPS (Diluted),2.66,3.00,3.27,3.30,4.31,4.66,6.38,8.61,9.71,10.09
EPS Growth,14.66%,12.78%,9.00%,0.92%,30.61%,8.12%,36.91%,34.95%,12.78%,3.91%
Free Cash Flow,248.57,192.68,413.02,381.05,415.86,594.27,"1,101",510.29,583.61,580.15
Free Cash Flow Per Share,1.78,1.41,3.09,2.97,3.37,4.92,9.37,4.41,5.20,5.29
Gross Margin,34.15%,34.42%,34.30%,34.34%,34.16%,34.38%,35.42%,35.17%,35.00%,35.92%
Operating Margin,10.32%,10.45%,10.24%,9.46%,8.87%,8.90%,9.39%,10.26%,10.10%,10.16%
Profit Margin,6.49%,6.59%,6.45%,5.82%,6.73%,6.73%,7.05%,7.83%,7.66%,7.61%
Free Cash Flow Margin,4.35%,3.09%,6.09%,5.25%,5.26%,7.12%,10.36%,4.01%,4.11%,3.99%
Effective Tax Rate,36.88%,36.63%,36.49%,37.16%,22.10%,22.26%,22.64%,22.11%,22.47%,22.70%
EBITDA,704.11,774.08,837.04,852.22,879.09,939.2,"1,283","1,577","1,778","1,872"
EBITDA Margin,12.33%,12.43%,12.35%,11.74%,11.11%,11.25%,12.08%,12.39%,12.52%,12.86%
Depreciation & Amortization,114.64,123.57,142.96,165.83,177.35,195.98,217.12,270.16,343.06,393.05
EBIT,589.47,650.51,694.08,686.38,701.74,743.22,"1,066","1,307","1,435","1,479"
EBIT Margin,10.32%,10.45%,10.24%,9.46%,8.87%,8.90%,10.04%,10.26%,10.10%,10.16%
