,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31
Net Income,-,547,305,224,"1,385",267,320,"2,272",302,267,-612,165,524,"1,436",778,451,-757,177,419,-27,480,333,-821,9,157,223,259,392,"2,553",513,250,409,-304,501,418,464,642
Depreciation & Amortization,-,997,973,989,988,989,960,954,872,840,792,737,682,635,655,641,645,639,648,632,616,690,641,642,652,674,639,643,641,621,621,620,618,656,651,654,655
Share-Based Compensation,-,58,90,113,204,163,140,129,126,145,107,97,79,103,83,56,44,75,74,58,61,93,67,55,59,113,105,86,78,128,114,64,85,140,126,91,71
Other Operating Activities,-,"-1,034",-180,737,"-2,735","-1,494",-313,"-1,641","1,010","-2,442",452,-44,-454,"-2,032","-1,269",101,"1,394",-509,-154,533,275,"-1,195",213,766,-121,-47,-181,9,-316,"-1,338",-606,161,"2,637","-2,126",-306,316,"1,475"
Operating Cash Flow,-,568,"1,188","2,063",-158,-75,"1,107","1,714","2,310","-1,190",739,955,831,142,247,"1,249","1,326",382,987,"1,196","1,432",-79,100,"1,472",747,963,822,"1,130","2,956",-76,379,"1,254","3,036",-829,889,"1,525","2,843"
Operating Cash Flow Growth,-,-,-,-,-,-,-6.82%,-16.92%,-,-,-33.24%,-44.28%,-64.03%,-,-66.58%,30.79%,59.57%,169.01%,299.60%,-4.24%,7.99%,-,-89.87%,23.08%,-47.84%,-,722.00%,-23.23%,295.72%,-,-53.89%,10.97%,2.71%,-,134.56%,21.61%,-6.36%
Capital Expenditures,-,-688,-569,"-1,082",-625,-756,-596,-743,-735,-839,-700,-463,-456,-554,-516,-498,-294,-572,-585,-548,-554,-106,-502,-548,-524,-400,-454,-604,-690,-501,-590,-667,-762,-635,-602,-569,-420
Acquisitions,-,-1,-138,"-2,425",60,65,237,"2,464",554,-312,"-1,758",0,-152,0,-16,-178,0,-76,0,-5,"-1,445",-6,-7,0,-853,0,-34,-99,-372,0,0,0,0,-32,-374,-355,0
Change in Investments,-,-21,34,56,-14,-1,-70,30,-30,-6,-18,7,10,-3,80,-13,1,-4,-19,2,8,-51,6,-4,-4,-6,-3,-24,-12,23,9,168,7,4,-5,-1,-4
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-177,-158,-327,-574,303,329,53,36,156,216,-67,99,463,-498,-43,-246,-88,241,-5,143,89,102,-108,-574,48,-91,326
Investing Cash Flow,-,-710,-673,"-3,451",-579,-692,-429,"1,751",-211,"-1,157","-2,653",-614,-925,"-1,131",-149,-360,-240,-616,-448,-335,"-2,058",-64,-40,"-1,050","-1,424",-652,-579,-486,"-1,079",-335,-492,-397,-863,"-1,237",-933,"-1,016",-98
Dividends Paid,-,-10,0,0,-22,-96,-94,-91,-92,-109,-107,-107,-105,-120,-116,-170,-164,-157,-154,-150,-147,-156,-154,-154,-154,-155,-156,-157,-157,-155,-156,-156,-154,-156,-155,-154,-154
Share Issuance / Repurchase,-,0,0,0,0,"-1,193",-1,"-1,389",-38,-683,-642,-570,-553,-725,-835,-921,-971,-831,-548,-562,-260,-247,-155,13,-2,-34,7,9,-224,-186,-61,-183,-135,-180,-105,-181,-61
Debt Issued / Paid,-,119,21,-271,"14,427",193,-13,-17,7,10,"-1,543","2,607","-2,580",14,-38,"-1,536",-116,43,47,73,"1,098",17,"2,699","2,666","-3,483",-262,189,400,"-2,806",696,-398,383,"-1,285",345,416,2,-979
Other Financing Activities,-,226,-329,"1,714","-6,600",526,-28,5,-9,-,"2,449","-2,615","4,712",-98,205,-1,-,-,-,-,-,1,-8,-,-,-8,-,-,-10,-,-,-,-6,-,-2,2,-
Financing Cash Flow,-,335,-308,"1,443","7,805",-570,-136,"-1,492",-132,-782,157,-685,"1,474",-929,-784,"-2,628","-1,251",-945,-655,-639,691,-385,"2,382","2,525","-3,639",-459,40,252,"-3,197",355,-615,44,"-1,580",9,154,-331,"-1,194"
Exchange Rate Effect,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-279,138,1,-1,-102
Net Cash Flow,-,193,207,55,"7,068","-1,337",542,"1,973","1,967","-3,129","-1,757",-344,"1,380","-1,918",-686,"-1,739",-165,"-1,179",-116,222,65,-528,"2,442","2,947","-4,316",-148,283,896,"-1,320",-56,-728,901,314,"-1,919",111,177,"1,449"
Free Cash Flow,-,-120,619,981,-783,-831,511,971,"1,575","-2,029",39,492,375,-412,-269,751,"1,032",-190,402,648,878,-185,-402,924,223,563,368,526,"2,266",-577,-211,587,"2,274","-1,464",287,956,"2,423"
Free Cash Flow Growth,-,-,-,-,-,-,-17.45%,-1.02%,-,-,-92.37%,-49.33%,-76.19%,-,-,52.64%,175.20%,-,-,-13.72%,-14.92%,-,-,42.59%,-74.60%,-,-,-43.07%,916.14%,-,-,11.60%,0.35%,-,-,62.86%,6.55%
Free Cash Flow Margin,-,-0.92%,4.93%,7.51%,-,-6.53%,6.01%,12.13%,30.09%,-29.40%,0.57%,6.56%,4.90%,-5.37%,-3.60%,9.67%,12.99%,-2.52%,5.62%,8.98%,12.17%,-2.66%,-6.69%,13.56%,3.09%,8.24%,5.49%,7.63%,30.81%,-8.29%,-3.14%,8.44%,28.89%,-18.75%,4.12%,13.65%,32.96%
Free Cash Flow Per Share,-,-0.07,0.34,0.54,-0.43,-0.47,0.30,0.58,0.93,-1.22,0.02,0.30,0.23,-0.26,-0.17,0.50,0.71,-0.14,0.29,0.49,0.67,-0.14,-0.31,0.71,0.17,0.43,0.28,0.40,1.73,-0.44,-0.16,0.45,1.76,-1.13,0.22,0.74,1.87
