,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31
Revenue,-,"13,053","12,549","13,057","-7,582","12,724","8,509","8,005","5,234","6,902","6,808","7,501","7,660","7,674","7,468","7,764","7,946","7,553","7,150","7,217","7,215","6,949","6,009","6,816","7,208","6,833","6,700","6,897","7,354","6,961","6,713","6,951","7,871","7,809","6,973","7,002","7,351"
Revenue Growth (YoY),-,-,-,-,-,-2.52%,-32.19%,-38.69%,-,-45.76%,-19.99%,-6.30%,46.35%,11.19%,9.69%,3.51%,3.73%,-1.58%,-4.26%,-7.05%,-9.20%,-8.00%,-15.96%,-5.56%,-0.10%,-1.67%,11.50%,1.19%,2.03%,1.87%,0.19%,0.78%,7.03%,12.18%,3.87%,0.73%,-6.61%
Cost of Revenue,-,"9,370","8,904","9,249","-6,750","9,054","5,406","5,025","4,484","4,623","4,734","5,240","5,340","5,437","5,140","5,330","5,436","5,134","4,770","4,694","4,747","4,594","4,024","4,684","4,940","4,486","4,359","4,464","4,887","4,571","4,392","4,501","5,216","5,073","4,371","4,390","4,679"
Gross Profit,-,"3,683","3,645","3,808",-832,"3,670","3,103","2,980",750,"2,279","2,074","2,261","2,320","2,237","2,328","2,434","2,510","2,419","2,380","2,523","2,468","2,355","1,985","2,132","2,268","2,347","2,341","2,433","2,467","2,390","2,321","2,450","2,655","2,736","2,602","2,612","2,672"
"Selling, General & Admin",-,"1,973","1,974","2,040",-845,"1,998","1,648","1,575",481,"1,204","1,229","1,285","1,294","1,218","1,245","1,221","1,237","1,211","1,214","1,253","1,229","1,218","1,109","1,131","1,166","1,159","1,199","1,291","1,280","1,201","1,249","1,229","1,262","1,257","1,269","1,302","1,332"
Research & Development,-,532,552,602,-10,585,621,551,-40,356,376,390,368,389,403,435,440,466,457,481,438,485,450,455,484,468,503,506,502,504,517,509,515,623,570,578,578
Other Operating Expenses,0,383,630,864,-577,645,322,314,159,200,209,319,875,334,244,219,109,213,200,791,266,231,"1,189",469,411,439,307,303,"-2,064",191,200,192,"1,155",187,153,159,142
Operating Expenses,-,"2,888","3,156","3,506","-1,432","3,228","2,591","2,440",600,"1,760","1,814","1,994","2,537","1,941","1,892","1,875","1,786","1,890","1,871","2,525","1,933","1,934","2,748","2,055","2,061","2,066","2,009","2,100",-282,"1,896","1,966","1,930","2,932","2,067","1,992","2,039","2,052"
Operating Income,-,795,489,302,600,442,512,540,150,519,260,267,-217,296,436,559,724,529,509,-2,535,421,-763,77,207,281,332,333,"2,749",494,355,520,-277,669,610,573,620
Interest Expense / Income,-,81,91,54,25,138,113,133,155,144,151,153,144,89,148,133,182,124,93,144,113,92,139,136,-152,103,11,50,106,5,0,74,109,25,54,50,27
Other Expense / Income,-,-,-,-,179,-15,71,"-1,972",-764,24,130,109,-206,910,476,-38,-49,-250,-24,119,-301,-49,9,-25,234,-27,33,-123,-45,-4,79,-18,-29,21,34,-13,44
Pretax Income,-,714,398,248,396,319,328,"2,379",759,351,-21,5,-155,-703,-188,464,591,655,440,-265,723,378,-911,-34,125,205,288,406,"2,688",493,276,464,-357,623,522,536,549
Income Tax,-,167,93,24,-989,52,8,107,457,84,591,-160,-679,"-2,139",-966,13,"1,348",478,21,-238,243,45,-90,-43,-32,-18,29,14,135,-20,26,55,-53,122,104,72,-93
Net Income,-,547,305,224,"1,385",267,320,"2,272",302,267,-612,165,524,"1,436",778,451,-757,177,419,-27,480,333,-821,9,157,223,259,392,"2,553",513,250,409,-304,501,418,464,642
Net Income Growth,-,-,-,-,-,-51.19%,4.92%,914.29%,-78.19%,0%,-,-92.74%,73.51%,437.83%,-,173.33%,-,-87.67%,-46.14%,-,-,88.14%,-,-,-67.29%,-33.03%,-,4255.56%,1526.11%,130.04%,-3.47%,4.34%,-,-2.34%,67.20%,13.45%,-
Shares Outstanding (Basic),"1,804","1,804","1,804","1,804","1,804","1,761","1,725","1,681","1,694","1,669","1,658","1,641","1,616","1,591","1,552","1,513","1,460","1,401","1,367","1,334","1,311","1,300","1,291","1,292","1,294","1,300","1,309","1,314","1,312","1,304","1,307","1,305","1,294","1,298","1,304","1,299","1,296"
Shares Outstanding (Diluted),-,"1,834","1,834","1,834","1,834","1,778","1,751","1,715","1,712","1,700","1,658","1,667","1,647","1,619","1,582","1,531","1,478","1,412","1,382","1,334","1,324","1,315","1,291","1,300","1,294","1,315","1,331","1,338","1,336","1,325","1,329","1,323","1,310","1,315","1,318","1,316","1,313"
Shares Change,-,-,-,-,1.66%,-3.05%,-4.53%,-6.49%,-6.65%,-4.39%,-5.31%,-2.80%,-3.80%,-4.76%,-4.58%,-8.16%,-10.26%,-12.79%,-12.64%,-12.87%,-10.42%,-6.87%,-6.58%,-2.55%,-2.27%,-,3.10%,2.92%,3.25%,0.76%,-0.15%,-1.12%,-1.95%,-0.75%,-0.83%,-0.53%,0.23%
EPS (Basic),-,0.30,0.17,0.13,0.76,0.15,0.19,1.35,0.18,0.16,-0.37,0.10,0.32,0.90,0.50,0.30,-0.47,0.13,0.31,-0.02,0.36,0.26,-0.64,0.01,0.12,0.17,0.20,0.30,1.95,0.39,0.19,0.31,-0.23,0.39,0.32,0.36,0.50
EPS (Diluted),-,0.30,0.16,0.13,0.75,0.15,0.18,1.32,0.18,0.16,-0.37,0.10,0.32,0.89,0.49,0.29,-0.46,0.13,0.30,-0.02,0.36,0.25,-0.64,0.01,0.12,0.17,0.19,0.29,1.92,0.39,0.19,0.31,-0.22,0.38,0.32,0.35,0.49
EPS Growth,-,-,-,-,-,-50.00%,12.50%,915.38%,-76.00%,6.67%,-,-92.42%,77.78%,456.25%,-,190.00%,-,-85.39%,-38.78%,-,-,92.31%,-,-,-66.67%,-32.00%,-,2800.00%,1500.00%,129.41%,0%,6.90%,-,-2.56%,68.42%,12.90%,-
Free Cash Flow,-,-120,619,981,-783,-831,511,971,"1,575","-2,029",39,492,375,-412,-269,751,"1,032",-190,402,648,878,-185,-402,924,223,563,368,526,"2,266",-577,-211,587,"2,274","-1,464",287,956,"2,423"
Free Cash Flow Per Share,-,-0.07,0.34,0.54,-0.43,-0.47,0.30,0.58,0.93,-1.22,0.02,0.30,0.23,-0.26,-0.17,0.50,0.71,-0.14,0.29,0.49,0.67,-0.14,-0.31,0.71,0.17,0.43,0.28,0.40,1.73,-0.44,-0.16,0.45,1.76,-1.13,0.22,0.74,1.87
Dividend Per Share,-,-,-,-,-,0.055,0.055,0.055,0.055,0.065,0.065,0.065,0.065,0.075,0.075,0.113,0.113,0.113,0.113,0.113,0.113,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120
Dividend Growth,-,-,-,-,-,-,-,-,-,18.18%,18.18%,18.18%,18.18%,15.38%,15.38%,73.85%,73.85%,50.67%,50.67%,0%,0%,6.19%,6.19%,6.19%,6.19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Gross Margin,-,28.22%,29.05%,29.16%,-,28.84%,36.47%,37.23%,14.33%,33.02%,30.46%,30.14%,30.29%,29.15%,31.17%,31.35%,31.59%,32.03%,33.29%,34.96%,34.21%,33.89%,33.03%,31.28%,31.47%,34.35%,34.94%,35.28%,33.55%,34.33%,34.57%,35.25%,33.73%,35.04%,37.32%,37.30%,36.35%
Operating Margin,-,6.09%,3.90%,2.31%,-,3.47%,6.02%,6.75%,2.87%,7.52%,3.82%,3.56%,-2.83%,3.86%,5.84%,7.20%,9.11%,7.00%,7.12%,-0.03%,7.42%,6.06%,-12.70%,1.13%,2.87%,4.11%,4.96%,4.83%,37.38%,7.10%,5.29%,7.48%,-3.52%,8.57%,8.75%,8.18%,8.43%
Profit Margin,-,4.19%,2.43%,1.72%,-,2.10%,3.76%,28.38%,5.77%,3.87%,-8.99%,2.20%,6.84%,18.71%,10.42%,5.81%,-9.53%,2.34%,5.86%,-0.37%,6.65%,4.79%,-13.66%,0.13%,2.18%,3.26%,3.87%,5.68%,34.72%,7.37%,3.72%,5.88%,-3.86%,6.42%,5.99%,6.63%,8.73%
Free Cash Flow Margin,-,-0.92%,4.93%,7.51%,-,-6.53%,6.01%,12.13%,30.09%,-29.40%,0.57%,6.56%,4.90%,-5.37%,-3.60%,9.67%,12.99%,-2.52%,5.62%,8.98%,12.17%,-2.66%,-6.69%,13.56%,3.09%,8.24%,5.49%,7.63%,30.81%,-8.29%,-3.14%,8.44%,28.89%,-18.75%,4.12%,13.65%,32.96%
Effective Tax Rate,-,23.39%,23.37%,9.68%,-249.75%,16.30%,2.44%,4.50%,60.21%,23.93%,-,-3200.00%,-,-,-,2.80%,228.09%,72.98%,4.77%,-,33.61%,11.90%,-,-,-25.60%,-8.78%,10.07%,3.45%,5.02%,-4.06%,9.42%,11.85%,-,19.58%,19.92%,13.43%,-16.94%
EBITDA,-,"1,792","1,462","1,291","1,409","1,446","1,401","3,466","1,786","1,335",922,895,671,21,615,"1,238","1,418","1,418","1,181",511,"1,452","1,160",-131,744,625,982,938,"1,099","3,435","1,119",897,"1,158",370,"1,304","1,227","1,240","1,231"
EBITDA Margin,-,13.73%,11.65%,9.89%,-,11.36%,16.46%,43.30%,34.12%,19.34%,13.54%,11.93%,8.76%,0.27%,8.24%,15.95%,17.85%,18.77%,16.52%,7.08%,20.12%,16.69%,-2.18%,10.92%,8.67%,14.37%,14.00%,15.93%,46.71%,16.08%,13.36%,16.66%,4.70%,16.70%,17.60%,17.71%,16.75%
Depreciation & Amortization,-,997,973,989,988,989,960,954,872,840,792,737,682,635,655,641,645,639,648,632,616,690,641,642,652,674,639,643,641,621,621,620,618,656,651,654,655
EBIT,-,795,489,302,421,457,441,"2,512",914,495,130,158,-11,-614,-40,597,773,779,533,-121,836,470,-772,102,-27,308,299,456,"2,794",498,276,538,-248,648,576,586,576
EBIT Margin,-,6.09%,3.90%,2.31%,-,3.59%,5.18%,31.38%,17.46%,7.17%,1.91%,2.11%,-0.14%,-8.00%,-0.54%,7.69%,9.73%,10.31%,7.45%,-1.68%,11.59%,6.76%,-12.85%,1.50%,-0.37%,4.51%,4.46%,6.61%,37.99%,7.15%,4.11%,7.74%,-3.15%,8.30%,8.26%,8.37%,7.84%
