,2013-10-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31,Current
Market Capitalization,-,-,-,-,-,-,"23,977","28,598","34,929","37,425","37,758","30,883","28,762","22,543","26,140","26,482","23,376","22,443","21,805","21,666","19,244","21,425","18,010","12,961","12,681","11,114","15,962","20,844","18,936","19,163","21,122","20,035","18,502","18,361","20,676","18,557","22,447","19,730","19,409"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,57.48%,7.99%,-17.66%,-39.76%,-30.77%,-14.25%,-18.73%,-0.44%,-16.58%,-18.19%,-17.68%,-4.53%,-17.40%,-40.18%,-34.10%,-48.12%,-11.37%,60.83%,49.33%,72.42%,32.33%,-3.88%,-2.29%,-4.18%,-2.11%,-7.38%,21.32%,7.46%,-
Enterprise Value,"-3,677","-3,914",-,-,-,"3,034","28,663","32,783","37,421","36,771","40,768","33,467","34,306","23,618","28,907","29,818","27,037","26,308","26,890","27,074","24,644","27,920","25,120","20,915","19,876","19,028","23,604","28,201","26,054","24,683","27,518","26,854","25,013","23,141","27,346","25,436","29,162","24,272","23,951"
PE Ratio,-,-,-,-,-,-,10.99,13.02,8.23,11.84,11.95,13.86,235.76,65.53,17.28,9.12,7.33,11.76,33.60,74.71,-102.36,20.42,14.95,-370.31,12680.55,-34.52,-36.95,32.17,18.37,5.59,5.68,5.40,4.97,21.15,24.15,18.12,20.80,9.74,9.69
PS Ratio,-,-,-,-,-,-,0.78,1.07,1.61,1.24,1.32,1.15,1.09,0.78,0.88,0.87,0.77,0.73,0.71,0.71,0.64,0.74,0.63,0.47,0.47,0.41,0.59,0.76,0.69,0.69,0.76,0.72,0.66,0.64,0.71,0.63,0.76,0.68,0.67
PB Ratio,-,-,-,-,-,-,0.77,0.90,1.08,1.19,1.20,1.07,0.99,0.96,1.09,1.11,1.00,1.06,1.19,1.19,1.10,1.25,1.05,0.80,0.79,0.69,0.99,1.26,1.11,0.96,1.04,0.98,0.90,0.92,1.03,0.91,1.09,0.93,0.92
P/FCF Ratio,-,-,-,-,-,-,-1712.65,-234.41,-264.62,16.81,36.73,55.55,373.54,-20.07,52.91,142.38,52.53,20.37,16.47,10.86,10.17,12.33,10.33,13.80,10.44,19.85,12.20,10.03,11.27,5.15,8.18,10.00,8.96,8.86,17.43,11.02,10.93,8.96,8.81
P/OCF Ratio,-,-,-,-,-,-,7.94,9.74,13.50,7.40,9.58,8.64,10.22,16.89,9.80,12.18,9.47,7.57,6.81,5.49,4.95,5.36,5.09,4.89,4.34,4.96,4.86,5.21,5.17,3.26,4.37,4.56,4.10,4.00,5.38,4.27,4.86,4.46,4.38
Debt / Equity Ratio,0.04,0.04,-,-,-,0.47,0.52,0.51,0.50,0.50,0.50,0.48,0.57,0.60,0.58,0.58,0.52,0.57,0.68,0.68,0.72,0.81,0.81,1.03,1.20,0.99,0.97,0.96,0.95,0.67,0.69,0.66,0.67,0.63,0.65,0.66,0.65,0.58,0.58
Quick Ratio,0.71,0.69,-,-,-,0.97,0.95,0.96,1.06,0.87,0.89,0.86,0.81,0.85,0.74,0.71,0.66,0.67,0.63,0.63,0.60,0.54,0.51,0.56,0.70,0.61,0.61,0.63,0.63,0.58,0.54,0.49,0.50,0.51,0.49,0.50,0.50,0.52,0.52
Current Ratio,1.17,1.12,-,-,-,1.36,1.36,1.51,1.46,1.28,1.18,1.15,1.27,1.13,1.06,1.04,1.00,1.00,0.94,0.93,0.88,0.79,0.79,0.89,0.99,0.88,0.90,0.93,0.95,0.91,0.95,0.90,0.92,0.89,0.85,0.87,0.88,0.87,0.87
