,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,803","7,489","5,703","8,557","10,072","9,276","9,151","8,495","15,152","14,492","19,849"
Market Cap Growth,8.34%,29.04%,-23.84%,50.03%,17.70%,-7.90%,-1.35%,-7.17%,78.36%,-4.36%,-
Enterprise Value,"9,821","11,945","10,421","14,571","16,189","17,254","19,351","19,038","26,340","27,348","33,814"
PE Ratio,60.16,22.96,46.28,81.63,59.21,26.21,34.23,24.79,33.66,26.02,71.56
PS Ratio,1.92,2.40,1.90,2.44,2.62,2.19,2.15,2.05,3.37,2.84,3.72
PB Ratio,5.57,8.74,11.21,4.42,4.38,4.98,6.25,7.47,17.70,22.76,75.62
P/FCF Ratio,26.10,48.16,22.47,38.33,26.01,16.52,20.81,7.63,35.56,65.06,-155.72
P/OCF Ratio,11.43,15.83,10.53,15.73,13.97,9.92,9.47,8.60,19.97,15.62,19.20
EV/Sales Ratio,3.25,3.83,3.46,4.15,4.21,4.08,4.54,4.59,5.86,5.36,6.33
EV/EBITDA Ratio,13.23,14.04,13.37,15.74,14.93,11.81,13.61,13.04,15.13,14.70,20.13
EV/EBIT Ratio,23.79,24.40,24.53,31.65,29.61,21.40,25.92,24.07,25.22,24.54,37.68
EV/FCF Ratio,44.17,76.81,41.06,65.26,41.81,30.72,44.00,17.09,61.81,122.78,-281.05
Debt / Equity Ratio,4.01,5.39,9.52,3.23,3.07,4.38,7.10,9.46,13.37,20.42,53.85
Debt / EBITDA Ratio,5.62,5.43,6.22,6.75,6.50,5.57,7.31,7.36,6.57,6.99,8.42
Debt / FCF Ratio,18.76,29.69,19.09,28.00,18.19,14.50,23.63,9.65,26.85,58.36,-126.86
Quick Ratio,0.80,0.89,0.82,0.89,1.32,0.68,0.54,0.53,0.60,0.69,0.67
Current Ratio,0.96,1.07,1.02,1.06,1.47,0.81,0.63,0.64,0.71,0.81,0.81
Asset Turnover,0.47,0.47,0.47,0.40,0.38,0.36,0.31,0.30,0.32,0.32,0.32
Interest Coverage,1.62,1.88,1.61,1.48,1.55,1.97,1.78,1.89,2.50,2.28,1.57
Return on Equity (ROE),9.00%,35.80%,19.20%,6.20%,8.60%,17.40%,16.70%,32.50%,45.70%,86.70%,59.80%
Return on Assets (ROA),1.50%,4.90%,1.90%,1.20%,1.70%,3.00%,2.00%,2.50%,3.20%,3.50%,1.70%
Return on Capital (ROIC),5.73%,14.52%,7.51%,4.31%,5.98%,7.21%,5.38%,7.24%,4.99%,6.85%,5.56%
Earnings Yield,1.66%,4.35%,2.16%,1.23%,1.69%,3.82%,2.92%,4.03%,2.97%,3.84%,1.40%
FCF Yield,3.83%,2.08%,4.45%,2.61%,3.84%,6.05%,4.81%,13.11%,2.81%,1.54%,-0.56%
Dividend Yield,3.60%,13.90%,7.10%,6.20%,5.90%,7.30%,7.70%,8.40%,4.70%,5.00%,3.82%
Payout Ratio,207.70%,319.00%,323.70%,489.00%,339.10%,185.40%,263.70%,207.90%,158.60%,128.90%,273.68%
Buyback Yield / Dilution,-10.03%,-2.25%,-7.81%,-16.57%,-7.92%,-7.42%,-0.36%,-0.33%,-0.81%,-0.50%,-0.45%
Total Shareholder Return,-6.43%,11.65%,-0.71%,-10.37%,-2.02%,-0.12%,7.34%,8.07%,3.89%,4.50%,3.37%
