,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,0.02,0.81,1.03,0.44,41.78,0.2,0.14,0.26,41.2,37.83,33.83,612.51,536.11,470.73,396.93,379,302.15,260.47,170.31,89.2
Short-Term Investments,0,0,0,0,34.31,0,0,0,20.84,17.11,17.69,10.26,11.14,24.69,30.45,4.51,27.27,46.52,43.21,45.66
Cash & Cash Equivalents,0.02,0.81,1.03,0.44,76.1,0.2,0.14,0.26,62.04,54.94,51.52,622.77,547.25,495.42,427.38,383.5,329.42,306.98,213.52,134.86
Cash Growth,-,-,-,-,434745.71%,-75.78%,-85.94%,-41.95%,-18.48%,27932.60%,35560.40%,243277.52%,782.17%,801.78%,729.54%,-38.42%,-39.81%,-38.04%,-50.04%,-64.83%
Receivables,0,0,0,0,69.5,0,0,0,76.3,64.7,65.25,67.37,88.8,79.97,104.99,82.71,119.3,88.91,106.09,116.3
Inventory,0,0,0,0,57.3,0,0,0,44.97,51.77,55.4,47.82,53.42,58.08,64.46,82.26,84.25,87.67,86.76,126.91
Other Current Assets,0,0.02,0.17,0.24,3.95,0.22,0.16,0.09,6.02,8.61,8.19,12.96,17.13,19.69,14.53,19.06,12.09,13.47,20.62,25.84
Total Current Assets,0.02,0.83,1.2,0.68,206.85,0.41,0.3,0.34,189.32,180.01,180.37,750.92,706.61,653.16,611.36,567.53,545.07,497.04,427,403.91
"Property, Plant & Equipment",0,0,0,0,191.32,0,0,0,198.02,216.55,217.69,222.77,253.06,289.64,295.57,301.86,351.51,461.51,518.85,569.16
Long-Term Investments,0,276.43,277.76,278.9,0,282.4,282.27,282.18,0,0,0,0,0,0,0,36.7,0.47,0.01,0.01,0.01
Goodwill and Intangibles,0,0,0,0,16.08,0,0,0,16.28,16.04,16.05,15.96,15.89,15.82,14.93,14.02,14.28,16.31,15.22,14.94
Other Long-Term Assets,0.08,0,0,0.01,1.57,0,0,0.01,0.89,0.48,0.71,0.7,19.74,40.1,49.79,52.82,73.64,29.11,36.6,28.54
Total Long-Term Assets,0.08,276.43,277.76,278.91,208.97,282.4,282.27,282.19,215.19,233.07,234.45,239.43,288.69,345.55,360.28,405.4,439.89,506.95,570.68,612.65
Total Assets,0.1,277.26,278.96,279.59,415.82,282.82,282.57,282.53,404.51,413.08,414.82,990.36,995.29,998.72,971.64,972.93,984.96,"1,004",997.67,"1,017"
Accounts Payable,0,0.07,0.16,0.31,35.58,0.42,0.18,0.26,42.01,38.45,43.81,36.56,40.41,32.01,39.58,35.97,44.99,41.24,54.32,95.29
Current Debt,0.08,0,0,0,120.89,0,0,0,77.88,69.45,78.66,65.98,74.25,84.01,114.67,109.1,85.84,89.65,68.23,64.15
Other Current Liabilities,0,0.07,0.39,0,39.33,0.13,0.28,0.36,63.74,32.97,38.9,51.07,60.93,65.37,72.01,86.76,121.59,146.86,170.16,176.95
Total Current Liabilities,0.08,0.14,0.54,0.31,195.8,0.54,0.46,0.63,183.63,140.86,161.37,153.61,175.59,181.39,226.26,231.84,252.41,277.75,292.71,336.39
Long-Term Debt,0,0,0,0,29.26,0,0.2,0.2,73.15,144.05,147.38,73.15,73.15,89.29,58.82,95.37,87.23,88.84,92.92,91.68
Other Long-Term Liabilities,0,0,0.03,0,152.74,0.3,0.1,0,132.39,133.44,136.15,46.81,59.85,70.66,32.56,29.86,32.34,31.56,32.33,21.16
Total Long-Term Liabilities,0,0,0.03,0,182,0.3,0.3,0.2,205.54,277.48,283.53,119.96,133,159.95,91.38,125.24,119.57,120.4,125.25,112.83
Total Liabilities,0.08,0.14,0.58,0.31,377.8,0.85,0.76,0.83,389.16,418.34,444.9,273.57,308.59,341.34,317.64,357.07,371.98,398.15,417.96,449.22
Total Debt,0.08,0,0,0,150.15,0,0.2,0.2,151.03,213.49,226.04,139.13,147.4,173.31,173.5,204.47,173.07,178.48,161.15,155.83
Debt Growth,-,-,-,-,199191.23%,-,-,-,0.58%,-,112918.00%,69464.50%,-2.40%,-18.82%,-23.24%,46.97%,17.42%,2.99%,-7.11%,-23.79%
Common Stock,0.03,4.72,3.45,2.56,9.77,0,0.03,0.13,6.04,6.04,6.04,"1,297","1,312","1,326","1,385","1,404","1,422","1,440","1,458","1,474"
Retained Earnings,-0,0.28,1.55,2.44,-320.76,5,4.97,4.87,-398,-426.31,-465.46,-585.46,-632.1,-676.74,-720.92,-757.47,-791.17,-820.75,-846.84,-872.97
Comprehensive Income,0,0,0,0,-9.27,0,0,0,7.36,4.44,8.11,4.98,6.7,7.69,-9.91,-30.91,-18.08,-15.86,-33.75,-35.93
Shareholders' Equity,0.03,5,5,5,-320.26,5,5,5,-384.6,-415.83,-451.31,716.78,686.7,657.38,654,615.86,612.98,603.68,577.67,565.35
Net Cash / Debt,-0.06,0.81,1.03,0.44,-74.05,0.2,-0.06,0.06,-88.99,-158.55,-174.52,483.64,399.85,322.12,253.89,179.03,156.35,128.5,52.37,-20.97
Net Cash / Debt Growth,-,-,-,-,-,-75.78%,-,-87.32%,-,-,-,865304.57%,-,-,-,-62.98%,-60.90%,-60.11%,-79.37%,-
Net Cash Per Share,-0.01,0.12,0.12,0.05,-0.75,0.32,-0.09,0.00,-0.90,-1.60,-1.76,1.98,2.15,1.08,0.84,0.59,0.51,0.42,0.17,-0.07
Working Capital,-0.06,0.69,0.65,0.37,11.05,-0.13,-0.16,-0.28,5.7,39.16,18.99,597.31,531.01,471.77,385.1,335.69,292.66,219.28,134.29,67.52
Book Value Per Share,0.00,0.74,0.60,0.60,-3.23,8.09,8.09,0.05,-3.88,-4.20,-4.56,2.94,3.69,2.20,2.18,2.01,1.99,1.96,1.88,1.81
