,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-0,0.28,1.26,0.9,-117.92,-22.94,-19.67,-21.94,-16.41,-28.31,-39.15,-120,-46.64,-43.78,-44.18,-36.54,-33.7,-29.58,-26.09,-26.13
Depreciation & Amortization,0,0,0,0,15.39,3.93,3.63,4.35,4.88,4.88,4.98,5.05,5.82,6.01,5.76,5.47,5.34,5.76,5.91,5.68
Share-Based Compensation,0,0,0,0,0,0,0,0,0,0,0,58.29,24.6,28.13,25.52,19.28,17.88,17.93,17.85,15.86
Other Operating Activities,-0.34,-0.31,-1.52,-1.73,59.08,6.18,5.5,15.28,13.43,13.22,13.28,45.03,-4.17,-15.28,-25.72,16.74,15.15,-5.27,-27.51,-24.76
Operating Cash Flow,-0.34,-0.03,-0.25,-0.84,14.49,-1.02,1.28,5.54,9.76,-2.17,-12.85,-9.63,-20.39,-24.91,-38.62,4.94,4.67,-11.17,-29.84,-29.34
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-32.65%,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,0,0,0,0,-20.24,-7.9,-4.06,-3.41,-3.26,-25.43,-4.43,-10.86,-47.14,-41.06,-26.85,-16.81,-66.16,-35.58,-57.4,-59.71
Change in Investments,0,-276,0.47,0.25,291.56,0.95,-0.42,0.42,0.01,0,0,0,0,0,0,0,-25.07,-0.24,-0.18,-0.01
Investing Cash Flow,0,-276,0.47,0.25,271.33,-6.95,-4.49,-2.99,-3.25,-25.43,-4.43,-10.86,-47.14,-41.06,-26.85,-16.81,-91.23,-35.83,-57.58,-59.72
Share Issuance / Repurchase,25,277.35,0,0,-277.35,0,0,0,0,0,0,747.79,-42.66,0,0,0,0,0,0,0
Debt Issued / Paid,75.34,-0.16,0,0.09,-19.4,-6.16,4.16,-0.36,1.85,58.68,13.16,-3.4,-9.58,0,-3.87,38.09,-29.26,4.38,0.91,6.86
Other Financing Activities,-82.5,-0.37,-,-0.09,-32.24,-,-,-,-,-34.92,-0.45,-146.49,42.82,-,-,-,-,-,-,-
Financing Cash Flow,17.84,276.82,0,0,-329,-6.16,4.16,-0.36,1.85,23.76,12.71,597.91,-9.42,0,-3.87,38.09,-29.26,4.38,0.91,6.86
Exchange Rate Effect,0,0,0,0,-0.99,-0.43,-1.11,2.07,1.5,0.47,0.58,1.26,0.55,0.6,-4.46,-7.46,2.74,0.47,-3.65,1.09
Net Cash Flow,17.5,0.79,0.22,-0.59,-44.18,-14.56,-0.15,4.26,9.86,-3.37,-4,578.68,-76.4,-65.38,-73.8,18.77,-113.08,-42.14,-90.16,-81.11
Free Cash Flow,-0.34,-0.03,-0.25,-0.84,-5.75,-8.92,-2.79,2.13,6.49,-27.6,-17.28,-20.49,-67.53,-65.97,-65.47,-11.87,-61.49,-46.75,-87.24,-89.06
Free Cash Flow Margin,-,-,-,-,-7.52%,-128.31%,-12.84%,6.93%,13.50%,-184.78%,-51.78%,-55.53%,-101.14%,-179.92%,-101.65%,-30.73%,-94.89%,-99.52%,-116.40%,-111.16%
Free Cash Flow Per Share,-0.05,-0.00,-0.03,-0.10,-0.06,-14.43,-4.51,0.02,0.07,-0.28,-0.17,-0.08,-0.36,-0.22,-0.22,-0.04,-0.20,-0.15,-0.28,-0.28
