,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,0,0,0,0,76.43,6.95,21.7,30.75,48.12,14.94,33.37,36.89,66.77,36.67,64.41,38.62,64.8,46.97,74.95,80.12
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-37.05%,114.97%,53.80%,19.97%,38.77%,145.47%,93.02%,4.67%,-2.96%,28.10%,16.36%,107.47%
Cost of Revenue,0,0,0,0,76.67,5.73,18.14,27.08,39.43,16.18,40.15,72.78,65.62,36.66,59.57,36.62,62.57,42.12,63.49,62.23
Gross Profit,0,0,0,0,-0.23,1.22,3.55,3.68,8.69,-1.24,-6.77,-35.89,1.15,0.01,4.84,1.99,2.23,4.86,11.46,17.88
"Selling, General & Admin",0,0,0,0,30.88,7.51,6.45,8.18,10.48,7.73,9.88,64.44,41.01,32.1,40.15,28.15,26.79,25.37,29.46,31.43
Research & Development,0,0,0,0,26,3.72,4.24,4.56,4.12,3.79,5.9,13.52,11.19,11.31,10.24,11.46,10.5,10.86,9.51,13.24
Other Operating Expenses,0,0.07,0.2,0.26,-3.77,-0.19,-0.65,0.04,-2.2,-1.92,-0.21,-0.55,-3.45,-0.14,-0.58,-0.52,-0.44,-0.08,-0.64,-0.44
Operating Expenses,0,0.07,0.2,0.26,53.1,11.04,10.04,12.77,12.4,9.6,15.57,77.41,48.75,43.27,49.81,39.08,36.85,36.16,38.33,44.23
Operating Income,-0,-0.07,-0.2,-0.26,-53.33,-9.82,-6.48,-9.1,-3.71,-10.84,-22.34,-113.3,-47.59,-43.26,-44.97,-37.09,-34.63,-31.3,-26.87,-26.35
Interest Expense / Income,0,0,0,0,6.35,1.48,1.36,1.4,1.5,1.85,1.54,1.25,0.78,0.8,0.9,0.77,0.86,0.46,0.49,0.49
Other Expense / Income,-,-0.43,-1.8,-1.39,0.76,-0.31,-0.12,3.87,3.35,7.48,7.12,3.34,-1.41,-0.28,-1.69,-1.32,-1.82,-2.18,-1.26,-0.71
