,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,252,351,348,353,354,363,361,607,436,"3,719","2,243","1,701","2,014",672,548,473,384,495,598,285
Market Cap Growth,-,-,-,-,-,40.64%,3.54%,3.88%,71.69%,23.36%,924.50%,520.89%,180.30%,361.35%,-81.94%,-75.59%,-72.18%,-80.95%,-26.29%,9.17%,-
Enterprise Value,0,251,350,347,428,354,363,361,696,595,"3,894","1,759","1,301","1,691",418,369,317,255,443,619,306
PE Ratio,-,-,-,142.30,-3.06,-2.55,-2.27,-1.98,-7.49,-5.05,-35.15,-11.00,-7.27,-8.07,-2.64,-3.20,-2.99,-2.66,-3.93,-5.18,-5.18
PS Ratio,-,-,-,-,4.62,4.24,3.46,2.66,5.64,3.78,29.24,16.82,11.19,11.59,3.28,2.65,2.31,1.79,2.20,2.24,1.07
PB Ratio,-,50.32,70.12,69.55,-1.10,70.76,72.61,72.25,-1.58,-1.05,-8.24,3.13,2.48,3.06,1.03,0.89,0.77,0.64,0.86,1.06,0.50
P/FCF Ratio,-,-9116.98,-1392.62,-238.54,-51.49,-22.46,-19.85,-23.58,-197.28,-20.05,-102.58,-38.10,-12.80,-11.76,-3.06,-2.60,-2.31,-2.07,-2.39,-2.10,-2.10
P/OCF Ratio,-,-9116.98,-1392.62,-238.54,26.43,28.58,26.10,17.81,39.01,30.31,13724.21,-150.58,-37.77,-29.71,-7.18,-6.93,-8.77,-9.55,-15.77,-9.10,-9.10
Debt / Equity Ratio,2.97,-,-,-,-0.47,-,0.04,0.04,-0.39,-0.51,-0.50,0.19,0.21,0.26,0.27,0.33,0.28,0.30,0.28,0.28,0.28
Quick Ratio,0.23,5.90,1.89,1.44,0.74,0.36,0.32,0.41,0.75,0.85,0.72,4.49,3.62,3.17,2.35,2.01,1.78,1.43,1.09,0.75,0.75
Current Ratio,0.23,6.06,2.20,2.21,1.06,0.76,0.66,0.55,1.03,1.28,1.12,4.89,4.02,3.60,2.70,2.45,2.16,1.79,1.46,1.20,1.20
Interest Coverage,-,-,-,-,-8.52,-6.43,-4.69,-9.28,-4.69,-9.92,-19.17,-93.54,-59.13,-53.99,-48.37,-46.21,-38.24,-63.45,-52.57,-52.22,-49.31
Return on Capital (ROIC),,-0.79%,-1.11%,-3.07%,-8.37%,31.60%,-1270.31%,-1343.19%,-1514.10%,12.46%,14.89%,20.41%,-17.55%,-23.27%,-27.27%,-30.11%,-21.08%,-20.35%,-18.92%,-17.58%,-16.52%
Buyback Yield / Dilution,-,-,-,-,-1471.88%,90.89%,92.56%,-1096.82%,-,-15927.11%,-15927.11%,-146.25%,-87.72%,-201.78%,-203.51%,-25.47%,-65.50%,-2.97%,-2.39%,-2.33%,-2.33%
Total Shareholder Return,-,-,-,-,-1471.88%,90.89%,92.56%,-1096.82%,-,-15927.11%,-15927.11%,-146.25%,-87.72%,-201.78%,-203.51%,-25.47%,-65.50%,-2.97%,-2.39%,-2.33%,-2.33%
