,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,"22,288","22,762","25,208","32,927","27,445","24,446","32,965","22,028","33,914","46,596"
Cash & Cash Equivalents,"22,288","22,762","25,208","32,927","27,445","24,446","32,965","22,028","33,914","46,596"
Cash Growth,14.38%,2.13%,10.75%,30.62%,-16.65%,-10.93%,34.85%,-33.18%,53.96%,37.39%
Receivables,"47,000","46,695","50,073","56,735","55,320","56,794","43,434","53,581","57,384","60,237"
"Property, Plant & Equipment","3,938","4,108","4,433","4,329","4,416","4,834","5,015","4,988","5,215","5,138"
Total Assets,"159,103","161,184","158,893","181,196","188,602","198,321","191,367","188,548","228,354","261,108"
Accounts Payable,"11,300","11,822","11,190","14,657","12,255","12,738","9,444","10,574","12,133","13,109"
Total Liabilities,"138,430","140,511","138,392","162,935","166,312","175,250","168,383","166,371","203,643","233,051"
Total Debt,"61,435","52,873","52,571","59,082","61,523","64,277","44,830","40,918","43,921","49,159"
Debt Growth,1.80%,-13.94%,-0.57%,12.39%,4.13%,4.48%,-30.25%,-8.73%,7.34%,11.93%
Common Stock,"13,079","13,542","12,914","12,382","12,388","11,937","12,042","11,648","11,642","11,517"
Retained Earnings,"9,513","9,665","10,371","8,307","12,499","13,871","13,837","13,474","16,279","19,612"
Comprehensive Income,"-1,919","-2,534","-2,784","-2,428","-2,597","-2,737","-2,895","-2,945","-3,210","-3,072"
Shareholders' Equity,"20,673","20,673","20,501","18,261","22,290","23,071","22,984","22,177","24,711","28,057"
Net Cash / Debt,"-39,147","-30,111","-27,363","-26,155","-34,078","-39,831","-11,865","-18,890","-10,007","-2,563"
Net Cash Per Share,-37.25,-30.02,-29.27,-29.52,-39.67,-47.99,-14.72,-23.91,-13.31,-3.48
Book Value Per Share,19.78,20.69,21.97,20.68,26.04,27.86,28.55,28.11,32.90,38.17
