,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"31,819","27,571","27,734","31,100","42,831","50,134","55,649","79,908","67,841","72,450","82,587"
Market Cap Growth,48.92%,-13.35%,0.59%,12.14%,37.72%,17.05%,11.00%,43.59%,-15.10%,6.79%,-
Enterprise Value,"60,679","57,318","58,464","63,426","75,150","84,734","86,533","114,791","106,769","113,011","123,148"
PE Ratio,16.97,12.95,9.60,14.03,11.31,14.30,14.82,11.49,12.02,13.82,16.27
PS Ratio,0.86,0.70,0.67,0.71,0.92,0.98,1.08,1.36,1.13,1.12,1.27
PB Ratio,-4.03,-3.63,-3.80,-4.57,-8.65,-17.85,97.29,-85.65,-24.52,-40.84,-40.84
P/FCF Ratio,14.00,11.69,9.59,12.90,13.43,14.56,8.70,14.85,16.44,15.46,17.62
P/OCF Ratio,7.15,5.82,4.91,5.73,6.33,6.59,6.03,8.92,7.96,7.68,8.76
EV/Sales Ratio,1.64,1.44,1.41,1.45,1.61,1.65,1.68,1.95,1.77,1.74,1.90
EV/EBITDA Ratio,9.27,8.24,7.36,8.26,8.57,9.39,9.51,8.51,8.82,9.52,10.37
EV/EBIT Ratio,12.84,11.34,9.78,11.44,11.58,13.18,13.56,10.79,11.69,12.85,14.00
EV/FCF Ratio,26.71,24.30,20.21,26.31,23.57,24.60,13.53,21.33,25.87,24.11,26.27
Debt / Equity Ratio,-3.73,-4.01,-4.30,-4.86,-6.63,-12.54,57.13,-38.94,-14.40,-23.39,-23.39
Debt / EBITDA Ratio,4.50,4.38,3.95,4.31,3.74,3.90,3.59,2.69,3.29,3.50,3.50
Debt / FCF Ratio,12.95,12.92,10.85,13.71,10.30,10.23,5.11,6.75,9.65,8.85,8.85
Quick Ratio,1.14,1.20,1.11,1.17,0.96,1.03,1.02,1.00,0.99,0.86,0.86
Current Ratio,1.63,1.67,1.56,1.62,1.35,1.44,1.42,1.41,1.38,1.18,1.18
Asset Turnover,1.23,1.24,1.25,1.24,1.23,1.16,1.07,1.20,1.16,1.20,1.20
Interest Coverage,2.71,3.04,3.50,3.28,3.70,3.52,4.03,6.79,5.24,4.54,4.54
Return on Equity (ROE),-24.10%,-28.50%,-37.60%,-32.40%,-66.50%,-95.80%,-291.60%,-1409.50%,-190.50%,-231.70%,-231.70%
Return on Assets (ROA),6.20%,6.70%,8.70%,6.30%,9.90%,7.90%,7.80%,14.20%,10.90%,9.70%,9.70%
Return on Capital (ROIC),15.65%,15.68%,18.13%,13.27%,19.07%,16.95%,17.09%,20.97%,18.65%,18.53%,18.53%
Earnings Yield,5.89%,7.72%,10.42%,7.13%,8.84%,6.99%,6.75%,8.71%,8.32%,7.24%,6.35%
FCF Yield,7.14%,8.56%,10.43%,7.75%,7.44%,6.87%,11.50%,6.74%,6.08%,6.47%,5.68%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,1.10%,1.10%,0.50%,0.70%,0.90%,0.90%,0.86%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,12.80%,15.60%,6.90%,8.90%,11.50%,12.50%,13.92%
Buyback Yield / Dilution,2.50%,5.25%,7.23%,5.97%,4.55%,1.99%,1.33%,4.32%,10.37%,6.19%,6.19%
Total Shareholder Return,2.50%,5.25%,7.23%,5.97%,5.65%,3.09%,1.83%,5.02%,11.27%,7.09%,7.05%
