,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"35,078","34,334","34,774","37,124","31,720","35,349","35,557","38,483","43,938","43,508","49,684"
Market Cap Growth,6.42%,-2.12%,1.28%,6.76%,-14.56%,11.44%,0.59%,8.23%,14.17%,-0.98%,-
Enterprise Value,"41,053","40,298","40,904","43,351","37,911","41,413","41,386","45,012","50,431","50,889","57,065"
PE Ratio,9.50,9.98,11.54,18.06,12.57,13.48,13.18,10.51,15.46,14.55,17.01
PS Ratio,1.29,1.28,1.26,1.28,1.05,1.12,1.11,1.11,1.19,1.05,1.20
PB Ratio,1.41,1.46,1.50,1.56,1.39,1.36,1.22,1.33,2.04,1.75,1.99
P/FCF Ratio,9.50,10.00,7.78,8.95,7.24,6.79,5.45,5.29,6.80,5.64,6.44
P/OCF Ratio,9.50,10.00,7.78,8.95,7.24,6.79,5.45,5.29,6.80,5.64,6.44
EV/Sales Ratio,1.51,1.50,1.48,1.50,1.25,1.31,1.29,1.29,1.37,1.23,1.38
EV/EBITDA Ratio,7.52,7.88,9.26,13.99,11.44,11.89,11.57,9.38,13.61,13.58,15.23
EV/EBIT Ratio,7.52,7.88,9.26,13.99,11.44,11.89,11.57,9.38,13.61,13.58,15.23
EV/FCF Ratio,11.12,11.74,9.15,10.45,8.66,7.96,6.35,6.19,7.80,6.60,7.40
Debt / Equity Ratio,0.26,0.27,0.28,0.28,0.29,0.25,0.22,0.25,0.34,0.32,0.32
Debt / EBITDA Ratio,1.16,1.24,1.46,2.12,1.98,1.88,1.83,1.52,1.97,2.14,2.14
Debt / FCF Ratio,1.72,1.85,1.44,1.58,1.50,1.26,1.00,1.00,1.13,1.04,1.04
Asset Turnover,0.26,0.26,0.27,0.28,0.29,0.29,0.28,0.29,0.32,0.34,0.34
Interest Coverage,14.79,13.71,12.17,8.40,9.41,10.12,10.55,14.11,10.56,9.97,9.97
Return on Equity (ROE),14.60%,14.20%,12.50%,8.70%,11.10%,10.40%,9.90%,12.80%,12.60%,13.30%,13.30%
Return on Assets (ROA),3.50%,3.40%,3.00%,2.00%,2.40%,2.40%,2.40%,3.10%,2.40%,2.50%,2.50%
Return on Capital (ROIC),12.70%,12.39%,11.07%,7.70%,9.58%,8.95%,8.33%,10.89%,10.88%,10.09%,10.09%
Earnings Yield,10.53%,10.02%,8.67%,5.54%,7.95%,7.42%,7.59%,9.52%,6.47%,6.87%,6.02%
FCF Yield,10.53%,10.00%,12.85%,11.17%,13.81%,14.72%,18.33%,18.90%,14.71%,17.72%,15.52%
Dividend Yield,2.00%,2.10%,2.10%,2.10%,2.50%,2.40%,2.40%,2.20%,2.00%,2.10%,1.84%
Payout Ratio,19.90%,21.70%,25.20%,38.30%,32.30%,32.30%,31.90%,23.90%,30.80%,30.40%,31.27%
Buyback Yield / Dilution,8.50%,8.35%,7.30%,4.26%,3.16%,2.78%,2.94%,1.49%,4.43%,3.13%,3.13%
Total Shareholder Return,10.50%,10.45%,9.40%,6.36%,5.66%,5.18%,5.34%,3.69%,6.43%,5.23%,4.97%
