,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"19,914","20,563","16,882","18,330","19,893","17,911","22,284","29,453","31,471","14,034"
Revenue Growth (YoY),4.16%,3.26%,-17.90%,8.57%,8.53%,-9.96%,24.41%,32.17%,6.85%,-55.41%
Cost of Revenue,"9,471","9,801","7,548","8,137","8,786","7,927","9,809","11,501","12,522",0
Gross Profit,"10,443","10,763","9,335","10,193","11,107","9,984","12,475","17,952","18,949","14,034"
Research & Development,"1,314","1,239",975.1,"1,129","1,231","1,126","1,348","1,742","1,745","1,503"
Other Operating Expenses,156.5,12.4,223.4,72.8,37.2,12,39,547,-226,0
Operating Expenses,"7,011","7,293","6,584","7,171","7,703","6,714","8,244","10,487","10,261","8,832"
Operating Income,"3,431","3,469","2,751","3,021","3,404","3,269","4,231","7,465","8,688","5,202"
Interest Income,16.7,5.3,0.2,7.5,9.2,139,71,11,41,303
Interest Expense,122.7,162.8,184.4,162.7,157.4,108.6,275,238,211,-286
Other Expense / Income,-156.5,-771.1,-444.9,-95.1,-37.2,-581.4,-468,-446,226,747
Pretax Income,"3,482","3,324","2,611","2,939","3,293","3,305","4,495","7,598","8,292","5,044"
Income Tax,883.4,725.3,457.9,469,641.9,873,849,"1,251","1,083",301
Net Income,"2,598","3,357","2,554","2,492","2,651","3,008","3,646","6,433","7,209","4,743"
Net Income Growth,-3.58%,29.21%,-23.94%,-2.41%,6.37%,13.48%,21.20%,76.44%,12.06%,-34.21%
Shares Outstanding (Basic),702,698,691,696,701,715,706,715,725,737
Shares Outstanding (Diluted),716,709,700,706,710,726,719,737,737,743
Shares Change,0.72%,-1.06%,-1.23%,0.90%,0.58%,2.15%,-0.94%,2.52%,0.04%,0.81%
EPS (Basic),3.70,4.81,3.69,3.58,3.78,4.21,4.97,8.77,9.80,6.44
EPS (Diluted),3.63,4.74,3.65,3.53,3.73,4.15,4.89,8.61,9.66,6.38
EPS Growth,-4.47%,30.58%,-23.00%,-3.29%,5.67%,11.26%,17.83%,76.07%,12.20%,-33.95%
Free Cash Flow,"3,293","3,289","2,932","2,907","3,438","3,316","5,417","7,064","7,367","5,107"
Free Cash Flow Per Share,4.60,4.64,4.19,4.12,4.84,4.57,7.54,9.59,9.99,6.87
Gross Margin,52.44%,52.34%,55.29%,55.61%,55.83%,55.74%,55.98%,60.95%,60.21%,100.00%
Operating Margin,17.23%,16.87%,16.29%,16.48%,17.11%,18.25%,18.99%,25.35%,27.61%,37.07%
Profit Margin,13.05%,16.33%,15.13%,13.60%,13.33%,16.80%,16.36%,21.84%,22.91%,33.80%
Free Cash Flow Margin,16.54%,15.99%,17.37%,15.86%,17.28%,18.51%,24.31%,23.98%,23.41%,36.39%
Effective Tax Rate,25.37%,21.82%,17.54%,15.96%,19.49%,26.41%,18.89%,16.46%,13.06%,5.97%
EBITDA,"4,543","4,538","4,103","4,340","4,758","4,610","6,116","10,100","10,725","5,202"
EBITDA Margin,22.81%,22.07%,24.30%,23.68%,23.92%,25.74%,27.45%,34.29%,34.08%,37.07%
Depreciation & Amortization,938.5,"1,051","1,128","1,238","1,308","1,190","1,775","2,168","2,222","2,166"
EBIT,"3,605","3,487","2,975","3,102","3,450","3,420","4,341","7,932","8,503","3,036"
EBIT Margin,18.10%,16.96%,17.62%,16.92%,17.34%,19.10%,19.48%,26.93%,27.02%,21.63%
