,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"145,806","148,215","183,020","209,050","222,521","222,034","205,440","212,505","203,519","203,495","221,810","260,406","262,227","233,914","213,855","252,107","277,570","248,079","233,277","260,348","289,770","218,704","240,998","293,045","317,237","310,597","310,698","356,426","361,533","362,410","372,145","414,670","438,189","491,076","534,141","613,143","625,532","508,633","480,841","546,733"
Revenue Growth (YoY),10.93%,11.65%,17.41%,28.59%,52.61%,49.81%,12.25%,1.65%,-8.54%,-8.35%,7.97%,22.54%,28.85%,14.95%,-3.59%,-3.19%,5.85%,6.06%,9.08%,3.27%,4.40%,-11.84%,3.31%,12.56%,9.48%,42.02%,28.92%,21.63%,13.96%,16.68%,19.78%,16.34%,21.20%,35.50%,43.53%,47.86%,42.75%,3.58%,-9.98%,-10.83%
Cost of Revenue,"80,550","77,839","91,826","103,471","111,976","112,585","105,736","110,188","104,608","112,125","107,469","128,367","125,117","112,429","105,102","126,231","138,855","123,104","121,689","136,967","151,728","128,352","137,325","153,613","157,993","149,813","146,005","165,946","166,361","172,571","185,948","201,924","207,434","217,873","218,673","242,644","236,347","222,133","220,641","250,090"
Gross Profit,"65,256","70,376","91,194","105,578","110,545","109,449","99,704","102,316","98,911","91,370","114,341","132,039","137,110","121,486","108,753","125,877","138,715","124,975","111,588","123,381","138,042","90,352","103,673","139,432","159,244","160,784","164,693","190,481","195,172","189,839","186,197","212,746","230,755","273,203","315,468","370,499","389,185","286,500","260,200","296,642"
"Selling, General & Admin","4,908","5,809","6,643","5,935","5,634","5,757","5,943","5,674","5,548","5,260","6,104","7,116","7,216","6,744","6,309","6,491","7,624","6,300","6,549","6,242","7,163","5,601","5,771","7,407","9,307","7,354","8,628","11,208","8,381","8,355","9,710","10,783","15,639","12,563","13,725","17,209","19,948","16,152","16,529","17,571"
Research & Development,"12,002","12,068","13,610","15,207","15,943","16,781","16,612","16,486","15,665","15,619","16,904","18,724","19,961","19,412","19,057","21,045","21,217","20,429","19,892","21,886","23,689","20,417","21,394","23,972","25,636","24,969","24,893","29,684","29,940","30,756","30,873","30,867","32,238","36,049","39,649","42,978","44,587","39,157","41,665","51,138"
Other Operating Expenses,-26.09,2.74,227.25,5.3,766.81,264.63,80.69,"1,787",-251.38,-8.73,5.6,-51.92,25.26,-19.24,86.44,287,"1,011","1,302",662.66,-6.99,143.63,73.52,261.01,146.19,15.58,-68.18,8.58,-445.21,-205.16,189.41,-53.81,92.73,105.07,801.86,-30.27,-11.96,-391.23,-47.11,47.24,-131.23
Operating Expenses,"16,884","17,879","20,481","21,148","22,344","22,803","22,636","23,947","20,961","20,870","23,013","25,789","27,202","26,137","25,453","27,824","29,853","28,031","27,103","28,121","30,996","26,092","27,426","31,525","34,958","32,255","33,529","40,446","38,116","39,301","40,530","41,743","47,983","49,413","53,344","60,175","64,144","55,262","58,242","68,578"
Operating Income,"48,372","52,497","70,714","84,430","88,201","86,646","77,068","78,370","77,949","70,500","91,328","106,250","109,908","95,348","83,300","98,053","108,862","96,944","84,485","95,259","107,046","64,261","76,247","107,907","124,286","128,529","131,164","150,035","157,056","150,538","145,667","171,004","182,772","223,790","262,124","310,324","325,041","231,238","201,958","228,065"
Interest Expense / Income,785.14,796.58,801.45,816.05,822.22,793.94,783.4,792.94,820.02,850.58,821.43,822.67,811.43,816.66,839.91,843.21,830.51,807.97,628.28,739.07,875.88,899.07,864.75,843.43,643.65,530.56,409.14,373.16,768.63,772.1,"1,134","1,334","2,174","2,141","2,904","3,370","3,335","2,964","3,005","3,112"
