,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"12,120","13,200","9,727","10,075","9,433","7,540","8,153","9,159","13,119","14,946","13,320"
Market Cap Growth,14.07%,8.91%,-26.31%,3.57%,-6.37%,-20.07%,8.13%,12.34%,43.24%,13.92%,-
Enterprise Value,"16,022","16,695","13,759","13,405","13,311","12,523","13,582","16,911","19,037","19,465","17,141"
PE Ratio,52.70,28.27,13.18,14.21,74.87,32.36,-6.17,8.17,6.42,9.28,7.10
PS Ratio,0.20,0.23,0.22,0.24,0.21,0.17,0.20,0.22,0.22,0.22,0.22
PB Ratio,1.23,1.56,1.51,1.41,1.32,1.22,1.38,1.51,1.71,1.62,1.30
P/FCF Ratio,10.15,22.68,-374.12,-32.39,-3.58,-4.29,-6.12,-2.35,-3.98,-2.45,39.76
P/OCF Ratio,5.45,9.44,15.95,22.59,-4.78,-5.96,-10.09,-2.59,-4.53,-2.69,9.93
EV/Sales Ratio,0.26,0.29,0.32,0.31,0.29,0.27,0.33,0.41,0.32,0.29,0.28
EV/EBITDA Ratio,7.48,9.72,7.28,7.68,12.23,8.90,-44.24,8.08,6.06,6.93,4.93
EV/EBIT Ratio,10.19,15.03,10.23,11.18,27.79,15.95,-15.89,10.20,7.00,8.11,5.60
EV/FCF Ratio,13.42,28.69,-529.20,-43.10,-5.05,-7.13,-10.20,-4.34,-5.78,-3.19,51.17
Debt / Equity Ratio,0.92,0.62,0.74,0.67,0.67,0.87,0.97,1.34,0.89,0.61,0.58
Debt / EBITDA Ratio,4.26,3.03,2.52,2.74,4.41,3.82,-18.73,3.87,2.17,2.00,1.72
Debt / FCF Ratio,7.63,8.93,-183.38,-15.41,-1.82,-3.06,-4.32,-2.08,-2.07,-0.92,17.89
Quick Ratio,0.59,0.41,0.32,0.41,0.39,0.28,0.31,0.19,0.32,0.41,0.57
Current Ratio,1.42,1.50,1.49,1.44,1.67,1.54,1.55,1.47,1.77,1.75,2.02
Asset Turnover,2.12,2.31,2.34,2.13,2.28,2.13,2.11,2.03,2.43,2.55,2.39
Interest Coverage,4.33,3.20,5.21,5.12,1.82,2.32,-2.52,6.26,11.19,5.96,6.50
Return on Equity (ROE),2.20%,4.90%,10.70%,10.10%,1.70%,3.60%,-23.20%,21.00%,28.20%,18.30%,19.60%
Return on Assets (ROA),0.80%,1.90%,4.00%,3.50%,0.60%,1.10%,-6.80%,5.50%,8.40%,6.10%,7.70%
Return on Capital (ROIC),1.60%,4.59%,8.08%,7.21%,2.03%,4.37%,-7.86%,8.28%,12.33%,12.55%,13.06%
Earnings Yield,1.90%,3.54%,7.59%,7.04%,1.34%,3.09%,-16.22%,12.24%,15.58%,10.77%,14.74%
FCF Yield,9.85%,4.41%,-0.27%,-3.09%,-27.95%,-23.30%,-16.34%,-42.59%,-25.10%,-40.84%,2.52%
Dividend Yield,1.40%,1.40%,2.10%,2.20%,2.60%,3.60%,3.50%,3.00%,2.20%,2.30%,2.89%
Payout Ratio,72.60%,40.00%,28.00%,31.60%,195.60%,116.40%,-21.40%,25.10%,14.10%,21.20%,20.51%
Buyback Yield / Dilution,-0.76%,0.69%,-3.40%,2.64%,4.70%,-0.31%,0.15%,-5.79%,-1.79%,-0.50%,-0.05%
Total Shareholder Return,0.64%,2.09%,-1.30%,4.84%,7.30%,3.29%,3.65%,-2.79%,0.41%,1.80%,2.84%
