,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"30,095","31,903","34,542","33,918","31,639","26,632","23,026","25,256","24,825","25,176","28,492","31,550","32,533","35,267","38,109","41,463","38,561","42,627","50,545","40,727","49,985","53,015","47,324","50,619","37,645","44,977","54,591","60,349","67,643","66,416","59,088","72,446","68,389","54,171","49,241","57,050","48,290","51,620","44,706","53,454","56,931"
Market Cap Growth,24.14%,39.37%,43.15%,18.28%,5.13%,-16.52%,-33.34%,-25.54%,-21.54%,-5.47%,23.74%,24.92%,31.05%,40.08%,33.75%,31.42%,18.53%,20.87%,32.63%,-1.78%,29.62%,24.37%,-6.37%,24.29%,-24.69%,-15.16%,15.36%,19.22%,79.69%,47.67%,8.24%,20.04%,1.10%,-18.44%,-16.66%,-21.25%,-29.39%,-4.71%,-9.21%,-6.30%,-
Enterprise Value,"37,917","39,483","42,031","41,930","40,045","35,133","32,089","34,248","33,734","34,409","37,613","40,806","41,697","44,498","47,265","50,609","47,776","51,843","60,951","51,514","60,978","64,218","58,708","62,235","49,244","56,531","65,955","71,915","79,262","78,463","71,455","85,447","81,662","67,966","63,095","71,776","62,726","66,193","59,784","69,065","72,542"
PE Ratio,16.46,16.57,17.25,16.96,16.29,14.69,13.50,16.23,15.20,15.69,17.66,18.92,18.98,19.53,20.58,7.67,6.98,7.43,8.52,15.28,17.91,18.91,17.16,18.60,15.52,21.46,27.19,29.98,29.35,24.31,20.26,24.11,22.53,17.85,15.20,17.45,15.92,20.09,21.39,29.26,31.43
PS Ratio,2.69,2.79,2.97,2.92,2.75,2.38,2.12,2.40,2.40,2.49,2.87,3.19,3.24,3.45,3.67,3.93,3.61,3.89,4.50,3.55,4.32,4.57,4.11,4.48,3.40,4.39,5.51,6.17,6.90,6.32,5.44,6.50,5.99,4.56,3.98,4.48,3.73,4.07,3.63,4.40,4.68
PB Ratio,2.57,2.64,2.78,2.73,2.60,2.21,1.90,2.07,2.03,2.05,2.30,2.54,2.60,2.79,2.99,2.54,2.35,2.57,3.27,2.65,3.26,3.46,3.11,3.33,2.53,3.03,3.65,4.08,4.62,4.64,4.26,5.31,5.08,4.12,3.78,4.48,3.79,4.08,3.54,4.18,4.45
P/FCF Ratio,26.94,25.87,27.77,37.23,33.77,30.06,65.98,43.10,30.13,52.56,23.61,24.71,26.51,23.67,25.94,23.94,22.23,21.13,24.12,20.58,23.81,24.91,22.40,22.50,15.49,19.19,22.10,24.37,26.89,24.32,20.42,24.61,24.44,20.20,17.24,22.49,18.15,23.23,35.09,58.36,62.15
P/OCF Ratio,10.23,10.60,11.44,11.64,10.70,8.94,8.29,8.69,7.87,8.87,9.46,10.40,10.84,11.10,11.96,12.75,11.96,12.17,13.77,10.93,13.19,13.76,12.33,13.01,9.49,12.16,14.91,16.59,18.30,16.70,14.13,17.03,16.15,12.99,11.28,13.51,10.97,12.72,13.53,16.81,17.91
Debt / Equity Ratio,0.80,0.77,0.72,0.72,0.73,0.78,0.78,0.83,0.78,0.82,0.82,0.82,0.81,0.78,0.78,0.60,0.63,0.58,0.72,0.73,0.74,0.75,0.78,0.80,0.82,0.85,0.85,0.86,0.86,0.96,1.00,1.01,1.10,1.14,1.16,1.19,1.18,1.20,1.31,1.34,1.34
Quick Ratio,1.14,1.18,1.22,1.14,0.74,0.88,0.65,0.92,0.85,0.88,0.87,0.81,0.80,0.67,0.70,0.65,0.86,0.62,0.73,0.53,0.51,0.54,0.52,0.65,0.67,1.02,1.12,0.91,0.86,0.93,1.00,0.72,0.84,0.95,0.85,0.61,0.61,0.55,0.93,1.03,1.03
Current Ratio,1.35,1.38,1.45,1.56,1.01,1.10,0.85,1.13,1.07,1.06,1.04,0.98,0.95,0.83,0.83,0.84,1.04,0.81,0.86,0.72,0.67,0.78,0.73,0.91,0.90,1.21,1.29,1.07,1.02,1.08,1.13,0.86,0.96,1.10,0.97,0.76,0.75,0.68,1.08,1.24,1.24
Interest Coverage,4.99,7.46,7.46,7.12,4.75,6.22,6.28,4.69,5.32,5.61,5.90,5.51,5.61,6.57,6.97,7.66,6.20,8.05,7.39,7.28,6.78,7.10,6.79,6.45,3.83,4.22,5.67,6.42,6.55,7.47,7.01,6.97,6.43,7.39,7.18,6.86,4.38,3.72,4.37,4.34,4.21
Return on Capital (ROIC),Upgrade,9.95%,10.34%,10.69%,10.67%,10.52%,9.71%,9.12%,8.25%,8.87%,8.55%,8.60%,8.59%,8.73%,9.06%,9.17%,23.12%,23.25%,24.58%,25.04%,11.48%,11.78%,11.89%,11.64%,11.36%,10.51%,9.07%,8.70%,8.71%,9.85%,11.16%,12.04%,12.54%,12.34%,12.52%,13.46%,13.64%,12.74%,10.86%,8.53%,7.49%
Dividend Yield,2.10%,2.10%,1.90%,2.00%,2.20%,2.70%,3.10%,2.80%,2.80%,2.80%,2.40%,2.20%,2.10%,2.00%,1.80%,1.70%,1.90%,1.80%,1.60%,2.00%,1.70%,1.70%,1.90%,1.90%,2.50%,2.10%,1.80%,1.60%,1.40%,1.50%,1.70%,1.40%,1.50%,2.10%,2.30%,2.00%,2.40%,2.30%,2.70%,2.30%,2.14%
Payout Ratio,45.80%,29.80%,31.70%,34.80%,58.40%,41.30%,39.30%,49.20%,45.40%,43.10%,37.80%,41.30%,40.90%,35.50%,34.70%,4.40%,37.10%,28.60%,31.50%,31.00%,34.00%,31.60%,37.60%,36.70%,63.50%,61.40%,42.20%,35.60%,37.10%,30.10%,35.50%,34.80%,42.20%,35.80%,30.20%,36.20%,66.20%,86.50%,64.00%,57.90%,67.33%
Buyback Yield / Dilution,1.53%,1.73%,0.78%,-0.17%,0.74%,1.55%,2.63%,3.51%,3.00%,2.99%,2.60%,2.22%,2.56%,2.01%,1.83%,1.98%,2.26%,2.50%,2.83%,4.82%,5.82%,5.87%,5.94%,4.26%,3.59%,3.68%,3.15%,2.59%,2.30%,2.32%,3.19%,4.19%,4.82%,4.76%,4.90%,4.86%,5.00%,4.49%,3.35%,2.32%,2.32%
Total Shareholder Return,3.63%,3.83%,2.68%,1.83%,2.94%,4.25%,5.73%,6.31%,5.80%,5.79%,5.00%,4.42%,4.66%,4.01%,3.63%,3.68%,4.16%,4.30%,4.43%,6.82%,7.52%,7.57%,7.84%,6.16%,6.09%,5.78%,4.95%,4.19%,3.70%,3.82%,4.89%,5.59%,6.32%,6.86%,7.20%,6.86%,7.40%,6.79%,6.05%,4.62%,4.47%
