,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"10,471","16,033","14,276","18,723","16,235","13,302","24,526","27,071","13,681","15,715","16,623"
Market Cap Growth,125.18%,53.12%,-10.96%,31.15%,-13.29%,-18.07%,84.38%,10.38%,-49.46%,14.86%,-
Enterprise Value,"9,666","14,990","13,192","17,106","15,208","12,247","23,702","28,431","15,491","16,461","16,762"
PE Ratio,22.88,20.08,14.35,18.53,17.68,15.58,30.10,18.07,10.73,15.99,18.40
PS Ratio,4.57,4.92,4.34,5.13,4.20,3.94,7.31,5.30,2.49,3.29,3.58
PB Ratio,4.14,5.08,4.03,4.61,3.96,3.23,5.89,5.11,2.50,2.58,2.67
P/FCF Ratio,18.57,28.49,16.07,16.24,19.37,13.73,30.09,23.87,14.63,9.55,9.84
P/OCF Ratio,13.56,16.15,13.25,12.86,12.88,9.73,20.36,15.28,9.60,8.47,8.95
EV/Sales Ratio,4.22,4.60,4.01,4.68,3.93,3.63,7.06,5.56,2.82,3.45,3.61
EV/EBITDA Ratio,14.05,12.29,9.11,11.32,9.32,9.19,18.87,13.88,6.99,9.37,10.53
EV/EBIT Ratio,17.10,14.64,10.99,13.61,11.42,12.74,26.58,17.64,10.16,14.40,16.16
EV/FCF Ratio,17.14,26.64,14.85,14.84,18.14,12.64,29.08,25.07,16.56,10.00,9.93
Debt / Equity Ratio,-,-,-,-,-,-,0.04,0.45,0.44,0.24,0.19
Debt / EBITDA Ratio,-,-,-,-,-,-,0.12,1.16,1.08,0.84,0.74
Debt / FCF Ratio,-,-,-,-,-,-,0.18,2.10,2.56,0.90,0.70
Quick Ratio,3.77,3.41,7.14,5.34,4.32,4.06,2.97,2.70,1.37,1.67,2.77
Current Ratio,4.80,4.13,9.53,6.79,5.81,5.98,5.17,4.35,2.63,3.33,5.02
Asset Turnover,0.86,0.95,0.84,0.85,0.82,0.70,0.66,0.75,0.63,0.55,0.55
Interest Coverage,-,-,-,-,-,-,-,120.31,31.83,17.75,18.04
Return on Equity (ROE),19.40%,27.10%,28.30%,26.20%,22.70%,20.90%,19.50%,30.80%,24.00%,16.90%,15.10%
Return on Assets (ROA),17.20%,23.20%,25.40%,23.60%,19.40%,17.80%,16.10%,22.00%,14.70%,11.30%,10.70%
Return on Capital (ROIC),18.07%,25.26%,28.26%,24.78%,22.20%,20.51%,18.89%,19.69%,16.77%,13.55%,12.66%
Earnings Yield,4.37%,4.98%,6.97%,5.40%,5.66%,6.42%,3.32%,5.53%,9.32%,6.25%,5.44%
FCF Yield,5.38%,3.51%,6.22%,6.16%,5.16%,7.28%,3.32%,4.19%,6.84%,10.48%,10.16%
Dividend Yield,0.40%,0.80%,1.40%,1.10%,1.50%,2.20%,1.20%,1.30%,2.70%,2.60%,2.62%
Payout Ratio,9.00%,15.40%,20.10%,21.20%,26.50%,34.10%,37.60%,22.70%,29.30%,41.20%,48.23%
Buyback Yield / Dilution,-0.21%,-1.19%,1.44%,2.81%,1.87%,4.75%,2.64%,1.71%,2.22%,1.84%,-0.50%
Total Shareholder Return,0.19%,-0.39%,2.84%,3.91%,3.37%,6.95%,3.84%,3.01%,4.92%,4.44%,2.12%
