,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"46,394","47,845","55,820","73,471","83,076","118,362","151,143","183,185","166,127","124,621","117,009"
Market Cap Growth,25.81%,3.13%,16.67%,31.62%,13.07%,42.47%,27.70%,21.20%,-9.31%,-24.98%,-
Enterprise Value,"74,518","76,961","85,368","106,782","120,150","160,345","198,129","237,373","229,492","195,142","187,530"
PE Ratio,18.82,17.39,19.21,13.66,12.52,31.40,51.78,51.27,40.06,17.05,15.84
PS Ratio,2.73,2.74,3.46,4.28,4.97,6.16,8.40,10.73,7.93,4.43,4.16
PB Ratio,2.33,2.12,2.29,2.60,2.43,3.20,4.14,4.92,4.24,2.63,2.47
P/FCF Ratio,22.40,21.58,26.22,69.77,131.04,52.77,674.74,-661.32,-112.25,71.09,66.75
P/OCF Ratio,8.44,7.86,8.76,11.38,12.60,14.51,18.93,24.25,20.11,11.03,10.35
EV/Sales Ratio,4.38,4.40,5.29,6.22,7.18,8.35,11.01,13.91,10.95,6.94,6.67
EV/EBITDA Ratio,10.00,9.59,10.04,12.37,8.82,15.01,22.10,26.04,23.37,11.14,10.70
EV/EBIT Ratio,15.20,14.83,15.86,17.01,12.37,24.80,40.33,45.73,43.15,16.76,16.11
EV/FCF Ratio,35.98,34.71,40.10,101.41,189.51,71.49,884.50,-856.94,-155.06,111.32,106.98
Debt / Equity Ratio,1.44,1.32,1.27,1.24,1.10,1.15,1.32,1.47,1.66,1.54,1.54
Debt / EBITDA Ratio,3.85,3.70,3.63,4.06,2.77,3.99,5.36,6.02,6.62,4.18,4.18
Debt / FCF Ratio,13.86,13.39,14.49,33.26,59.48,18.98,214.69,-197.93,-43.90,41.76,41.76
Quick Ratio,0.28,0.28,0.34,0.40,0.21,0.25,0.26,0.27,0.25,0.26,0.26
Current Ratio,0.72,0.67,0.68,0.64,0.36,0.54,0.47,0.53,0.51,0.55,0.55
Asset Turnover,0.24,0.22,0.19,0.18,0.17,0.17,0.14,0.13,0.14,0.17,0.17
Interest Coverage,3.89,4.29,4.90,4.03,6.48,2.88,2.52,4.09,9.09,3.50,3.50
Return on Equity (ROE),13.00%,12.70%,12.30%,20.30%,19.80%,10.60%,7.90%,9.60%,11.00%,16.00%,16.00%
Return on Assets (ROA),3.40%,3.50%,3.30%,5.70%,6.80%,3.30%,2.40%,2.60%,2.70%,4.30%,4.30%
Return on Capital (ROIC),6.10%,6.13%,5.48%,9.32%,4.81%,6.01%,5.96%,2.88%,3.43%,7.46%,7.46%
Earnings Yield,5.31%,5.75%,5.21%,7.32%,7.99%,3.18%,1.93%,1.95%,2.50%,5.87%,6.25%
FCF Yield,4.46%,4.63%,3.81%,1.43%,0.76%,1.90%,0.15%,-0.15%,-0.89%,1.41%,1.50%
Dividend Yield,2.70%,3.00%,2.90%,2.50%,2.60%,2.10%,1.80%,1.60%,2.00%,3.10%,3.28%
Payout Ratio,51.20%,50.40%,55.50%,34.30%,31.60%,64.10%,94.00%,84.60%,81.00%,51.80%,51.94%
Buyback Yield / Dilution,-3.07%,-3.16%,-2.60%,-1.44%,-0.95%,-3.29%,-0.20%,-0.16%,-1.28%,-3.25%,-3.25%
Total Shareholder Return,-0.37%,-0.16%,0.30%,1.06%,1.65%,-1.19%,1.60%,1.44%,0.72%,-0.15%,0.03%
