,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"1,040","1,038","1,082","1,079","1,127","1,139","1,266","1,166","1,175","1,188","1,320","1,217","1,263","1,285","1,328","1,352","1,438","1,479","1,505","1,483","1,508","1,481","1,513","1,545","1,549","1,527","1,440","1,485","1,524","1,613","1,607","1,647","1,679","1,717","1,764","1,754","1,514","1,730","1,773","1,713"
Revenue Growth (YoY),7.83%,6.80%,6.52%,3.52%,8.35%,9.78%,17.03%,8.03%,4.27%,4.30%,4.25%,4.39%,7.51%,8.20%,0.64%,11.14%,13.78%,15.06%,13.28%,9.70%,4.89%,0.13%,0.56%,4.15%,2.71%,3.09%,-4.82%,-3.90%,-1.57%,5.68%,11.61%,10.93%,10.11%,6.40%,9.76%,6.53%,-9.80%,0.75%,0.48%,-2.38%
Gross Profit,"1,040","1,038","1,082","1,079","1,127","1,139","1,266","1,166","1,175","1,188","1,320","1,217","1,263","1,285","1,328","1,352","1,438","1,479","1,505","1,483","1,508","1,481","1,513","1,545","1,549","1,527","1,440","1,485","1,524","1,613","1,607","1,647","1,679","1,717","1,764","1,754","1,514","1,730","1,773","1,713"
"Selling, General & Admin",695.8,698.6,748.8,705.3,710.2,715.6,739.7,747,750.3,754.4,784,771.6,796.3,829.4,855.1,843.6,909.7,926.3,922.1,905.2,932.7,956,929.3,944.3,984.1,"1,004",951.1,967.7,"1,079","1,046","1,053","1,048","1,090","1,126","1,134","1,148","1,216","1,200","1,220","1,180"
Other Operating Expenses,98.7,69.4,62.2,69.4,71.1,73.4,114.8,65.3,74.5,74.4,141,71.4,77.6,65.1,82.3,92,92.2,69,75.3,97.1,89.2,72.7,76.9,92,88.2,61.8,85.8,127,72.1,71.7,67.5,81.2,78.7,79.7,89.9,82,107.7,85.6,112,98.5
Operating Expenses,794.5,768,811,774.7,781.3,789,854.5,812.3,824.8,828.8,925,843,873.9,894.5,937.4,935.6,"1,002",995.3,997.4,"1,002","1,022","1,029","1,006","1,036","1,072","1,066","1,037","1,095","1,151","1,118","1,121","1,129","1,169","1,206","1,224","1,230","1,324","1,286","1,332","1,278"
Operating Income,245.7,269.5,270.7,304.2,345.8,350,411.4,353.2,350.4,359.2,394.7,373.7,389.5,390.9,390.8,416.6,435.6,483.7,507.2,481,485.9,452.2,506.9,508.6,476.4,461.1,403.2,389.9,373.4,495.9,486.5,518.1,509.6,510.8,540.6,524.5,190.4,444,440.7,434.3
Pretax Income,245.7,269.5,270.7,304.2,345.8,350,411.4,353.2,350.4,359.2,394.7,373.7,389.5,390.9,390.8,416.6,435.6,483.7,507.2,481,485.9,452.2,506.9,508.6,476.4,461.1,403.2,389.9,373.4,495.9,486.5,518.1,509.6,510.8,540.6,524.5,190.4,444,440.7,434.3
Income Tax,76,88.1,88.8,99.7,101.8,119.3,142.2,118.6,111.1,113.8,131.7,116.1,123,114.8,122.9,118.2,79,102.1,116.8,106.5,76,105.1,117.5,124,105.3,100.5,89.9,95.4,132.5,120.8,118.4,122.4,103.2,121.5,144.4,129.7,34.7,109.4,108.9,106.5
Net Income,169.7,181.4,181.9,204.5,244,230.7,269.2,234.6,239.3,245.4,263,257.6,266.5,276.1,267.9,298.4,356.6,381.6,390.4,374.5,409.9,347.1,389.4,384.6,371.1,360.6,313.3,294.5,240.9,375.1,368.1,395.7,406.4,389.3,396.2,394.8,155.7,334.6,331.8,327.8
Preferred Dividends,0,0,0,0,9.5,5.9,5.8,5.8,5.9,5.9,5.8,5.9,5.8,20.7,5.9,17.3,5.9,17.3,5.9,17.3,5.9,17.3,5.9,17.4,5.8,30.5,4.8,16.2,4.7,16.2,4.7,16.2,4.7,16.2,4.7,16.2,4.7,16.2,4.7,16.2
Net Income Common,169.7,181.4,181.9,204.5,234.5,224.8,263.4,228.8,233.4,239.5,257.2,251.7,260.7,255.4,262,281.1,350.7,364.3,384.5,357.2,404,329.8,383.5,367.2,365.3,330.1,308.5,278.3,236.2,358.9,363.4,379.5,401.7,373.1,391.5,378.6,151,318.4,327.1,311.6
