,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,957","6,222","6,079","9,774","7,300","10,515","11,560","14,472","10,373","22,254","21,519"
Market Cap Growth,1.97%,-21.81%,-2.29%,60.79%,-25.32%,44.05%,9.94%,25.19%,-28.33%,114.54%,-
Enterprise Value,"8,606","7,789","8,817","12,913","9,542","12,355","12,092","15,294","11,910","22,866","22,131"
PE Ratio,16.77,12.59,10.09,21.86,7.14,10.34,8.22,7.44,3.96,8.55,8.66
PS Ratio,1.37,1.04,0.79,1.14,0.72,1.03,1.05,1.05,0.65,1.39,1.34
PB Ratio,1.66,1.31,1.31,2.35,1.52,1.93,1.76,1.93,1.16,2.14,2.07
P/FCF Ratio,30.71,-16.24,209.80,15.49,5.25,10.33,6.70,15.54,18.66,10.57,10.22
P/OCF Ratio,25.84,-18.43,89.04,14.74,5.04,9.77,6.48,14.41,15.52,10.13,9.80
EV/Sales Ratio,1.48,1.30,1.15,1.51,0.94,1.21,1.10,1.11,0.74,1.42,1.38
EV/EBITDA Ratio,11.80,9.03,8.93,13.05,6.83,8.87,6.74,5.93,3.39,6.48,6.27
EV/EBIT Ratio,12.48,9.54,9.44,13.75,7.08,9.22,6.99,6.09,3.46,6.63,6.42
EV/FCF Ratio,33.22,-20.33,304.29,20.46,6.87,12.14,7.01,16.42,21.43,10.87,10.52
Debt / Equity Ratio,0.41,0.49,0.74,0.83,0.70,0.57,0.48,0.35,0.30,0.24,0.24
Debt / EBITDA Ratio,2.68,2.72,3.50,3.48,2.42,2.22,1.76,1.03,0.75,0.70,0.70
Debt / FCF Ratio,7.56,-6.12,119.45,5.46,2.43,3.04,1.83,2.85,4.74,1.17,1.17
Asset Turnover,0.69,0.69,0.78,0.87,1.02,0.99,0.96,1.11,1.15,1.04,1.04
Return on Equity (ROE),10.10%,10.60%,12.70%,10.20%,22.30%,19.70%,23.30%,27.50%,32.50%,26.40%,26.40%
Return on Assets (ROA),5.60%,5.70%,6.10%,4.50%,10.30%,9.90%,12.20%,15.70%,18.70%,16.80%,16.80%
Return on Capital (ROIC),7.01%,6.96%,7.42%,5.89%,12.47%,11.94%,14.45%,19.67%,22.76%,20.01%,20.01%
Earnings Yield,5.96%,7.94%,9.91%,4.58%,14.00%,9.67%,12.17%,13.45%,25.23%,11.69%,12.09%
FCF Yield,3.26%,-6.16%,0.48%,6.46%,19.03%,9.68%,14.93%,6.43%,5.36%,9.46%,9.78%
Dividend Yield,1.10%,1.90%,2.00%,1.10%,1.50%,1.20%,1.20%,1.00%,1.30%,0.70%,0.79%
Payout Ratio,18.10%,23.90%,20.50%,24.80%,10.70%,12.30%,9.60%,7.70%,5.50%,5.80%,6.83%
Buyback Yield / Dilution,3.30%,3.82%,4.91%,10.32%,7.15%,3.36%,2.14%,3.52%,9.14%,6.35%,6.35%
Total Shareholder Return,4.40%,5.72%,6.91%,11.42%,8.65%,4.56%,3.34%,4.52%,10.44%,7.05%,7.14%
