,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"14,976","13,779","14,268","14,290","15,895","13,977","14,095","14,237","16,054","14,418","14,629","14,928","17,635","15,510","15,927","16,173","18,975","17,113","17,456","17,444","19,848","17,160","18,048","18,318","20,568","18,035","20,459","21,238","24,896","22,908","23,424","23,184","27,771","24,378","24,766","24,161","27,033","22,925","22,055","21,061"
Revenue Growth (YoY),2.78%,2.57%,5.63%,5.69%,6.14%,1.44%,-1.21%,-0.37%,1.00%,3.16%,3.79%,4.85%,9.85%,7.57%,8.87%,8.34%,7.60%,10.34%,9.60%,7.86%,4.60%,0.27%,3.39%,5.01%,3.63%,5.10%,13.36%,15.94%,21.04%,27.02%,14.49%,9.16%,11.55%,6.42%,5.73%,4.21%,-2.66%,-5.96%,-10.95%,-12.83%
Cost of Revenue,"1,372","1,301","1,321","1,319","1,313",994,996,979,913,815,888,927,"1,030","1,011","1,008","1,035","1,237","1,184","1,275","1,304","1,396","1,204","1,330","1,309","1,284","1,324","1,053","1,194","1,376","1,426","1,514","1,569","1,781","1,921","2,424","2,262","2,178","1,996","1,772","1,851"
Gross Profit,"13,604","12,478","12,947","12,971","14,582","12,983","13,099","13,258","15,141","13,603","13,741","14,001","16,605","14,499","14,919","15,138","17,738","15,929","16,181","16,140","18,452","15,956","16,718","17,009","19,284","16,711","19,406","20,044","23,520","21,482","21,910","21,615","25,990","22,457","22,342","21,899","24,855","20,929","20,283","19,210"
"Selling, General & Admin","7,894","7,562","8,616","7,458","9,453","7,858","7,732","7,699","8,761","8,122","7,983","8,105","9,361","8,610","8,548","8,719","9,855","9,406","9,345","9,336","10,510","9,688","9,621","9,936","11,055","10,469","11,198","11,453","12,948","11,949","11,729","11,532","13,195","12,102","11,766","11,924","13,781","12,013","11,655","12,009"
Other Operating Expenses,"3,802","3,403","3,584","3,559","4,375","3,452","3,407","3,575","4,329","3,658","3,720","3,862","5,451","4,272","4,334","4,607","5,820","5,003","5,063","5,077","5,938","4,874","4,954","4,945","6,096","5,170","5,996","6,228","8,535","6,768","6,923","7,187","8,904","7,104","7,041","6,862","7,879","6,375","5,848","5,858"
Operating Expenses,"11,696","10,965","12,200","11,017","13,828","11,310","11,139","11,274","13,090","11,780","11,703","11,967","14,812","12,882","12,882","13,326","15,675","14,409","14,408","14,413","16,448","14,562","14,575","14,881","17,151","15,639","17,194","17,681","21,483","18,717","18,652","18,719","22,099","19,206","18,807","18,786","21,660","18,388","17,503","17,867"
Operating Income,"1,908","1,513",747,"1,954",754,"1,673","1,960","1,984","2,051","1,823","2,038","2,034","1,793","1,617","2,037","1,812","2,063","1,520","1,773","1,727","2,004","1,394","2,143","2,128","2,133","1,072","2,212","2,363","2,037","2,765","3,258","2,896","3,891","3,251","3,535","3,113","3,195","2,541","2,780","1,343"
Interest Expense / Income,94,90,89,87,87,87,86,83,85,93,94,94,100,102,111,111,129,153,149,155,148,169,159,159,166,167,183,176,175,177,167,177,173,174,171,177,182,188,191,199
Other Expense / Income,-10,-,-25,-2,5,-4,-4,-4,-3,-17,-8,-13,"2,224",-195,-193,-236,563,-294,-302,-317,"1,313",-215,-220,-237,"2,165",-345,-328,-338,"6,150","-3,616",-345,-274,-244,-315,-333,-333,"-1,454",-169,-131,-124
Pretax Income,"1,824","1,423",683,"1,869",662,"1,590","1,878","1,905","1,969","1,747","1,952","1,953",-531,"1,710","2,119","1,937","1,371","1,661","1,926","1,889",543,"1,440","2,204","2,206",-198,"1,250","2,357","2,525","-4,288","6,204","3,436","2,993","3,962","3,392","3,697","3,269","4,467","2,522","2,720","1,268"
Income Tax,657,512,229,655,209,564,648,648,638,616,683,683,-283,544,735,678,275,316,441,381,90,329,519,456,-92,285,589,568,-941,"1,412",760,664,869,730,848,685,"1,014",627,639,141
Net Income,"1,167",911,454,"1,214",453,"1,026","1,230","1,257","1,331","1,131","1,269","1,270",-248,"1,166","1,384","1,259","1,096","1,345","1,485","1,508",453,"1,111","1,685","1,750",-106,965,"1,768","1,957","-3,347","4,792","2,676","2,329","3,093","2,662","2,849","2,584","3,453","1,895","2,081","1,127"
Net Income Growth,-,-12.15%,-57.61%,10.67%,-61.18%,12.62%,170.93%,3.54%,193.82%,10.23%,3.17%,1.03%,-,3.09%,9.06%,-0.87%,-,15.35%,7.30%,19.78%,-58.67%,-17.40%,13.47%,16.05%,-,-13.14%,4.93%,11.83%,-,396.58%,51.36%,19.01%,-,-44.45%,6.46%,10.95%,11.64%,-28.81%,-26.96%,-56.39%
Shares Outstanding (Basic),928,923,915,914,905,903,901,896,890,884,883,878,873,870,868,866,862,862,862,860,859,860,861,859,858,858,862,863,864,867,871,871,869,870,874,869,865,859,859,854
