,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"12,494","9,690","8,400","10,772","7,235","8,958","9,448","10,806","9,425","8,427","7,034"
Market Cap Growth,-1.80%,-22.45%,-13.31%,28.23%,-32.83%,23.80%,5.48%,14.38%,-12.79%,-10.59%,-
Enterprise Value,"13,036","11,662","10,176","12,415","8,610","10,086","11,585","13,289","12,542","10,673","9,280"
PE Ratio,19.05,16.79,14.12,24.48,7.77,12.01,18.90,20.12,9.98,13.48,11.46
PS Ratio,1.50,1.21,0.93,1.10,0.69,0.88,0.93,0.92,0.75,0.59,0.50
PB Ratio,3.46,2.73,2.61,2.90,1.71,1.90,1.47,1.56,1.31,1.45,1.21
P/FCF Ratio,52.32,33.34,15.70,17.37,11.75,16.71,12.79,15.39,16.31,14.16,11.82
P/OCF Ratio,15.58,11.16,8.11,9.13,6.43,8.89,7.98,8.93,7.99,6.03,5.03
EV/Sales Ratio,1.57,1.45,1.12,1.27,0.82,0.99,1.14,1.13,0.99,0.75,0.65
EV/EBITDA Ratio,9.91,9.56,7.39,8.28,5.28,8.02,12.09,19.18,10.54,11.55,10.04
EV/EBIT Ratio,13.24,12.97,10.32,11.38,7.17,8.02,12.09,19.18,10.54,11.55,10.04
EV/FCF Ratio,54.59,40.13,19.02,20.02,13.98,18.82,15.68,18.93,21.70,17.94,15.60
Debt / Equity Ratio,0.37,0.72,0.69,0.59,0.50,0.42,0.59,0.62,0.58,0.65,0.65
Debt / EBITDA Ratio,1.02,2.09,1.61,1.46,1.30,1.56,3.95,6.24,3.53,4.09,4.09
Debt / FCF Ratio,5.61,8.78,4.15,3.53,3.43,3.66,5.12,6.16,7.27,6.35,6.35
Quick Ratio,1.03,0.95,1.02,1.06,1.14,1.18,1.20,1.25,0.84,1.23,1.23
Current Ratio,1.37,1.33,1.39,1.46,1.59,1.65,1.62,1.74,1.56,1.65,1.65
Asset Turnover,1.13,1.01,1.01,1.03,1.06,1.01,0.87,0.72,0.77,0.90,0.90
Interest Coverage,27.05,14.89,11.65,15.37,20.36,29.23,15.70,7.62,23.33,92.40,92.40
Return on Equity (ROE),17.70%,16.00%,16.60%,12.10%,23.00%,16.70%,9.70%,8.10%,13.50%,9.40%,9.40%
Return on Assets (ROA),8.90%,7.30%,6.70%,4.60%,9.40%,7.40%,4.30%,3.30%,5.70%,4.00%,4.00%
Return on Capital (ROIC),13.45%,10.02%,11.82%,8.88%,15.30%,12.01%,3.37%,7.23%,7.32%,8.26%,8.26%
Earnings Yield,5.25%,5.96%,7.08%,4.08%,12.87%,8.33%,5.29%,4.97%,10.02%,7.42%,8.89%
FCF Yield,1.91%,3.00%,6.37%,5.76%,8.51%,5.98%,7.82%,6.50%,6.13%,7.06%,8.46%
Dividend Yield,0.90%,1.20%,1.30%,1.20%,2.00%,1.60%,1.80%,1.50%,1.70%,1.60%,1.44%
Payout Ratio,17.60%,20.20%,19.10%,28.20%,15.20%,18.70%,28.90%,30.20%,17.00%,20.90%,16.48%
Buyback Yield / Dilution,1.04%,1.43%,4.57%,1.78%,0.95%,1.29%,-3.48%,-11.92%,1.13%,1.01%,1.01%
Total Shareholder Return,1.94%,2.63%,5.87%,2.98%,2.95%,2.89%,-1.68%,-10.42%,2.83%,2.61%,2.45%
