,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"31,500","32,340","35,609","37,091","39,190","37,350","39,470","37,240","41,065","43,394","48,242","48,221","44,987","51,921","56,237","58,660","61,185","64,073","63,674","64,053","69,681","86,930","90,372","97,891","101,797","96,444","114,612","107,224","99,708","106,235","120,158","120,799","133,209","114,527","116,621","99,962","98,643","95,150","90,384","76,659","87,233"
Market Cap Growth,3.11%,6.41%,23.05%,26.67%,24.41%,15.49%,10.84%,0.40%,4.78%,16.18%,22.22%,29.49%,9.55%,19.65%,16.57%,21.65%,36.01%,23.40%,13.22%,9.19%,13.89%,35.67%,41.93%,52.83%,46.09%,10.94%,26.82%,9.53%,-2.05%,10.15%,4.84%,12.66%,33.60%,7.81%,-2.94%,-17.25%,-25.95%,-16.92%,-22.50%,-23.31%,-
Enterprise Value,"45,513","46,145","49,127","50,565","53,251","52,603","55,244","53,828","57,721","59,939","66,405","66,219","62,580","69,948","74,565","76,973","80,434","83,777","83,737","83,956","89,536","113,831","116,976","124,849","131,279","126,236","144,303","137,187","134,559","140,937","162,500","159,243","182,874","164,479","163,887","144,374","143,554","140,134","135,412","121,244","131,729"
PE Ratio,57.14,55.53,49.97,50.64,48.93,47.76,57.94,66.79,69.03,65.77,69.79,56.55,52.97,58.32,52.38,51.71,53.14,56.30,57.86,54.79,56.79,64.46,61.44,61.08,53.92,50.62,59.62,56.79,58.98,55.31,54.11,48.72,51.88,43.47,41.86,34.43,55.86,68.46,93.43,107.28,123.93
PS Ratio,9.37,9.13,9.46,9.28,9.56,8.90,9.10,8.21,8.61,8.71,9.19,8.73,7.78,8.49,8.88,9.03,9.18,9.44,9.22,9.13,9.37,11.57,11.86,12.57,13.43,12.43,14.73,13.67,12.40,12.95,13.98,13.37,14.24,11.62,11.40,9.57,9.21,8.80,8.28,6.93,7.88
PB Ratio,8.91,8.81,8.08,8.84,9.91,5.08,5.40,5.63,6.17,6.26,7.12,7.19,6.65,7.58,8.68,9.00,9.80,10.12,11.47,11.97,13.06,16.26,16.50,18.68,20.14,26.54,31.66,28.73,24.36,27.36,20.88,22.32,26.22,21.36,16.76,15.91,17.70,17.60,17.50,16.91,19.22
P/FCF Ratio,36.02,37.30,36.46,36.20,33.78,29.92,30.85,27.80,28.56,28.99,28.30,25.17,22.28,24.49,26.42,27.97,28.83,29.06,27.36,26.52,24.58,30.98,31.32,32.69,36.87,34.66,41.41,38.19,34.99,35.04,41.04,30.25,38.69,38.79,41.30,65.99,54.12,44.18,37.71,27.05,30.75
P/OCF Ratio,19.70,19.23,18.87,18.32,18.36,17.23,18.81,17.66,18.95,19.54,19.76,18.53,16.65,18.44,19.64,20.51,20.91,21.08,19.99,19.56,18.59,23.23,23.55,24.34,27.13,25.60,30.81,28.65,25.69,25.45,29.04,22.91,27.64,26.08,26.78,31.33,26.69,23.19,20.55,16.09,18.29
Debt / Equity Ratio,4.10,3.90,3.17,3.32,3.68,2.14,2.22,2.57,2.57,2.46,2.76,2.78,2.74,2.76,2.97,2.96,3.24,3.37,3.80,3.97,3.97,5.24,5.09,5.42,6.14,8.58,8.78,8.49,8.97,9.45,7.71,7.79,10.24,9.74,7.11,7.43,8.44,8.68,9.13,10.33,10.33
Quick Ratio,0.66,0.59,0.28,0.34,0.35,0.37,0.64,0.47,0.58,0.58,0.51,0.63,0.77,0.38,0.38,0.65,0.58,0.49,0.34,0.41,0.38,0.36,0.36,0.39,0.37,0.39,0.45,0.71,0.65,0.60,0.46,0.68,0.34,0.33,0.40,0.45,0.35,0.35,0.41,0.42,0.42
Current Ratio,1.06,0.82,0.45,0.51,0.50,0.54,0.91,0.69,0.83,0.87,0.80,0.90,1.04,0.53,0.55,0.87,0.81,0.62,0.47,0.53,0.51,0.47,0.46,0.49,0.47,0.49,0.54,0.87,0.80,0.72,0.56,0.77,0.41,0.41,0.50,0.57,0.44,0.46,0.53,0.56,0.56
Interest Coverage,1.98,2.54,2.75,2.52,2.31,2.47,2.14,2.32,2.73,2.90,2.28,2.51,2.47,2.87,3.06,2.86,1.97,2.27,2.47,2.81,1.87,3.08,3.24,3.66,3.30,3.09,3.31,3.64,3.16,4.36,4.83,4.43,3.41,3.80,4.27,3.98,-1.39,2.14,2.40,2.82,1.60
Return on Capital (ROIC),Upgrade,6.23%,6.54%,6.49%,7.03%,7.48%,6.21%,6.04%,5.35%,5.48%,5.58%,5.22%,6.16%,6.28%,6.49%,7.23%,7.47%,7.42%,6.95%,7.21%,7.38%,8.05%,6.73%,7.03%,7.36%,7.45%,8.11%,8.07%,8.20%,6.57%,6.77%,5.69%,6.09%,4.98%,4.82%,4.92%,4.97%,4.36%,4.33%,4.47%,4.49%
Dividend Yield,1.40%,1.30%,1.40%,1.40%,1.40%,1.50%,1.70%,1.90%,1.90%,1.80%,1.80%,1.80%,2.10%,1.80%,1.80%,1.80%,1.80%,1.80%,2.00%,2.10%,2.00%,1.60%,1.70%,1.60%,1.60%,1.70%,1.60%,1.80%,2.00%,1.90%,1.80%,1.90%,1.80%,2.10%,2.20%,2.00%,2.80%,2.90%,3.20%,3.70%,3.63%
Payout Ratio,111.50%,0.00%,113.80%,72.00%,90.50%,0.00%,277.40%,255.60%,100.00%,0.00%,273.70%,98.20%,120.80%,0.00%,155.60%,94.30%,137.30%,0.00%,220.30%,95.20%,133.30%,0.00%,187.60%,84.10%,79.50%,0.00%,215.80%,108.60%,147.60%,0.00%,151.20%,82.40%,140.40%,0.00%,144.40%,0.00%,-203.40%,0.00%,306.90%,0.00%,450.33%
