,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,446.49,494.7,441.95,430.85,473.7,452.91,409.85,425.33,462.88,477.27,553.3,681.01,936.5,858.26,913.3,954.68,954.9,"1,279",970.1,"1,293","1,305","1,100","1,286","1,448","1,578","1,400","2,106","1,730","1,861","1,993","2,001","3,699","2,343","2,271","2,203","2,250","2,141","1,925","2,149","2,232"
Short-Term Investments,18.61,34.43,15.3,29.01,6.3,14.39,40.39,14.49,0,0,0,0,4,5.29,1.01,1.03,1,389.4,80.8,68.2,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,465.1,529.13,457.25,459.86,480,467.3,450.24,439.82,462.88,477.27,553.3,681.01,940.5,863.55,914.31,955.71,955.9,"1,668","1,051","1,362","1,305","1,118","1,286","1,448","1,578","1,400","2,106","1,730","1,861","1,993","2,001","3,699","2,343","2,271","2,203","2,250","2,141","1,925","2,149","2,232"
Cash Growth,4.76%,5.52%,-18.35%,-89.05%,3.20%,-11.69%,-1.53%,-4.36%,-3.57%,2.13%,22.89%,54.84%,103.18%,80.94%,65.25%,40.34%,1.64%,93.19%,14.94%,42.46%,36.51%,-32.98%,22.37%,6.38%,20.93%,25.24%,63.77%,19.46%,17.96%,42.35%,-5.00%,113.81%,25.89%,13.95%,10.11%,-39.19%,-8.65%,-15.23%,-2.44%,-0.80%
Receivables,151.17,227.16,174.61,198.12,199.07,175.78,212.92,206.15,227.35,217.46,285.42,273.91,308.4,369.97,322.06,508.63,513.6,557.9,506.9,511.1,459,473,459.5,441.7,462.2,623.9,585.2,573.6,511.6,537.7,739.6,750.6,728.9,820.4,792.7,722.4,758.3,705.4,684,647.7
Other Current Assets,369.82,286.7,366.58,338.96,278.79,282.74,277.42,294.39,306.24,341.79,481.88,415.84,441,477.67,566.39,499.24,568.6,571.2,569.3,564.4,621.2,471.2,486.9,472,513.6,480.7,535.3,548.7,532.6,490.6,615.6,592,657.2,700.1,729.8,787,723.3,819.3,848,970.6
Total Current Assets,986.09,"1,043",998.45,996.94,957.87,925.82,940.58,940.36,996.47,"1,037","1,321","1,371","1,690","1,711","1,803","1,964","2,038","2,797","2,127","2,437","2,385","2,062","2,232","2,362","2,554","2,505","3,227","2,853","2,906","3,022","3,356","5,042","3,729","3,792","3,726","3,759","3,622","3,450","3,681","3,850"
"Property, Plant & Equipment","7,178","7,344","7,590","7,552","7,590","9,423","9,586","9,806","9,866","9,918","10,575","10,452","10,517","10,717","10,726","10,795","11,101","11,295","11,067","10,996","11,247","18,284","18,379","18,498","19,442","18,420","18,480","18,896","20,598","20,432","23,410","23,290","29,009","29,184","28,875","28,260","28,917","28,796","28,741","28,413"
Long-Term Investments,509.17,453.6,515.18,528.84,575.25,778.12,736.82,788.78,732.9,753.94,809.29,813.93,841.5,863.35,888.85,931.48,950.1,990.3,"1,025",978.3,962.6,279.1,263.8,248.9,406.4,407,393.4,315.2,400.1,394.1,401.8,395.4,400.9,423.8,427.4,492.8,546.7,669.9,710.1,655.1
Goodwill and Intangibles,"10,425","10,355","10,493","10,256","10,856","13,517","13,890","14,068","13,930","13,937","16,573","16,555","16,345","17,207","17,100","16,953","17,422","17,587","17,285","16,945","16,676","16,581","16,453","16,377","18,497","17,549","17,436","17,366","21,123","20,770","29,360","29,249","34,077","33,531","32,195","31,007","30,940","30,634","30,337","29,225"
Other Long-Term Assets,"1,186","1,222","1,251","1,263","1,284","1,287","1,316","1,324","1,379","1,418","1,462","1,464","1,485","1,559","1,621","1,677","1,703","1,703","1,702","1,721","1,739","1,721","1,745","1,821","1,903","1,908","1,980","2,033","2,207","2,325","2,455","2,554","2,671","2,833","2,894","2,994","3,168","3,268","3,410","3,510"
Total Long-Term Assets,"19,298","19,374","19,849","19,600","20,306","25,004","25,529","25,986","25,908","26,028","29,420","29,285","29,189","30,346","30,335","30,356","31,176","31,575","31,079","30,640","30,625","36,865","36,840","36,945","40,248","38,284","38,289","38,610","44,328","43,921","55,627","55,488","66,159","65,972","64,391","62,754","63,572","63,368","63,198","61,803"
Total Assets,"20,284","20,417","20,848","20,597","21,264","25,930","26,470","26,927","26,904","27,064","30,740","30,656","30,879","32,057","32,138","32,319","33,214","34,373","33,206","33,077","33,010","38,927","39,073","39,307","42,802","40,789","41,516","41,462","47,234","46,943","58,983","60,530","69,888","69,764","68,117","66,513","67,195","66,818","66,879","65,653"
Accounts Payable,173.51,243.01,272.57,258.69,250.23,251.7,270.84,296.42,306.74,312.47,348.18,342.16,369.3,376.79,380.5,406.66,447.3,453.7,481.9,477.1,508.2,533.1,557.9,563.7,603.1,604.5,601.6,629.6,683.7,685.9,776.5,819.6,914.5,859.9,867,909.1,963.9,951.3,967.3,992.1
Deferred Revenue,162.08,215.43,204.44,190.62,233.82,220.45,193.51,203.3,211,222.39,224.31,254.34,245.4,284.22,283.49,288.88,268.8,331.4,328.6,276.6,304.1,293,334.8,302.9,294.3,408.5,400.2,324.4,390.6,506.5,549.7,"1,448","1,204","1,016",729.4,529.8,439.7,554.2,515.7,472.5
Current Debt,70.13,325.17,"1,226",960.46,897.39,789.15,38.81,45.85,50.2,137.85,314.06,242.99,238.8,"1,707","1,732",687.38,774.8,"2,803","2,792","2,841","2,755","2,596","2,939","2,919","3,423","3,117","3,860","1,259","1,330","1,892","3,360","2,841","5,281","6,041","4,367","3,782","5,303","4,647","4,000","3,937"
Other Current Liabilities,526.94,491.39,540.25,528.16,548.1,470.1,533.46,823.94,632.09,525.45,769.08,680.07,777.8,840.72,882.89,877.31,"1,021",956.4,960.6,984.7,"1,123",990.2,989.8,"1,002","1,168","1,025","1,083","1,054","1,252","1,112","1,266","1,416","1,668","1,383","1,499","1,402","1,605","1,380","1,443","1,467"
Total Current Liabilities,932.66,"1,275","2,243","1,938","1,930","1,731","1,037","1,370","1,200","1,198","1,656","1,520","1,631","3,209","3,279","2,260","2,512","4,545","4,563","4,580","4,690","4,412","4,822","4,787","5,488","5,154","5,945","3,266","3,656","4,197","5,952","6,524","9,067","9,300","7,462","6,623","8,312","7,532","6,926","6,869"
Long-Term Debt,"14,408","14,009","12,749","12,974","13,643","14,931","16,185","16,982","17,069","16,884","18,403","18,436","18,295","17,183","17,510","18,581","19,430","18,569","18,322","18,423","18,405","25,423","24,951","25,488","27,638","28,075","27,936","30,435","35,382","34,803","40,984","39,302","46,727","46,182","45,102","42,880","41,748","42,263","43,177","42,879"
Other Long-Term Liabilities,"1,353","1,432","1,447","1,500","1,638","1,836","1,875","1,892","1,923","1,982","2,756","2,825","2,886","3,151","3,148","3,221","3,318","3,253","3,185","3,191","3,011","2,602","2,667","2,662","3,089","2,954","3,032","3,017","3,415","3,391","5,014","5,015","5,024","5,031","4,827","4,691","4,726","4,773","4,769","4,671"
Total Long-Term Liabilities,"15,761","15,441","14,196","14,473","15,281","16,767","18,060","18,873","18,991","18,866","21,159","21,261","21,180","20,334","20,658","21,803","22,748","21,822","21,507","21,614","21,416","28,026","27,618","28,150","30,727","31,029","30,968","33,452","38,798","38,194","45,998","44,318","51,751","51,213","49,929","47,572","46,474","47,035","47,946","47,550"
Total Liabilities,"16,694","16,716","16,440","16,411","17,210","18,499","19,097","20,243","20,191","20,064","22,815","22,781","22,812","23,543","23,937","24,063","25,260","26,366","26,070","26,194","26,106","32,438","32,439","32,937","36,215","36,183","36,913","36,718","42,453","42,391","51,950","50,842","60,818","60,513","57,391","54,194","54,786","54,567","54,872","54,419"
Total Debt,"14,478","14,334","13,975","13,934","14,540","15,720","16,224","17,027","17,119","17,022","18,717","18,679","18,534","18,890","19,242","19,269","20,205","21,372","21,114","21,264","21,160","28,019","27,890","28,407","31,060","31,192","31,796","31,694","36,712","36,696","44,343","42,143","52,009","52,223","49,469","46,662","47,051","46,909","47,177","46,816"
Debt Growth,65.40%,61.98%,57.81%,10.19%,0.43%,9.67%,16.09%,22.20%,17.73%,8.28%,15.37%,9.70%,8.26%,10.97%,2.80%,3.16%,9.02%,13.14%,9.73%,10.36%,4.73%,31.10%,32.10%,33.59%,46.79%,11.33%,14.00%,11.57%,18.20%,17.64%,39.46%,32.97%,41.67%,42.31%,11.56%,10.72%,-9.53%,-10.18%,-4.63%,0.33%
Common Stock,"4,927","4,950","5,569","5,554","5,585","9,380","9,416","9,447","9,487","9,512","9,578","9,614","9,840","9,666","9,321","9,332","9,278","9,255","9,182","9,151","9,179","9,246","9,290","9,350","8,896","8,989","9,020","9,092","9,196","9,197","10,742","10,804","10,963","10,988","13,329","13,369","13,393","13,429","13,483","13,527"
