,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"19,334","18,843","22,452","26,340","23,811","30,075","24,200","30,182","33,822","31,405","30,145"
Market Cap Growth,19.41%,-2.53%,19.15%,17.32%,-9.60%,26.31%,-19.53%,24.72%,12.06%,-7.15%,-
Enterprise Value,"31,541","32,173","37,450","42,102","43,516","51,397","47,843","54,398","56,955","55,225","53,965"
PE Ratio,17.70,15.80,18.03,17.27,17.23,22.39,21.98,22.42,20.38,12.47,12.11
PS Ratio,1.50,1.50,1.86,2.19,1.93,2.39,1.98,2.21,2.16,2.14,2.06
PB Ratio,1.54,1.44,1.57,1.71,1.42,1.67,1.28,1.51,1.64,1.48,1.42
P/FCF Ratio,37.18,84.50,-21.49,-302.76,-22.79,-82.40,-14.12,-24.74,-145.16,-13.43,-13.43
P/OCF Ratio,6.83,5.75,6.49,7.82,8.84,9.60,11.01,11.04,8.60,14.57,13.98
EV/Sales Ratio,2.44,2.56,3.10,3.50,3.53,4.09,3.91,3.98,3.63,3.77,3.68
EV/EBITDA Ratio,9.49,8.98,9.71,10.35,10.77,11.91,11.58,12.16,11.24,9.11,8.91
EV/EBIT Ratio,14.01,13.13,14.19,15.44,16.72,19.54,21.65,22.29,18.92,13.71,13.39
EV/FCF Ratio,60.65,144.28,-35.84,-483.93,-41.64,-140.81,-27.91,-44.59,-244.44,-23.62,-23.62
Debt / Equity Ratio,1.03,1.09,1.11,1.08,1.24,1.25,1.33,1.27,1.18,1.18,1.18
Debt / EBITDA Ratio,3.89,3.99,4.11,4.08,5.13,5.22,6.07,5.67,4.82,4.13,4.13
Debt / FCF Ratio,24.82,64.01,-15.15,-190.87,-19.82,-61.75,-14.63,-20.79,-104.79,-10.70,-10.70
Quick Ratio,0.67,0.56,0.67,0.55,0.49,0.51,0.55,0.75,0.38,0.74,0.74
Current Ratio,0.99,0.81,0.89,0.72,0.62,0.68,0.72,1.02,1.14,1.01,1.01
Asset Turnover,0.31,0.28,0.26,0.25,0.25,0.22,0.20,0.22,0.24,0.23,0.23
Interest Coverage,3.81,3.75,3.79,3.74,3.18,2.65,2.17,2.70,3.53,3.94,3.94
Return on Equity (ROE),8.70%,9.20%,8.90%,10.30%,8.60%,7.60%,6.00%,6.80%,8.10%,12.00%,12.00%
Return on Assets (ROA),2.60%,2.70%,2.60%,3.10%,2.70%,2.40%,1.80%,2.10%,2.50%,3.90%,3.90%
Return on Capital (ROIC),5.59%,5.89%,5.91%,6.61%,5.52%,5.41%,5.59%,5.45%,4.48%,5.80%,5.80%
Earnings Yield,5.65%,6.33%,5.55%,5.79%,5.80%,4.47%,4.55%,4.46%,4.91%,8.02%,8.36%
FCF Yield,2.69%,1.18%,-4.65%,-0.33%,-4.39%,-1.21%,-7.08%,-4.04%,-0.69%,-7.44%,-7.76%
Dividend Yield,3.80%,4.00%,3.60%,3.20%,3.70%,3.30%,4.20%,3.60%,3.30%,3.60%,3.80%
Payout Ratio,67.60%,63.90%,64.60%,55.50%,64.60%,72.40%,93.00%,80.30%,67.50%,44.70%,46.05%
Buyback Yield / Dilution,0.14%,-0.14%,-2.55%,-2.29%,-1.33%,-5.31%,-1.88%,-4.08%,-1.83%,1.83%,1.83%
Total Shareholder Return,3.94%,3.86%,1.05%,0.91%,2.37%,-2.01%,2.32%,-0.48%,1.47%,5.43%,5.63%
