,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"2,531","2,608","2,514","2,456","2,539","3,616","3,471","3,493","3,597","3,612","3,447","3,656","3,696","4,061","3,894","4,017","4,138","4,237","4,327","4,620","4,690","4,652","4,424","4,447","4,236","4,472","4,402","4,438","4,816","5,091","4,952","5,382","5,520","5,403","4,923","5,278","5,121","4,988","4,620"
Revenue Growth (YoY),-,-,-,-,0.32%,38.65%,38.05%,42.23%,41.66%,-0.12%,-0.68%,4.68%,2.76%,12.43%,12.96%,9.87%,11.96%,4.33%,11.13%,15.01%,13.35%,9.80%,2.23%,-3.74%,-9.67%,-3.87%,-0.50%,-0.21%,13.69%,13.84%,12.51%,21.28%,14.60%,6.13%,-0.59%,-1.94%,-7.22%,-7.67%,-6.16%
Cost of Revenue,"2,041","2,039","2,045","1,999","2,013","2,931","2,816","2,835","2,869","2,892","2,856","2,981","3,000","3,305","3,121","3,228","3,270","3,305","3,546","3,720","3,701","3,573","3,615","3,643","3,466","3,658","3,649","3,688","3,886","4,098","4,156","4,378","4,360","4,343","4,157","4,357","4,100","4,111","3,861"
Gross Profit,489.6,569,469.5,457.1,526.3,685.4,654.7,657.3,727.3,719.3,591.3,675.4,695.5,756,773.5,789.4,867.1,932,781.8,899.6,988.9,"1,079",809,804.8,770,813.4,752.9,749.6,929.9,992.9,796.6,"1,004","1,159","1,059",766,920.3,"1,022",877.5,758.8
"Selling, General & Admin",245.3,250.1,243.7,252.6,246.8,390.4,388.5,395.5,394.8,412.4,388.9,398.7,402.7,496.5,453.3,471,456.3,462.6,493.8,546.5,544.8,530.3,527.5,518.7,489.7,489,509.7,547,539.7,520,540.9,581.2,591.8,569.1,565.7,585.1,626.3,578.8,609.1
Other Operating Expenses,13.3,58.4,17.3,17.2,12.7,105.1,162.8,111.1,43.1,420.1,81,89.7,59.4,18.1,225,34.5,25.7,46.4,10.6,47.8,22.7,58.1,28.8,11.7,8.7,"1,379",10.2,5.5,7.9,4.1,-14.9,365.9,26.4,31.8,32.1,"2,329",36.5,343.2,65.5
Operating Expenses,258.6,308.5,261,269.8,259.5,495.5,551.3,506.6,437.9,832.5,469.9,488.4,462.1,514.6,678.3,505.5,482,509,504.4,594.3,567.5,588.4,556.3,530.4,498.4,"1,868",519.9,552.5,547.6,524.1,526,947.1,618.2,600.9,597.8,"2,914",662.8,922,674.6
Operating Income,231,260.5,208.5,187.3,266.8,189.9,103.4,150.7,289.4,-113.2,121.4,187,233.4,241.4,95.2,283.9,385.1,423,277.4,305.3,421.4,490.3,252.7,274.4,271.6,"-1,054.9",233,197.1,382.3,468.8,270.6,56.6,541.2,458.4,168.2,"-1,993.9",358.7,-44.5,84.2
Interest Expense / Income,23.9,24.2,23.3,23,22.6,63.6,65.2,64,64,19.3,54.1,52.9,56.1,59.4,64.8,78.3,76.7,74,94.4,111.8,111.1,114,93.5,97.3,92.4,110.3,93.8,83.5,102.5,92.5,86.7,72.5,78.5,81.1,97.3,108.4,108.1,104.1,101.4
Other Expense / Income,-3.1,-3.4,-1.9,-1.3,-0.5,-16.4,466.8,-4.7,33.4,28.8,-17.2,-12.6,-211.5,-65.2,-31.5,-36.4,-44.3,-26,-18.8,-14.1,-19.9,-23.8,-25.8,-28.8,-18.5,-49.2,-63.1,-29.4,-47.7,-32.6,-57,-57.6,-47.9,-43.7,17.3,20.6,-18.7,-239.2,-0.5
