,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,"15,947","13,469","11,730","9,908","9,819","12,192","12,748","13,028","14,227","14,409","16,094","16,372","14,623","13,633","9,574","9,794","9,374","9,380","11,066","7,304","7,327","9,020","11,433","13,716","14,163","13,305","11,755","12,379","10,153","7,855","8,947","7,759","7,446","9,175","10,649","11,232"
Market Cap Growth,-,-,-,-,-,-,-,-38.43%,-9.48%,8.69%,31.50%,44.90%,18.18%,26.24%,25.66%,2.78%,-5.39%,-40.51%,-40.18%,-35.89%,-31.20%,15.59%,-25.42%,-21.84%,-3.84%,3.32%,87.79%,93.31%,47.51%,2.82%,-9.75%,-28.31%,-40.96%,-23.89%,-37.32%,-26.67%,16.80%,19.02%,-
Enterprise Value,"2,943",-,-,"18,540","18,876","17,302","15,910","15,412","17,615","18,015","18,311","20,519","20,660","22,392","22,826","20,708","19,412","20,134","20,435","19,733","19,292","21,124","17,520","17,088","18,199","20,119","22,325","22,286","21,208","19,697","20,393","17,871","15,382","17,995","16,901","16,158","17,365","18,859","19,442"
PE Ratio,-,-,-,29.25,26.56,-164.05,-79.64,-52.09,-30.77,92.31,70.69,33.87,20.35,9.13,8.70,8.02,7.15,10.52,11.56,11.27,10.87,12.83,8.59,9.44,-13.05,-16.88,-19.24,-22.08,15.87,13.53,15.55,10.99,8.32,11.08,-6.27,-5.26,-5.56,-6.20,-6.20
PS Ratio,-,-,-,1.58,1.21,0.97,0.76,0.69,0.86,0.90,0.91,0.99,0.97,1.05,1.05,0.91,0.84,0.57,0.56,0.52,0.51,0.60,0.40,0.41,0.51,0.65,0.78,0.78,0.71,0.61,0.61,0.49,0.37,0.42,0.37,0.36,0.45,0.53,0.56
PB Ratio,-,-,-,3.50,1.16,1.07,0.91,0.99,1.25,1.34,1.35,1.40,1.39,1.42,1.42,1.28,1.19,0.83,0.84,0.79,0.80,0.94,0.64,0.63,0.85,1.04,1.24,1.24,1.14,1.00,1.07,0.89,0.69,0.78,0.81,0.74,0.91,1.05,1.11
P/FCF Ratio,-,-,-,21.86,20.82,15.32,14.38,11.29,13.21,13.54,12.55,12.59,19.44,36.56,50.00,44.34,14.16,9.70,9.34,9.27,8.64,10.22,7.79,7.03,7.95,7.06,7.88,7.90,9.03,11.45,10.53,8.12,6.61,8.35,8.82,10.69,12.88,14.00,14.77
P/OCF Ratio,-,-,-,13.08,11.19,8.41,6.94,5.80,7.22,7.58,7.53,7.96,9.84,13.50,14.61,12.26,7.06,4.81,4.61,4.27,4.06,4.54,3.25,3.26,4.36,4.85,5.90,6.07,5.84,6.48,5.98,4.71,3.89,4.40,4.03,4.17,5.02,5.80,6.11
Debt / Equity Ratio,0.69,-,-,0.58,0.48,0.53,0.58,0.59,0.60,0.60,0.59,0.64,0.63,0.58,0.58,0.57,0.56,0.93,0.93,0.89,0.86,0.86,0.95,0.86,0.89,0.82,0.81,0.76,0.70,0.70,0.72,0.70,0.68,0.82,0.99,0.90,0.85,0.86,0.86
Quick Ratio,0.85,-,-,0.82,0.82,0.77,0.80,0.81,0.90,0.90,0.84,0.70,0.73,0.61,0.66,0.82,0.79,0.69,0.62,0.72,0.68,0.64,0.91,0.85,0.82,0.75,0.77,0.80,0.79,0.79,0.82,0.76,0.75,0.61,0.64,0.61,0.61,0.74,0.74
Current Ratio,1.79,-,-,1.75,1.92,1.78,1.74,1.68,1.79,1.81,2.15,1.43,1.49,1.28,1.37,1.56,1.44,1.40,1.29,1.45,1.45,1.44,1.75,1.80,1.69,1.60,1.52,1.49,1.55,1.57,1.53,1.46,1.53,1.51,1.53,1.49,1.42,1.55,1.55
Interest Coverage,10.90,9.03,8.20,11.83,3.24,-5.57,2.43,4.00,-7.36,2.56,3.77,7.93,5.16,1.96,4.09,5.60,6.07,3.14,2.86,3.97,4.51,2.98,3.12,3.14,-9.12,3.16,2.71,4.20,5.42,3.78,1.58,7.50,6.19,1.55,-18.58,3.49,1.87,0.84,-3.22
Return on Capital (ROIC),,2.29%,-,-,8.35%,3.41%,3.29%,3.01%,3.11%,1.44%,1.54%,1.78%,1.99%,3.76%,12.61%,13.11%,13.90%,14.63%,4.73%,4.61%,4.76%,5.20%,5.12%,4.88%,4.65%,-2.11%,-2.20%,-2.40%,-2.15%,5.00%,5.13%,4.62%,5.29%,5.39%,4.63%,-5.62%,-6.34%,-8.77%,-8.99%
Dividend Yield,-,-,-,0.00%,0.70%,1.60%,2.90%,3.90%,3.10%,3.00%,3.00%,2.80%,2.80%,2.60%,2.60%,3.00%,3.20%,4.60%,4.60%,4.90%,5.00%,4.30%,6.50%,5.60%,3.80%,2.40%,1.50%,1.60%,1.80%,2.10%,2.10%,2.50%,3.20%,2.90%,3.40%,3.70%,3.10%,2.70%,2.77%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,197.40%,-21.30%,170.50%,101.40%,-101.40%,125.00%,97.60%,30.80%,51.90%,9.70%,49.40%,41.00%,39.10%,82.70%,72.20%,46.40%,37.60%,86.10%,81.60%,29.00%,-4.50%,34.50%,47.60%,25.50%,19.70%,36.20%,166.70%,16.90%,18.70%,152.80%,-3.50%,34.80%,62.50%,-335.60%,-16.80%
