,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,153.9,125.1,109.8,156.4,115.8,-453.5,56.9,92.3,-92,80.9,103.1,328.1,196.1,"1,135",223.2,268.2,279.6,139.1,160.4,252.6,310.8,138.5,148.1,178.5,"-1,156",152,112.5,250.1,323.7,182.3,39.9,377.9,344.5,45.3,"-2,006.1",202,109.8,-22.4
Depreciation & Amortization,151.2,151.8,152.7,155,281.3,294.3,291.2,282.2,274.2,275.2,263.9,275.2,297.8,306.2,316.3,315.4,314.3,359.1,383.7,385.3,383.1,381.2,374.5,365.7,365.6,364.5,361.4,369,365.1,366.5,373.6,377.3,371.2,373.2,395.8,382.5,384.3,381.8
Share-Based Compensation,13.2,10.7,10.7,7.1,20.7,11.8,18.4,21.6,23.9,17.1,17.4,18.5,5,14.6,19.3,15.3,17.6,17.4,18.1,15.8,12.9,13.8,15.8,68.8,31.9,20,31.1,23.3,14.2,15.2,24.5,34.6,19,9.6,13.5,32.5,8.6,7.3
Other Operating Activities,84.4,44.8,-54.8,-52.7,-30.8,670.4,-114.3,135.5,175.5,144.2,-84.7,-32.7,-441.3,"-1,210.5",-330.5,63,184.1,-212.5,-200.3,80.9,203.8,-102.3,-370.8,127.2,"1,490",182.9,-372.8,108.4,-25.5,-311.2,-48.1,47.6,-194.4,-162.2,"1,881",76.6,81.6,-91.7
Operating Cash Flow,402.7,332.4,218.4,265.8,387,523,252.2,531.6,381.6,517.4,299.7,589.1,57.6,245.4,228.3,661.9,795.6,303.1,361.9,734.6,910.6,431.2,167.6,740.2,731.7,719.4,132.2,750.8,677.5,252.8,389.9,837.4,540.3,265.9,284.1,693.6,584.3,275
Operating Cash Flow Growth,-,-,-,-,-3.90%,57.34%,15.48%,100.00%,-1.40%,-1.07%,18.83%,10.82%,-84.91%,-52.57%,-23.82%,12.36%,1281.25%,23.51%,58.52%,10.98%,14.45%,42.26%,-53.69%,0.76%,-19.65%,66.84%,-21.12%,1.43%,-7.41%,-64.86%,194.93%,11.53%,-20.25%,5.18%,-27.14%,-17.17%,8.14%,3.42%
Capital Expenditures,-153.8,-123.4,-103.4,-109.3,-220.6,-195.4,-213.5,-194.9,-161.7,-171.4,-164.3,-160.3,-226.5,-200.5,-205.7,-230.7,-331.8,-234,-277.3,-340.7,-372.5,-365.5,-228,-241.8,-101.3,-168.7,-71,-201.2,-365.1,-149,-180.4,-212.8,-290.5,-277.7,-267.3,-251.6,-318.7,-239
Acquisitions,-73.7,0,3.7,0,269.2,-308.1,-99.6,-173.5,-11.6,2.1,-35.2,-410.1,-141.9,-107.3,-188.9,-3.1,-54.9,"-3,342.9",-6.6,-29.2,4.5,-0.3,-0.4,-0.3,1,0,0,0,58.5,-7,0,0,0,-827.6,0,44.2,329.1,861.5
Change in Investments,0.2,0.2,0.2,0.4,0.3,0.1,0.4,4.9,-5.4,9.5,3.1,0,398.6,116.6,136.5,93,115.5,0,0,0,0,0,0,0,0,23.3,5,1.2,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,-,-,-,-,-,-,-,-,6.9,-0.7,-0.1,-0.6,29.1,0.6,7.6,38.1,-0.1,4.1,6.1,19.8,-10.9,4.9,-,6,4.2,5,11.2,9.7,16.1,1.2,28.6,5.2,28.7,25.1,4,28.9,4.4,2.9
