,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"6,593","4,538","6,568","11,026","8,622","13,056","14,907","14,110","15,722","7,888","6,530"
Market Cap Growth,-25.49%,-31.17%,44.74%,67.88%,-21.81%,51.44%,14.17%,-5.34%,11.42%,-49.83%,-
Enterprise Value,"8,196","6,608","8,397","13,929","11,204","15,976","17,605","16,766","18,424",-,"10,185"
PE Ratio,21.44,9.28,31.41,20.58,17.17,27.35,27.03,19.16,21.35,5.97,4.97
PS Ratio,2.02,1.38,2.00,3.83,2.01,2.83,3.21,2.80,2.71,1.76,1.46
PB Ratio,4.31,2.38,3.30,4.07,2.76,5.10,5.00,4.62,4.62,0,1.18
P/FCF Ratio,44.25,-9.73,17.90,44.14,40.71,33.09,25.67,19.60,35.72,20.43,-9.34
P/OCF Ratio,17.64,-12.69,13.19,32.86,23.40,26.73,23.01,17.21,26.99,20.43,-10.73
EV/Sales Ratio,2.52,2.02,2.56,4.84,2.61,3.47,3.79,3.32,3.18,-,2.27
EV/EBITDA Ratio,16.56,34.13,15.86,40.81,13.96,16.23,17.38,14.80,14.99,-,18.95
EV/EBIT Ratio,22.53,84.83,21.41,61.01,17.66,19.15,20.70,17.43,17.39,-,28.83
EV/FCF Ratio,55.00,-14.17,22.88,55.76,52.90,40.49,30.32,23.29,41.86,-,-13.68
Debt / Equity Ratio,1.12,1.13,0.95,1.18,0.88,1.27,1.10,1.04,0.96,0,0.72
Debt / EBITDA Ratio,3.74,8.84,4.06,5.55,3.97,2.79,3.22,2.88,2.58,3.48,7.36
Debt / FCF Ratio,12.43,-3.67,5.86,7.58,15.04,6.95,5.61,4.54,7.21,8.48,-4.70
Quick Ratio,1.02,1.33,1.32,1.05,0.90,0.94,1.02,0.88,0.91,0,0.89
Current Ratio,1.54,2.04,1.98,1.65,1.35,1.50,1.55,1.40,1.43,0,1.52
Asset Turnover,0.61,0.52,0.53,0.31,0.43,0.47,0.46,0.48,0.52,0,0.39
Interest Coverage,8.61,7.71,4.67,11.12,5.45,5.26,5.63,7.34,6.98,0.03,0.27
Return on Equity (ROE),19.56%,31.95%,10.96%,26.88%,18.55%,15.30%,21.53%,24.68%,24.08%,38.86%,23.94%
Return on Assets (ROA),5.87%,9.16%,3.31%,8.73%,5.45%,4.79%,5.59%,7.23%,6.94%,11.83%,11.08%
Return on Capital (ROIC),10.88%,19.05%,6.89%,-10.43%,10.88%,11.80%,11.59%,13.81%,14.51%,1.29%,0.91%
Earnings Yield,4.66%,10.78%,3.18%,4.86%,5.82%,3.66%,3.70%,5.22%,4.68%,16.75%,20.23%
FCF Yield,2.26%,-10.27%,5.59%,2.27%,2.46%,3.02%,3.89%,5.10%,2.80%,4.89%,-12.91%
Dividend Yield,1.18%,1.90%,1.35%,0.81%,1.03%,1.61%,1.53%,1.75%,1.70%,0.00%,4.43%
Payout Ratio,25.40%,17.67%,42.37%,16.57%,17.77%,44.05%,41.43%,33.56%,36.32%,0.00%,22.03%
Buyback Yield / Dilution,1.32%,0.45%,-0.60%,0.15%,-1.19%,2.87%,1.07%,1.10%,1.89%,0.95%,0.95%
Total Shareholder Return,2.51%,2.35%,0.75%,0.95%,-0.16%,4.48%,2.61%,2.85%,3.59%,0.95%,5.38%
