,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,102","9,732","11,087","12,785","13,484","17,661","21,824","34,839","30,258","29,355","31,975"
Market Cap Growth,21.94%,20.11%,13.92%,15.32%,5.47%,30.98%,23.57%,59.63%,-13.15%,-2.98%,-
Enterprise Value,"9,988","11,795","14,287","16,615","16,770","21,047","25,009","40,662","35,607",-,"42,373"
PE Ratio,19.57,22.74,102.65,17.42,29.44,22.82,23.39,29.35,26.90,27.72,26.27
PS Ratio,2.31,2.86,2.99,3.22,3.15,4.14,3.88,5.92,4.86,4.84,5.27
PB Ratio,1.40,1.74,2.04,2.17,2.47,3.13,3.39,5.45,4.92,0,2.96
P/FCF Ratio,14.81,17.63,18.85,16.71,14.70,21.13,20.51,37.87,19.47,142.50,26.12
P/OCF Ratio,11.79,14.21,15.36,14.06,13.12,18.34,17.43,32.17,17.74,142.50,24.54
EV/Sales Ratio,2.85,3.47,3.86,4.19,3.92,4.94,4.44,6.91,5.72,-,6.99
EV/EBITDA Ratio,10.21,11.12,12.61,13.26,13.03,15.31,15.67,20.63,19.20,-,25.46
EV/EBIT Ratio,11.88,12.78,14.84,15.60,15.57,17.76,17.94,24.02,22.30,-,28.90
EV/FCF Ratio,18.26,21.37,24.30,21.72,18.29,25.18,23.50,44.20,22.91,-,34.62
Debt / Equity Ratio,0.45,0.47,0.72,0.71,0.70,0.66,0.99,0.97,0.95,0,1.01
Debt / EBITDA Ratio,2.69,2.18,2.09,2.88,3.27,2.79,2.33,3.01,3.35,4.06,6.53
Debt / FCF Ratio,4.82,4.19,4.02,4.71,4.59,4.58,3.49,6.45,4.00,28.40,8.88
Quick Ratio,0.33,0.28,0.26,0.20,0.18,0.25,0.71,0.15,0.15,0,0.16
Current Ratio,1.14,1.12,1.12,1.05,0.97,1.01,1.56,0.94,0.97,0,1.01
Asset Turnover,0.29,0.29,0.26,0.25,0.27,0.31,0.31,0.29,0.30,0,0.24
Interest Coverage,6.44,6.49,6.21,6.99,6.85,8.20,12.22,11.53,13.03,-5.56,-3.17
Return on Equity (ROE),6.69%,7.39%,1.93%,13.52%,7.78%,14.20%,16.55%,18.45%,17.59%,17.22%,9.80%
Return on Assets (ROA),3.29%,3.54%,0.91%,5.19%,2.90%,4.93%,6.70%,6.60%,5.59%,5.07%,3.28%
Return on Capital (ROIC),5.95%,6.02%,8.36%,9.22%,4.38%,8.32%,10.15%,9.02%,9.44%,9.92%,5.49%
Earnings Yield,5.11%,4.40%,0.97%,5.74%,3.40%,4.38%,4.28%,3.41%,3.72%,3.61%,3.32%
FCF Yield,6.75%,5.67%,5.30%,5.98%,6.80%,4.73%,4.88%,2.64%,5.14%,0.70%,3.83%
Dividend Yield,1.21%,1.53%,1.80%,1.90%,2.08%,1.73%,1.47%,1.00%,1.27%,0.00%,1.59%
Payout Ratio,23.67%,34.81%,185.19%,33.11%,61.14%,39.41%,34.30%,29.49%,34.04%,0.00%,41.71%
Buyback Yield / Dilution,-0.99%,0.98%,1.46%,-0.47%,1.12%,0.42%,0.06%,-0.88%,0.87%,-1.54%,-10.78%
Total Shareholder Return,0.22%,2.51%,3.26%,1.43%,3.20%,2.14%,1.53%,0.13%,2.13%,-1.54%,-9.20%
