,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-12.96,8.73,-24.68,-27.1,-28.05,0,-2.59,-10.71,-12.61,-10.96,-9.52,-19.12
Depreciation & Amortization,-,0,1.1,0.55,0.55,0.62,0.68,0.71,0.68,0.66,0.6,0.69
Share-Based Compensation,-,0,4.19,1.1,1.16,1.02,1.11,3.59,3.61,3.64,4.45,4.01
Other Operating Activities,12.96,-230.65,190.62,2.75,0.57,-34.79,-30.1,-34.26,-35.57,-36.47,-34.76,-13.25
Operating Cash Flow,-,-221.91,171.24,-22.71,-25.77,-33.15,-30.9,-40.68,-43.88,-43.14,-39.23,-27.68
Capital Expenditures,-,0,0,-1.14,-0.38,-1.19,-0.39,-0.16,-0.59,-0.35,-1.27,-0.05
Change in Investments,-,0,0,0,0,0,0,-50,0,50,0,0
Investing Cash Flow,-,0,0,-1.14,-0.38,-1.19,-0.39,-50.16,-0.59,49.65,-1.27,-0.05
Share Issuance / Repurchase,-,0,0.47,0.04,0.34,-0.07,341.84,27.52,1.18,1.62,2.75,9.76
Debt Issued / Paid,-,0,-20,-0.29,0.29,0,0,0,0,0,0,0
Other Financing Activities,-,-25,125.5,92,-,-,-2.4,-,-,-,-,-
Financing Cash Flow,-,-25,105.97,91.75,0.63,-0.07,339.44,27.52,1.18,1.62,2.75,9.76
Net Cash Flow,-,-246.91,276.77,67.9,-25.52,-34.41,308.14,-63.32,-43.29,8.13,-37.75,-17.97
Free Cash Flow,-,-221.91,171.24,-23.85,-26.15,-34.34,-31.3,-40.84,-44.47,-43.49,-40.5,-27.73
Free Cash Flow Margin,-,-,46031.18%,-8029.29%,-1710.40%,-1404.42%,-1138.41%,-1287.48%,-1293.46%,-789.97%,-698.86%,-398.98%
Free Cash Flow Per Share,-,-7.72,5.96,-0.83,-0.91,-0.15,-0.74,-0.88,-0.88,-0.62,-0.56,-0.37
