,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,0,4.86,1.66,1.32,1.19,77.09,-,350.82,287.51,244.22,252.35,214.6,196.63
Short-Term Investments,-,0,0,0,0,0,-,0,50,50,0,0,0
Cash & Cash Equivalents,0,4.86,1.66,1.32,1.19,77.09,0,350.82,337.51,294.22,252.35,214.6,196.63
Cash Growth,-,-,-,-,-,1484.99%,-,26538.16%,28254.70%,281.63%,-,-38.83%,-41.74%
Receivables,0,2.79,0.03,0,0,4.83,-,15,22.81,11.2,20.99,24.92,20.19
Inventory,0,0,0,0,0,0,-,0,0,0,0,0,30.77
Other Current Assets,-,3.98,0.17,0.17,0.11,4.15,-,7.67,-12.47,-21,-26.88,-51.46,-88.44
Total Current Assets,-,11.63,1.86,1.49,1.3,86.07,-,373.49,347.85,284.42,246.46,188.06,159.15
"Property, Plant & Equipment",0,5.03,0,0,0,4.96,-,5.33,4.97,4.77,4.51,5.24,4.63
Long-Term Investments,-,0,232.31,232.31,232.32,0,-,0,0,0,0,0,0
Goodwill and Intangibles,0,9.67,0,0,0,9.49,-,9.4,9.36,9.31,9.27,9.23,9.18
Other Long-Term Assets,-,20.73,0,0,0,20.67,-,19.01,42.06,50.14,72.15,106.94,135.56
Total Long-Term Assets,-,35.43,232.31,232.31,232.32,35.12,-,33.74,56.39,64.22,85.93,121.4,149.37
Total Assets,0.49,47.06,234.16,233.8,233.62,121.2,-,407.23,404.24,348.64,332.39,309.46,308.53
Accounts Payable,0,16.7,0,0.02,0.35,22.38,-,24.14,31.91,27.95,43.74,28.07,35.88
Deferred Revenue,0,0.27,0,0,0,1.42,-,0.79,1.13,0.86,1.08,23.78,33.38
Current Debt,0.12,33.91,0,0,0,14.04,-,0,0,0,0,0,0
Other Current Liabilities,0.35,19.66,0.09,0.08,0.01,10.58,-,5.51,9.38,9.75,6.88,-15.7,12.22
Total Current Liabilities,0.47,70.54,0.09,0.1,0.36,48.41,-,30.44,42.42,38.56,51.69,36.15,81.48
Other Long-Term Liabilities,0,3.51,32.68,36.74,38.22,4.39,-,45.05,42.34,32.99,33.97,49.11,47.4
Total Long-Term Liabilities,0,3.51,32.68,36.74,38.22,4.39,-,45.05,42.34,32.99,33.97,49.11,47.4
Total Liabilities,0.47,74.06,32.77,36.84,38.58,52.8,-,75.49,84.76,71.55,85.66,85.26,128.88
Total Debt,0.12,33.91,0,0,0,14.04,-,0,0,0,0,0,0
Debt Growth,-,-,-,-,-,-58.60%,-,-,-,-,-,-,-
Common Stock,0.03,649.99,9.24,13.67,0,847.88,-,221.4,272.24,296.77,302.51,312.64,327.62
Retained Earnings,-0.01,-679.13,-4.24,-8.67,-37.27,-781.62,-,-158.77,-169.48,-182.09,-193.05,-202.58,-221.7
Shareholders' Equity,0.02,-29.14,5,5,-37.26,66.26,-,62.63,102.76,114.68,109.46,110.06,105.92
Net Cash / Debt,-0.12,-29.05,1.66,1.32,1.19,63.05,0,350.82,337.51,294.22,252.35,214.6,196.63
Net Cash / Debt Growth,-,-,-,-,-,-,-,26538.16%,28254.70%,366.62%,-,-38.83%,-41.74%
Net Cash Per Share,-0.02,-2.22,0.06,0.05,0.04,2.19,-,8.35,7.27,5.80,3.62,2.98,2.63
Working Capital,-,-58.91,1.77,1.38,0.94,37.67,-,343.06,305.43,245.86,194.77,151.91,77.67
Book Value Per Share,0.00,-2.23,0.17,0.17,-1.30,2.31,-,1.49,2.21,2.26,1.57,1.53,1.42
