,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,TWD,USD,USD
operatingCashflow,94082482000,189372000000,189372000000,117761028000,141753000000,202955000000,202955000000,170334959000,190171227000,259130572000,259130584000,187439494000,318706000000,378200000000,378200000000,338849429000,412698167000,486880000000,486880000000,167248000000,847138000000
paymentsForOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingAssets,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
depreciationDepletionAndAmortization,73609817000,76030000000,76030000000,75048350000,66756000000,67532000000,67532000000,70875252000,94733076000,97561795000,97561886000,103805182000,107027000000,110663000000,110663000000,113224647000,105345666000,107581924000,107581924000,123939000000,381543000000
capitalExpenditures,71497989000,114105000000,114105000000,116933823000,98118000000,170009000000,170009000000,134339955000,101720285000,89513150000,89513159000,170513981000,188640000000,235556000000,235556000000,220945293000,267635828000,336800000000,336800000000,250534000000,779657000000
changeInReceivables,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInInventory,-6304499000,2105575000,2105575000,450503000,11546149000,0.02,-6545246000,-7510260000,-23721392000,-27843910000,-27843921000,-15871139000,-11795045000,-10868569000,-7016361000,-17319409000,-897783000,-2813247000,-2813247000,-18264968000,None
profitLoss,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
cashflowFromInvestment,-2077341286.21,-4386.04,-2318.45,-178906424000,-287196541000,-171605106000,-188993268000,-129750164000,-96079669000,-90958613000,-244251414000,-169750998000,-177020171000,-245343000000,-288074000000,-275932106000,-284390325000,-1190928235000,-272231795000,-531558000000,-773801000000
cashflowFromFinancing,-172434686000,14284000000,14284000000,-930502000,-229112000000,-17184000000,-17184000000,5912053000,47434066000,-101203808000,-101203795000,75030643000,-35324000000,82283000000,82283000000,19080454000,-130406753000,-65500000000,-65500000000,-26589000000,-129527000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,207443044000,207443044000,207440044000,0,207443000000,51861000000,51861000000,64825951000,64825951000,64825947000,64825952000,64825949000,64826000000,71308000000,71308000000,71308547000,71308546000,71300000000,71300000000,71309000000,213926000000
dividendPayoutCommonStock,207443044000,207443044000,207440044000,0,207443000000,51861000000,51861000000,64825951000,64825951000,64825947000,64825952000,64825949000,64826000000,71308000000,71308000000,71308547000,71308546000,71300000000,71300000000,71309000000,213926000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,0,0,0,0,0,0,0,None,None,None,None,None,None,None,-871566000,-871566000,-871566000,-34000,-34000,0,None
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInExchangeRate,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,98896942000,99984000000,111082000000,80545440000,112336000000,116035000000,128782000000,136398638000,155124003000,142766434000,161107361000,149375511000,173852000000,166232000000,184819000000,265998281000,316690867000,334551356000,334551356000,214675000000,700890000000
freeCashflow,22584493000.0,75267000000.0,75267000000.0,827205000.0,43635000000.0,32946000000.0,32946000000.0,35995004000.0,88450942000.0,169617422000.0,169617425000.0,16925513000.0,130066000000.0,142644000000.0,142644000000.0,117904136000.0,145062339000.0,150080000000.0,150080000000.0,-83286000000.0,67481000000.0
startPeriod,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30,2018-6-30
endPeriod,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
high,45.24,,,,,,,,,,,,,,,,,,,,
low,36.04,,,,,,,,,,,,,,,,,,,,
average,41.42,,,,,,,,,,,,,,,,,,,,
stockHigh,,44.96,41.24,45.64,46.51,59.71,60.64,58.04,86.79,109.7,142.2,127.4,125.78,128.09,145.0,107.15,91.94,83.63,98.99,110.69,107.3
stockLow,,35.22,34.21,37.18,39.24,46.12,42.7,46.3,56.19,80.57,107.89,107.87,107.68,107.58,97.62,82.76,68.48,59.43,73.77,81.21,84.02
stockAverage,,38.08,38.13,41.16,42.58,52.86,54.86,52.56,75.61,94.41,123.72,117.14,117.54,116.99,117.2,92.84,82.86,72.28,89.71,92.94,94.66
