,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"14,679","15,491","15,710","16,277","17,459","17,086","15,587","14,709","15,813","15,967","13,670","12,673","14,063","12,602","11,355","13,243","12,001","12,117","11,955","8,542","9,034","9,362","9,148","9,731","9,553","9,639","10,449","13,149","11,790","12,790","12,184","11,592","10,892","7,564","7,557","6,728","7,332","9,113","8,631","9,565","11,159"
Market Cap Growth,17.33%,21.21%,29.87%,20.76%,18.94%,10.30%,-0.79%,-9.63%,-9.43%,-6.55%,-12.30%,-13.84%,-11.07%,-21.07%,-16.93%,4.50%,-14.66%,-3.85%,5.28%,-35.50%,-24.72%,-22.74%,-23.48%,13.92%,5.75%,2.97%,14.22%,35.12%,23.42%,32.68%,16.60%,-11.84%,-7.61%,-40.86%,-37.98%,-41.96%,-32.68%,20.47%,14.21%,42.17%,-
Enterprise Value,"21,927","22,806","22,544","23,393","24,524","24,420","22,814","21,932","23,493","23,390","21,222","20,796","21,367","20,772","19,470","22,028","21,013","21,577","21,635","18,226","21,925","17,705","18,883","19,687","19,734","19,321","20,719","23,821","22,828","23,639","23,061","22,990","22,347","19,375","19,057","18,134","18,380","20,156","19,203","20,205","21,799"
PE Ratio,18.66,22.79,21.60,22.51,40.68,37.80,32.22,54.53,33.10,44.27,19.09,14.40,11.43,9.67,21.92,19.96,30.41,22.65,19.52,53.59,69.49,68.70,21.97,12.00,10.60,11.62,12.37,17.00,15.28,14.81,12.63,11.85,12.06,9.07,11.12,12.01,14.27,19.48,14.17,13.83,16.47
PS Ratio,1.23,1.26,1.25,1.27,1.34,1.28,1.15,1.47,1.54,1.51,1.27,1.18,1.44,1.44,1.46,1.22,1.08,1.07,1.05,0.75,0.80,0.83,0.81,0.85,0.83,0.84,0.91,1.14,1.02,1.11,1.05,1.00,0.94,0.65,0.65,0.58,0.63,0.78,0.73,0.79,0.92
PB Ratio,3.15,3.24,3.16,3.15,3.51,3.32,3.12,3.02,3.36,3.36,2.78,2.73,2.74,2.48,2.37,2.82,2.62,2.83,3.13,2.31,2.33,2.31,3.95,4.56,4.90,4.47,6.64,9.50,9.45,10.01,10.60,15.34,12.91,12.51,14.19,9.45,8.88,8.96,7.20,9.06,10.57
P/FCF Ratio,12.38,13.70,12.86,19.90,21.44,30.20,39.92,17.32,19.37,12.42,12.46,11.09,9.14,10.75,9.74,13.14,24.62,14.38,15.81,10.89,15.14,13.17,9.60,7.45,6.09,5.85,6.94,10.08,10.64,11.38,10.08,8.99,7.36,7.60,6.56,7.00,6.81,6.72,6.57,6.41,7.48
P/OCF Ratio,8.10,8.76,8.34,11.15,12.04,14.01,14.84,9.45,10.03,7.75,7.13,6.43,5.84,6.17,5.51,6.92,8.51,6.65,6.92,4.82,5.83,5.86,5.14,4.70,4.17,4.13,4.80,6.64,6.65,7.10,6.46,6.00,5.19,4.71,4.32,4.30,4.30,4.63,4.50,4.65,5.42
Debt / Equity Ratio,1.79,1.84,1.71,1.63,1.71,1.79,1.84,1.87,1.94,1.92,1.86,1.96,1.77,1.79,1.90,1.99,2.07,2.32,2.67,2.73,3.47,2.97,4.83,5.24,6.00,5.98,7.05,8.09,9.70,9.46,10.48,15.85,14.10,20.28,22.60,16.60,13.94,11.28,9.28,10.53,10.53
Quick Ratio,1.18,1.34,1.34,1.55,1.32,1.71,1.70,1.70,1.56,1.55,1.47,1.02,1.50,1.31,1.28,0.87,0.92,0.59,0.57,0.56,0.37,1.09,1.74,1.48,1.73,1.30,1.28,1.17,1.58,1.56,1.53,1.23,1.21,1.32,1.19,1.13,1.11,1.16,1.16,1.09,1.09
Current Ratio,1.45,1.60,1.61,1.74,1.61,2.05,1.97,1.88,1.72,1.70,1.61,1.47,1.64,1.45,1.40,2.86,2.94,1.90,1.84,1.72,1.12,1.12,1.81,1.56,1.81,1.35,1.37,1.27,1.67,1.67,1.63,1.32,1.29,1.41,1.26,1.20,1.19,1.25,1.24,1.19,1.19
Interest Coverage,3.90,3.34,4.01,4.19,-1.02,3.81,4.51,1.17,3.18,2.83,7.46,3.15,7.99,3.12,-0.13,2.40,3.20,3.93,0.33,0.24,2.57,3.65,3.35,4.55,4.74,4.50,4.05,5.09,5.81,6.12,5.59,4.51,3.97,4.50,2.48,2.01,2.58,3.20,4.22,3.17,3.29
Return on Capital (ROIC),Upgrade,8.16%,7.68%,8.14%,8.13%,5.79%,5.38%,5.70%,3.14%,4.81%,3.48%,6.20%,9.43%,11.78%,12.70%,10.89%,10.41%,8.66%,9.32%,8.66%,9.50%,7.28%,8.05%,9.31%,9.06%,9.43%,8.08%,9.95%,9.42%,8.84%,9.52%,10.08%,10.58%,9.99%,9.50%,8.57%,7.66%,7.58%,7.34%,8.79%,9.79%
Buyback Yield / Dilution,-0.93%,-0.87%,-1.09%,-1.15%,1.26%,-0.41%,0.25%,2.24%,2.56%,4.39%,4.49%,7.55%,6.08%,6.76%,7.52%,6.07%,6.89%,10.25%,12.61%,9.93%,8.28%,4.20%,9.55%,21.68%,23.92%,25.62%,18.07%,11.22%,10.28%,10.19%,11.39%,9.43%,11.72%,12.25%,15.09%,12.33%,7.98%,4.45%,-0.83%,-0.98%,2.77%
Total Shareholder Return,-0.93%,-0.87%,-1.09%,-1.15%,1.26%,-0.41%,0.25%,2.24%,2.56%,4.39%,4.49%,7.55%,6.08%,6.76%,7.52%,6.07%,6.89%,10.25%,12.61%,9.93%,8.28%,4.20%,9.55%,21.68%,23.92%,25.62%,18.07%,11.22%,10.28%,10.19%,11.39%,9.43%,11.72%,12.25%,15.09%,12.33%,7.98%,4.45%,-0.83%,-0.98%,2.77%
