,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,493.1,591.02,756.04,840.66,935.28,"1,086","1,117","1,592","1,850","1,952"
Revenue Growth (YoY),18.35%,19.86%,27.92%,11.19%,11.26%,16.16%,2.78%,42.59%,16.20%,5.49%
Cost of Revenue,259.73,313.84,400.69,441.52,495.7,569.53,574.15,882.64,"1,066","1,091"
Gross Profit,233.37,277.19,355.35,399.14,439.58,516.9,542.51,709.64,783.86,861.1
Selling & Marketing,0,0,0,0,0,0,0,0,135.74,149.77
General & Administrative,0,0,0,0,0,0,0,0,267.32,308.58
Research & Development,25.74,29.92,43.15,47.32,63.26,81.34,88.36,93.48,105.18,109.59
Other Operating Expenses,-0.36,0.38,-2,0.7,3.38,21.45,21.66,44.85,61.36,0
Operating Expenses,138.55,169.14,224.05,238.21,287.09,360.53,369.59,528.91,569.61,567.93
Operating Income,94.82,108.04,131.31,160.93,152.49,156.37,172.93,180.74,214.25,218.54
Interest Expense,0,0,0,0,0,0,0,23.3,28.38,-23.63
Other Expense / Income,0.36,-0.38,2,-0.7,-3.38,-3.47,-2.12,-1.54,-1.72,43.93
Pretax Income,94.47,108.42,129.31,161.63,155.87,159.84,175.04,158.98,187.59,198.24
Income Tax,35.53,43.56,19.45,-2.32,8.41,13.31,-19.78,-2.48,23.35,32.32
Net Income,58.94,64.87,109.86,163.95,147.46,146.53,194.82,161.46,164.24,165.92
Net Income Growth,50.74%,10.06%,69.35%,49.23%,-10.05%,-0.63%,32.96%,-17.12%,1.72%,1.02%
Shares Outstanding (Basic),33,34,36,37,38,39,40,41,42,42
Shares Outstanding (Diluted),35,37,39,39,40,40,42,42,42,43
Shares Change,2.34%,3.25%,6.59%,0.73%,2.23%,-0.04%,3.54%,1.73%,0.37%,0.87%
EPS (Basic),1.79,1.90,3.12,4.55,3.84,3.79,4.87,3.95,3.95,3.95
EPS (Diluted),1.66,1.77,2.92,4.32,3.68,3.65,4.69,3.82,3.87,3.88
EPS Growth,46.90%,6.63%,64.97%,47.95%,-14.81%,-0.82%,28.49%,-18.55%,1.31%,0.26%
Free Cash Flow,114.09,76.51,154.13,152.7,222.78,212.68,326.62,316.14,331.3,359.92
Free Cash Flow Per Share,3.22,2.09,3.96,3.89,5.55,5.30,7.87,7.48,7.81,8.42
Gross Margin,47.33%,46.90%,47.00%,47.48%,47.00%,47.58%,48.58%,44.57%,42.37%,44.12%
Operating Margin,19.23%,18.28%,17.37%,19.14%,16.30%,14.39%,15.49%,11.35%,11.58%,11.20%
Profit Margin,11.95%,10.98%,14.53%,19.50%,15.77%,13.49%,17.45%,10.14%,8.88%,8.50%
Free Cash Flow Margin,23.14%,12.95%,20.39%,18.16%,23.82%,19.58%,29.25%,19.85%,17.91%,18.44%
Effective Tax Rate,37.61%,40.17%,15.04%,-1.43%,5.39%,8.33%,-11.30%,-1.56%,12.45%,16.30%
EBITDA,109.43,127.62,181.61,214.86,214.25,233.04,254.58,317.9,375.04,218.54
EBITDA Margin,22.19%,21.59%,24.02%,25.56%,22.91%,21.45%,22.80%,19.97%,20.27%,11.20%
Depreciation & Amortization,14.61,19.57,50.3,53.93,61.76,76.67,81.66,135.62,159.07,154.08
EBIT,94.82,108.04,131.31,160.93,152.49,156.37,172.93,182.28,215.97,64.46
EBIT Margin,19.23%,18.28%,17.37%,19.14%,16.30%,14.39%,15.49%,11.45%,11.67%,3.30%
