,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"3,257","3,613","5,951","5,204","6,599","7,144","11,593","17,476","21,974","13,394","18,576"
Market Cap Growth,121.71%,10.92%,64.72%,-12.55%,26.82%,8.25%,62.28%,50.75%,25.74%,-39.05%,-
Enterprise Value,"3,178","3,407","5,984","5,178","6,413","7,010","11,383","16,895","23,053","14,267","19,097"
PE Ratio,83.30,61.29,91.74,47.37,40.25,48.45,79.12,89.70,136.10,81.55,113.36
PS Ratio,6.61,6.11,7.87,6.19,7.06,6.58,10.38,10.98,11.88,6.86,9.52
PB Ratio,13.22,10.72,6.93,5.68,5.65,5.39,7.17,8.80,9.46,5.10,3.97
P/FCF Ratio,28.55,47.22,38.61,34.08,29.62,33.59,35.49,55.28,66.33,37.21,55.87
P/OCF Ratio,26.39,40.59,31.02,26.58,26.38,28.05,32.65,47.01,57.61,35.21,48.83
EV/Sales Ratio,6.45,5.76,7.91,6.16,6.86,6.45,10.19,10.61,12.46,7.31,9.78
EV/EBITDA Ratio,29.04,26.69,32.95,24.10,29.93,30.08,44.71,53.14,61.47,65.28,74.05
EV/EBIT Ratio,33.52,31.53,45.57,32.17,42.06,44.83,65.83,92.69,106.74,221.33,194.61
EV/FCF Ratio,27.86,44.52,38.82,33.91,28.79,32.96,34.85,53.44,69.58,39.64,57.44
Debt / Equity Ratio,0,0,0.08,0.01,-0.06,-0.05,0.01,0.01,0.60,0.40,0.28
Debt / EBITDA Ratio,-,-,0.36,0.05,-,-,0.09,0.07,3.70,4.79,2.70
Debt / FCF Ratio,-,-,0.43,0.07,-,-,0.07,0.07,4.19,2.91,2.10
Quick Ratio,1.02,1.37,0.79,0.78,1.30,1.22,1.34,1.97,1.09,0.89,0.85
Current Ratio,1.13,1.49,0.79,0.78,1.30,1.22,1.34,1.97,1.16,0.95,0.93
Asset Turnover,0.94,0.86,0.44,0.56,0.53,0.52,0.50,0.43,0.34,0.39,0.42
Interest Coverage,0,0,0,0,0,0,0,0,7.76,7.55,-11.01
Return on Equity (ROE),23.93%,19.25%,12.79%,17.91%,12.63%,11.06%,12.05%,8.13%,7.07%,6.32%,3.55%
Return on Assets (ROA),13.26%,11.30%,8.10%,12.07%,9.28%,8.18%,8.89%,6.19%,3.47%,3.54%,3.55%
Return on Capital (ROIC),24.02%,19.18%,12.06%,17.64%,12.36%,10.82%,11.73%,9.14%,5.05%,4.98%,3.40%
Earnings Yield,1.20%,1.63%,1.09%,2.11%,2.48%,2.06%,1.26%,1.11%,0.73%,1.23%,0.89%
FCF Yield,1.20%,3.16%,1.29%,2.96%,2.31%,3.12%,1.83%,1.87%,1.44%,2.47%,1.79%
Buyback Yield / Dilution,-2.34%,-3.25%,-6.59%,-0.73%,-2.23%,0.04%,-3.54%,-1.73%,-0.37%,-0.87%,-1.30%
Total Shareholder Return,-2.34%,-3.25%,-6.59%,-0.73%,-2.23%,0.04%,-3.54%,-1.73%,-0.37%,-0.87%,-1.30%
