,2014-03-28,2014-06-27,2014-09-26,2014-12-26,2015-03-27,2015-06-26,2015-09-25,2015-12-25,2016-03-25,2016-06-24,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2019-12-27,2020-03-27,2020-06-26,2020-09-25,2020-12-25,2021-03-26,2021-06-25,2021-09-24,2021-12-24,2022-03-25,2022-06-24,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,Current
Market Capitalization,"24,413","25,316","24,065","26,332","28,655","26,884","23,507","25,222","22,536","20,499","22,890","24,618","26,487","27,934","29,352","33,420","35,086","31,534","30,640","25,642","27,362","32,265","31,145","31,946","20,977","25,952","31,476","39,630","42,602","44,184","47,248","51,704","43,054","38,142","35,297","36,418","41,503","44,167","38,781","43,664","43,973"
Market Cap Growth,38.54%,33.82%,11.99%,17.67%,17.38%,6.19%,-2.32%,-4.22%,-21.36%,-23.75%,-2.62%,-2.39%,17.53%,36.27%,28.23%,35.75%,32.46%,12.89%,4.39%,-23.27%,-22.01%,2.32%,1.65%,24.58%,-23.34%,-19.56%,1.06%,24.05%,103.08%,70.25%,50.11%,30.47%,1.06%,-13.67%,-25.29%,-29.56%,-3.60%,15.79%,9.87%,19.90%,-
Enterprise Value,"25,979","26,703","25,466","29,687","32,084","30,209","24,062","26,869","25,270","23,841","26,313","27,981","29,666","31,170","32,478","36,721","38,537","34,772","33,792","29,104","30,779","35,755","34,183","35,177","24,536","29,564","34,677","42,733","45,375","46,902","50,137","54,725","46,356","41,524","38,415","39,843","44,800","47,242","41,331","46,692","47,001"
PE Ratio,16.99,16.82,13.51,13.86,13.41,13.16,9.71,10.96,10.82,7.85,11.39,11.92,12.67,16.57,17.44,27.08,26.60,23.57,11.95,8.90,9.67,10.30,16.89,20.04,30.01,-262.15,-130.60,347.63,39.59,26.04,20.90,21.14,17.22,15.17,14.54,16.12,19.47,21.38,20.30,13.17,13.50
PS Ratio,2.16,2.32,2.01,2.17,2.33,2.18,1.92,2.10,1.90,1.72,2.02,2.13,2.23,2.31,2.41,2.68,2.74,2.42,2.19,1.83,1.98,2.36,2.32,2.41,1.61,2.13,2.59,3.16,3.26,3.08,3.17,3.40,2.78,2.42,2.17,2.23,2.52,2.70,2.42,2.73,2.74
PB Ratio,2.91,2.86,2.67,2.87,3.19,2.95,2.45,2.94,3.04,2.48,2.70,2.79,3.03,3.06,3.01,3.47,3.70,3.32,2.83,2.51,2.74,3.04,2.95,3.03,2.31,2.87,3.36,4.02,4.41,4.40,4.44,4.69,4.12,3.66,3.27,3.21,3.77,3.89,3.36,3.32,3.35
P/FCF Ratio,16.57,18.88,15.26,17.82,20.31,17.49,17.45,17.59,18.55,15.54,16.93,17.92,15.40,18.45,17.67,22.28,26.74,20.66,19.91,16.95,16.01,19.48,18.15,17.14,11.42,16.58,21.72,23.13,22.94,20.62,22.80,26.02,24.82,23.76,19.54,20.33,20.81,20.08,16.13,16.96,17.08
P/OCF Ratio,11.95,13.14,11.55,13.21,14.76,13.19,12.18,12.46,12.65,10.77,11.76,12.55,11.38,13.10,12.65,14.74,16.53,13.14,12.50,10.69,10.62,13.07,12.86,12.60,8.52,12.07,15.80,17.84,18.36,16.85,17.66,20.13,17.93,16.60,14.30,14.47,15.16,15.03,12.38,13.35,13.45
Debt / Equity Ratio,0.36,0.34,0.43,0.46,0.46,0.44,0.41,0.45,0.52,0.49,0.48,0.46,0.45,0.44,0.45,0.42,0.42,0.42,0.37,0.39,0.40,0.38,0.38,0.38,0.48,0.45,0.44,0.43,0.47,0.41,0.38,0.36,0.39,0.40,0.39,0.37,0.38,0.37,0.36,0.32,0.32
Quick Ratio,1.19,1.33,1.39,1.08,0.90,0.95,1.79,1.55,1.27,0.86,0.88,0.77,0.77,0.78,0.87,0.85,0.77,0.83,0.73,0.83,0.78,0.81,0.92,0.90,0.82,0.70,0.90,0.92,0.93,0.94,0.89,0.90,0.76,0.78,0.85,0.84,0.90,0.97,1.04,1.00,1.00
