,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,745,845,"1,346","1,726","1,993","2,123","2,224","2,104","2,589","2,999","2,734","3,421","4,065","4,466","4,755","6,356","5,837","9,111","7,177","11,083","13,265","12,239","15,462","11,887","18,140","18,221","26,462","22,273","21,875","29,792","24,922","20,857","16,878","19,808","18,625","18,338","19,368","15,677","12,450","11,010"
Market Cap Growth,-,-,-,-,-,167.68%,151.13%,65.27%,21.87%,29.90%,41.29%,22.95%,62.62%,57.00%,48.90%,73.90%,85.76%,43.58%,104.02%,50.93%,74.38%,127.25%,34.33%,115.43%,7.26%,36.75%,48.88%,71.15%,87.37%,20.59%,63.50%,-5.82%,-6.36%,-22.84%,-33.51%,-25.27%,-12.08%,14.75%,-20.85%,-33.15%,-
Enterprise Value,73,758,854,"1,347","1,717","1,977","2,100","2,199","2,057","2,538","2,955","2,704","3,360","4,032","4,434","4,744","6,323","5,818","9,061","7,166","11,026","13,203","12,163","15,361","11,738","18,058","18,096","26,341","22,089","21,702","29,590","24,673","20,525","16,628","19,520","18,253","17,862","18,861","15,222","12,156","10,716"
PE Ratio,-,-390.91,700.86,237.65,162.90,116.32,116.03,106.19,62.73,68.12,74.30,38.83,40.00,42.74,40.66,38.51,48.53,39.80,58.96,52.36,77.40,84.91,73.46,85.62,60.56,102.99,110.79,184.47,153.55,129.63,173.57,127.18,93.41,73.91,79.19,66.19,59.39,61.31,46.25,36.53,32.45
PS Ratio,-,5.89,6.16,8.92,10.21,10.79,10.43,9.90,8.11,9.10,9.79,8.31,9.54,10.62,10.98,10.98,13.60,11.72,17.19,12.67,18.10,20.32,17.62,20.96,15.24,22.89,22.39,31.45,25.56,23.48,30.05,23.61,18.35,13.93,15.36,13.54,12.45,12.44,9.62,7.35,6.50
PB Ratio,-,10.98,11.97,18.15,21.48,23.08,23.15,22.62,17.77,20.10,22.89,23.47,23.41,28.03,28.40,16.91,19.08,17.70,25.28,21.44,27.81,30.51,25.77,29.36,19.82,30.96,28.81,40.36,29.88,27.61,36.10,27.89,20.67,16.98,18.40,15.75,13.74,13.77,11.03,9.56,8.45
P/FCF Ratio,-,-79.34,-190.63,166.83,78.01,68.01,69.16,84.17,56.29,66.77,67.02,49.44,52.79,69.52,71.88,67.20,81.02,55.40,73.94,57.46,73.07,91.49,95.12,117.73,97.36,184.50,143.68,198.81,158.05,135.23,170.05,125.44,95.98,78.07,98.86,80.13,71.87,64.60,51.78,42.56,37.63
P/OCF Ratio,-,53.30,46.47,60.25,51.16,50.82,49.18,51.76,35.19,34.64,36.01,27.67,31.36,40.84,38.36,36.54,43.12,33.41,49.53,38.83,53.35,63.86,56.82,68.94,52.63,86.79,82.01,116.47,94.93,82.19,105.45,78.04,60.08,49.37,60.69,51.01,46.55,43.22,32.73,25.67,22.70
Debt / Equity Ratio,14.26,0.40,0.38,0.36,0.33,0.30,0.28,0.26,0.22,0.23,0.23,0.26,0.22,0.24,0.22,0.13,0.11,0.11,0.10,0.10,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,-,-
Quick Ratio,0.03,0.05,0.05,0.04,0.06,0.08,0.08,0.07,0.06,0.08,0.12,0.07,0.09,0.08,0.08,0.04,0.06,0.06,0.09,0.05,0.06,0.08,0.12,0.08,0.13,0.11,0.10,0.09,0.10,0.10,0.08,0.14,0.09,0.08,0.17,0.18,0.20,0.25,0.24,0.12,0.12
Current Ratio,0.98,1.02,1.03,1.02,1.03,1.05,1.05,1.05,1.04,1.05,1.08,1.03,1.05,1.05,1.05,1.03,1.06,1.06,1.08,1.03,1.04,1.07,1.10,1.07,1.10,1.11,1.09,1.09,1.08,1.10,1.07,1.13,1.08,1.08,1.17,1.16,1.19,1.24,1.24,1.11,1.11
Interest Coverage,1.89,-0.54,13.96,14.07,31.84,27.62,20.27,18.34,92.41,94.82,1.46,187.53,204.69,67.41,100.57,228.58,-,1280.94,95.91,123.70,226.04,203.97,195.20,419.62,5520.88,8912.67,-,-,-,-,-,-,593.86,206.75,74.96,121.11,198.85,155.23,460.64,421.72,246.15
Return on Capital (ROIC),Upgrade,5.10%,5.92%,6.83%,10.34%,13.86%,15.87%,16.14%,17.31%,23.67%,24.27%,40.47%,65.07%,62.05%,66.77%,57.47%,39.82%,36.00%,40.48%,39.31%,36.90%,33.17%,33.61%,33.06%,32.33%,31.16%,28.51%,24.73%,20.91%,18.56%,20.40%,19.96%,21.05%,21.31%,22.08%,22.36%,22.59%,21.87%,21.03%,22.19%,24.99%
Dividend Yield,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.50%,0.79%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.80%,28.80%,26.20%,25.51%
Buyback Yield / Dilution,-0.95%,-4.76%,-15.91%,-11.25%,-16.93%,-16.08%,-10.17%,-8.56%,-3.18%,-0.56%,-0.92%,-1.93%,-0.28%,-0.20%,0.06%,1.43%,-0.36%,0.16%,0.56%,0.83%,0.72%,0.53%,0.28%,-0.37%,-0.21%,0.30%,0.36%,0.29%,0.08%,0.25%,-0.03%,0.03%,0.30%,0.04%,0.27%,0.12%,0.39%,0.06%,0.12%,0.68%,0.35%
Total Shareholder Return,-0.95%,-4.76%,-15.91%,-11.25%,-16.93%,-16.08%,-10.17%,-8.56%,-3.18%,-0.56%,-0.92%,-1.93%,-0.28%,-0.20%,0.06%,1.43%,-0.36%,0.16%,0.56%,0.83%,0.72%,0.53%,0.28%,-0.37%,-0.21%,0.30%,0.36%,0.29%,0.08%,0.25%,-0.03%,0.03%,0.30%,0.04%,0.27%,0.12%,0.39%,0.16%,0.42%,1.18%,1.13%
