,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"21,833","27,892","38,269","44,591","69,834","68,288","67,447","70,597","63,550","75,002","69,556"
Market Cap Growth,12.39%,27.75%,37.20%,16.52%,56.61%,-2.21%,-1.23%,4.67%,-9.98%,18.02%,-
Enterprise Value,"23,054","39,195","47,913","49,261","90,076","87,058","82,441","85,803","78,448","89,392","84,430"
PE Ratio,18.42,40.13,39.21,43.29,439.21,63.11,87.94,35.26,37.63,52.67,57.46
PS Ratio,2.59,2.71,3.07,3.69,4.37,3.95,4.20,3.69,3.37,3.87,3.57
PB Ratio,4.32,3.89,5.01,3.44,3.33,3.24,2.84,2.98,2.51,2.91,2.75
P/FCF Ratio,19.98,24.60,20.51,24.46,35.45,28.78,24.35,20.45,38.26,35.46,26.26
P/OCF Ratio,12.50,16.12,14.95,17.49,24.37,20.51,19.06,15.19,24.13,25.09,20.27
EV/Sales Ratio,2.73,3.81,3.84,4.07,5.64,5.04,5.13,4.49,4.16,4.61,4.33
EV/EBITDA Ratio,10.39,19.59,18.61,19.06,23.35,21.40,23.03,17.59,17.23,20.52,19.93
EV/EBIT Ratio,13.91,35.31,32.79,32.91,47.94,47.94,56.31,32.39,33.74,43.23,43.19
EV/FCF Ratio,21.09,34.56,25.68,27.02,45.72,36.69,29.76,24.85,47.23,42.27,31.87
Debt / Equity Ratio,0.79,1.79,1.51,1.46,1.02,0.92,0.75,0.74,0.64,0.62,0.64
Debt / EBITDA Ratio,1.79,6.41,4.49,7.30,5.57,4.77,5.01,3.61,3.53,3.65,3.80
Debt / FCF Ratio,3.63,11.31,6.19,10.35,10.91,8.17,6.47,5.10,9.67,7.51,6.08
Quick Ratio,1.76,0.72,0.80,4.77,0.50,0.52,0.91,0.72,0.43,0.61,0.46
Current Ratio,2.74,1.29,1.45,5.58,1.03,1.18,1.54,1.33,1.04,1.31,1.08
Asset Turnover,0.69,0.41,0.48,0.39,0.29,0.33,0.30,0.35,0.35,0.36,0.37
Interest Coverage,12.27,2.99,3.77,2.87,2.66,2.84,2.77,5.65,5.84,4.58,4.24
Return on Equity (ROE),22.80%,10.40%,12.80%,10.00%,0.80%,5.10%,3.40%,8.20%,6.80%,5.50%,4.70%
Return on Assets (ROA),9.70%,2.80%,3.80%,3.30%,0.30%,2.10%,1.40%,3.70%,3.20%,2.70%,2.30%
Return on Capital (ROIC),13.86%,5.05%,6.78%,5.39%,0.94%,4.56%,2.04%,5.23%,5.10%,4.65%,3.98%
Earnings Yield,5.43%,2.49%,2.55%,2.31%,0.23%,1.58%,1.14%,2.84%,2.66%,1.90%,1.75%
FCF Yield,5.01%,4.07%,4.88%,4.09%,2.82%,3.48%,4.11%,4.89%,2.61%,2.82%,3.81%
Dividend Yield,1.90%,1.80%,1.50%,1.50%,1.10%,1.20%,1.40%,1.40%,1.60%,1.40%,1.58%
Payout Ratio,35.60%,70.00%,57.50%,62.10%,483.90%,76.80%,114.90%,48.00%,58.70%,73.20%,90.69%
Buyback Yield / Dilution,1.22%,-9.60%,-1.27%,-6.88%,-17.58%,-0.89%,-7.38%,0.92%,0.69%,-1.72%,-2.48%
Total Shareholder Return,3.12%,-7.80%,0.23%,-5.38%,-16.48%,0.31%,-5.98%,2.32%,2.29%,-0.32%,-0.90%
