,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-0.46,-3.15,-6.27,-5.36,-36.59,-6.35,-6.89,-4.23,1.19,-7.31,-2.4,-21.38,-0.42,11.67,25.8,44.75,12.97,3.38,19.89,41.25,31.58,18.22,14.8,31.29,12.52,96.43,91.76,148.54,143.77,98.25,89.93,161.56,86.11,73.12,-963.07,109.55,74.54,61.92,87.85
Depreciation & Amortization,3.9,4.13,4.47,4.73,4.34,4.73,4.97,4.51,4.73,5.1,5.79,6.91,6.94,6.66,7.02,6.58,6.32,6.36,6.44,7.63,10.14,9.81,12.81,15.27,15.16,14.17,15.75,13.1,13.08,12.99,23.21,24.99,24.75,25.03,24.13,22.79,23.17,22.95,22.17
Share-Based Compensation,1.18,2.09,2.03,-0.12,1.5,3.91,1.83,3.6,3.24,4.27,4.09,4.31,4.89,8.16,7.52,5.99,6.45,8.62,8.92,14.24,8.08,10.84,12.14,13.34,13.81,16.73,17.13,17.45,20.35,27.44,42.26,49.86,49.27,64.36,52.91,64.36,68.68,77.28,70.12
Other Operating Activities,1.58,-2.34,4.85,0.85,39.64,2.45,5.47,10.28,-6.34,14.7,2.8,28.28,-8.09,-14.35,-23.47,-20.54,0.43,22.24,-5.13,38.93,-18.35,10.97,7.3,18.68,-11.83,93.11,60.55,64.58,-28.73,-16.98,-64.47,54.05,-100.59,-36.75,"1,093",95.05,-110.76,-25.87,38.37
Operating Cash Flow,6.18,0.73,5.07,0.1,8.9,4.74,5.38,14.15,2.82,16.76,10.27,18.11,3.31,12.14,16.87,36.78,26.17,40.59,30.12,102.05,31.46,49.84,47.05,78.58,29.66,220.43,185.19,243.67,148.47,121.7,90.93,290.46,59.54,125.75,206.56,291.75,55.63,136.27,218.51
Operating Cash Flow Growth,-,-,-,-,43.84%,548.90%,5.97%,13907.92%,-68.30%,253.83%,91.05%,28.03%,17.34%,-27.58%,64.32%,103.04%,690.84%,234.39%,78.47%,177.47%,20.21%,22.77%,56.22%,-23.00%,-5.70%,342.31%,293.65%,210.08%,400.49%,-44.79%,-50.90%,19.20%,-59.89%,3.33%,127.17%,0.44%,-6.57%,8.36%,5.78%
Capital Expenditures,-2.81,-2.02,-2.07,-2.68,-4.28,-5.39,-7.19,-3.98,-13.04,-18.85,-10.71,-5.16,-6.66,-3.54,-1.72,-1.24,-3.29,-5.16,-5.67,-6.44,-4.07,-4.34,-3.72,-3.15,-1.83,-0.42,-1.82,-3.04,-3.75,-5.25,-10.12,-9.05,-9.22,-7.98,-14.46,0.92,-8.21,-8.25,-10.89
Acquisitions,0,-4.41,-0.27,0,0,0,0,0,0,0,-7.88,0,0,0,0,0,0,-35.32,0,-0.17,0,0,-273.25,0.88,0,0,0,-0.88,0,0,"-1,690.82",-11.09,0,0,0,-6.46,0,0,0
Change in Investments,-1.2,-0.54,1.38,-0.75,-2.35,-0.01,1.07,-1.17,-101.39,12.97,26.9,-18.28,19.05,20.78,9.9,25.26,-42.36,-141.31,-11.06,-34.6,-17.93,-21.61,116.67,-277.85,7.92,17.06,20.73,-49.11,-177.26,106.06,246.29,-2.97,-0.94,-8.33,11,5.45,-27.89,1.63,-0.38
Other Investing Activities,-,-5.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
