,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"24,274","7,825","17,961","27,446","14,940","19,036","37,804","61,279","54,314","61,044","55,681"
Market Cap Growth,-38.05%,-67.76%,129.52%,52.81%,-45.57%,27.42%,98.59%,62.10%,-11.37%,12.39%,-
Enterprise Value,"42,659","27,972","29,743","36,149","21,864","26,842","43,858","62,661","56,677","64,500","59,137"
PE Ratio,-18.56,-0.64,-4.32,15.11,5.74,-79.65,63.11,14.23,15.66,33.03,30.34
PS Ratio,1.21,0.54,1.21,1.67,0.80,1.32,2.66,2.68,2.38,2.67,2.44
PB Ratio,1.33,1.00,2.97,3.44,1.53,2.05,3.72,4.38,3.49,3.66,3.34
P/FCF Ratio,7.35,34.17,2.51,7.83,7.41,-39.82,20.71,10.33,28.11,89.51,81.64
P/OCF Ratio,4.31,2.43,4.81,5.88,3.87,12.84,12.53,7.94,10.57,11.56,10.55
EV/Sales Ratio,2.13,1.91,2.01,2.20,1.17,1.86,3.09,2.74,2.49,2.82,2.59
EV/EBITDA Ratio,11.88,-2.81,-57.64,6.93,3.47,11.66,11.95,6.81,6.82,9.63,8.83
EV/EBIT Ratio,-156.83,-2.08,-9.51,10.31,4.82,30.13,20.48,8.69,9.00,13.92,12.76
EV/FCF Ratio,12.92,122.15,4.15,10.32,10.85,-56.15,24.03,10.56,29.34,94.58,86.71
Debt / Equity Ratio,1.03,2.60,2.65,1.66,1.14,1.06,0.95,0.68,0.68,0.56,0.56
Debt / EBITDA Ratio,5.25,-2.04,-31.06,2.53,1.77,4.27,2.65,1.03,1.28,1.41,1.41
Debt / FCF Ratio,5.71,88.75,2.24,3.78,5.53,-20.56,5.32,1.59,5.50,13.82,13.82
Quick Ratio,0.33,0.23,1.26,1.19,1.52,0.86,1.33,1.57,1.51,1.23,1.23
Current Ratio,1.75,1.73,2.45,2.16,3.14,2.47,2.72,2.52,2.46,2.42,2.42
Asset Turnover,0.32,0.28,0.37,0.44,0.49,0.35,0.35,0.50,0.46,0.44,0.44
Interest Coverage,-0.45,-21.80,-4.14,4.38,4.80,1.44,3.58,11.97,11.24,9.00,9.00
Return on Equity (ROE),-6.40%,-101.20%,-89.90%,26.00%,27.50%,-2.50%,6.40%,34.30%,23.00%,11.30%,11.30%
Return on Assets (ROA),-2.10%,-23.60%,-10.20%,4.90%,6.80%,-0.60%,1.50%,9.40%,6.90%,3.60%,3.60%
Return on Capital (ROIC),-0.80%,-48.00%,-12.36%,11.72%,16.44%,-5.03%,4.76%,23.28%,16.26%,10.70%,10.70%
Earnings Yield,-5.39%,-156.37%,-23.13%,6.62%,17.42%,-1.26%,1.58%,7.03%,6.39%,3.03%,3.32%
FCF Yield,13.60%,2.93%,39.88%,12.77%,13.49%,-2.51%,4.83%,9.68%,3.56%,1.12%,1.22%
Dividend Yield,5.40%,6.80%,0.00%,0.00%,1.50%,1.50%,0.20%,0.50%,1.60%,1.40%,1.54%
Payout Ratio,-99.20%,-4.10%,0.00%,0.00%,8.40%,-117.60%,12.20%,7.70%,25.00%,46.90%,46.75%
Buyback Yield / Dilution,-3.28%,-4.14%,-21.81%,-10.32%,-0.28%,0.48%,-0.69%,-1.44%,2.09%,0.55%,0.55%
Total Shareholder Return,2.12%,2.66%,-21.81%,-10.32%,1.22%,1.98%,-0.49%,-0.94%,3.69%,1.95%,2.09%
