,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"9,316","9,264","9,523","9,168","9,546","9,497","9,608","11,386","12,459","12,110"
Revenue Growth (YoY),6.45%,-0.56%,2.80%,-3.74%,4.13%,-0.51%,1.17%,18.50%,9.42%,-2.80%
Cost of Revenue,"7,751","7,455","7,365","7,171","7,566","7,613","7,782","9,458","10,294","10,110"
Gross Profit,"1,565","1,809","2,158","1,997","1,979","1,885","1,826","1,928","2,165","2,000"
"Selling, General & Admin",650.95,743.61,871.97,759.3,841.21,727.58,761.32,853.07,879.27,942.17
Other Operating Expenses,0,21.54,0.99,0.18,17.28,0,0,0,0,28.38
Operating Expenses,650.95,765.15,872.97,759.48,858.48,727.58,761.32,853.07,879.27,970.55
Operating Income,914.04,"1,043","1,285","1,237","1,121","1,157","1,065","1,075","1,285","1,029"
Interest Expense / Income,12.7,13.11,12.87,12.68,26.49,18.07,21.07,43.31,62.52,73.4
Other Expense / Income,-17.47,-25.65,-44.41,-53.81,-86.35,-70.38,-70.9,-94.34,-54.96,-58.24
Pretax Income,918.8,"1,056","1,317","1,278","1,181","1,209","1,114","1,126","1,278","1,014"
Income Tax,316.13,369.88,426.7,431.54,168.7,230.57,206.39,217.03,277.88,220.55
Net Income,602.68,686.09,890.05,846.74,"1,012",978.81,908.08,908.84,999.99,793.57
Net Income Growth,14.53%,13.84%,29.73%,-4.87%,19.53%,-3.29%,-7.23%,0.08%,10.03%,-20.64%
Shares Outstanding (Basic),528,528,529,528,531,535,538,541,545,546
Shares Outstanding (Diluted),540,541,542,539,544,545,547,548,550,549
Shares Change,-0.00%,0.11%,0.27%,-0.62%,0.88%,0.25%,0.25%,0.18%,0.36%,-0.11%
EPS (Basic),1.14,1.30,1.68,1.60,1.91,1.83,1.69,1.68,1.84,1.45
EPS (Diluted),1.12,1.27,1.64,1.57,1.86,1.80,1.66,1.66,1.82,1.45
EPS Growth,14.87%,13.39%,29.13%,-4.27%,18.47%,-3.23%,-7.78%,0%,9.64%,-20.33%
Free Cash Flow,598.03,866.43,790.72,816.35,861.87,666.56,762.44,771.73,857.28,782.96
Free Cash Flow Per Share,1.13,1.64,1.49,1.54,1.62,1.25,1.42,1.43,1.57,1.43
Dividend Per Share,0.400,0.500,0.580,0.680,0.750,0.840,0.930,0.980,1.040,1.100
Dividend Growth,17.65%,25.00%,16.00%,17.24%,10.29%,12.00%,10.71%,5.38%,6.12%,5.77%
Gross Margin,16.80%,19.52%,22.66%,21.78%,20.74%,19.84%,19.00%,16.93%,17.37%,16.51%
Operating Margin,9.81%,11.26%,13.50%,13.49%,11.74%,12.18%,11.08%,9.44%,10.32%,8.50%
Profit Margin,6.47%,7.41%,9.35%,9.24%,10.60%,10.31%,9.45%,7.98%,8.03%,6.55%
Free Cash Flow Margin,6.42%,9.35%,8.30%,8.90%,9.03%,7.02%,7.94%,6.78%,6.88%,6.47%
Effective Tax Rate,34.41%,35.03%,32.41%,33.76%,14.29%,19.07%,18.52%,19.28%,21.75%,21.75%
EBITDA,"1,062","1,203","1,462","1,422","1,369","1,393","1,341","1,395","1,597","1,370"
EBITDA Margin,11.39%,12.98%,15.35%,15.51%,14.34%,14.66%,13.96%,12.25%,12.82%,11.31%
Depreciation & Amortization,130.04,133.43,131.97,130.98,161.86,165.21,205.78,226.01,256.52,282.38
EBIT,931.51,"1,069","1,330","1,291","1,207","1,227","1,136","1,169","1,340","1,088"
EBIT Margin,10.00%,11.54%,13.96%,14.08%,12.65%,12.92%,11.82%,10.27%,10.76%,8.98%
