,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"4,628","4,978","5,996","5,713","8,060","8,598","10,782","16,068","25,374","17,712","12,644"
Market Cap Growth,29.95%,7.56%,20.45%,-4.73%,41.08%,6.68%,25.41%,49.02%,57.91%,-30.20%,-
Enterprise Value,"5,390","5,850","6,771","6,400","9,864","10,326","12,811","17,845","29,902","21,822","15,229"
PE Ratio,27.68,31.55,28.23,24.38,27.54,36.14,47.38,22.08,26.90,31.12,17.45
PS Ratio,2.15,2.40,2.85,2.70,3.57,3.10,3.74,6.03,6.63,5.35,4.52
PB Ratio,2.32,2.44,2.84,2.65,3.22,3.33,3.83,4.30,3.55,2.40,1.64
P/FCF Ratio,26.94,19.37,23.16,17.91,32.32,39.48,37.55,19.39,19.15,29.81,-277.25
P/OCF Ratio,29.18,17.68,20.89,16.29,27.94,27.64,29.67,18.01,17.99,26.05,373.90
EV/Sales Ratio,2.50,2.83,3.22,3.03,4.37,3.72,4.44,6.70,7.81,6.59,5.45
EV/EBITDA Ratio,15.74,18.51,17.30,15.49,16.98,20.50,22.25,15.30,18.42,17.80,11.62
EV/EBIT Ratio,25.00,28.46,23.67,20.44,20.73,31.97,35.41,18.50,22.79,27.30,17.31
EV/FCF Ratio,31.37,22.76,26.16,20.07,39.56,47.41,44.62,21.54,22.57,36.73,-329.38
Debt / Equity Ratio,0.47,0.51,0.48,0.49,0.80,0.73,0.79,0.58,0.72,0.62,0.52
Debt / EBITDA Ratio,2.73,3.31,2.59,2.53,3.45,3.76,3.86,1.87,3.16,3.72,3.06
Debt / FCF Ratio,5.44,4.07,3.91,3.28,8.04,8.69,7.73,2.63,3.87,7.68,-80.98
Quick Ratio,1.06,1.08,1.16,1.30,0.79,1.03,1.20,0.94,1.08,0.69,1.43
Current Ratio,1.73,1.79,1.84,1.97,1.26,1.60,1.80,1.36,2.01,2.13,2.01
Asset Turnover,0.56,0.52,0.52,0.50,0.46,0.47,0.45,0.38,0.32,0.23,0.20
Interest Coverage,3.36,5.00,6.79,6.20,-,4.88,2.90,14.35,23.91,8.80,12.42
Return on Equity (ROE),8.80%,7.70%,10.20%,11.10%,12.10%,9.30%,8.40%,22.90%,16.90%,7.90%,9.60%
Return on Assets (ROA),4.30%,4.00%,5.20%,5.50%,5.90%,4.00%,3.60%,10.50%,8.00%,4.00%,5.30%
Return on Capital (ROIC),8.58%,5.13%,6.99%,8.21%,4.02%,6.70%,6.91%,11.89%,7.69%,5.00%,2.83%
Earnings Yield,3.61%,3.17%,3.54%,4.10%,3.63%,2.77%,2.11%,4.53%,3.72%,3.21%,5.87%
FCF Yield,3.71%,5.16%,4.32%,5.58%,3.09%,2.53%,2.66%,5.16%,5.22%,3.35%,-0.39%
Dividend Yield,0.70%,0.60%,0.50%,0.50%,0.50%,0.40%,0.30%,0.20%,0.10%,0.20%,0.27%
Payout Ratio,18.80%,20.00%,14.80%,13.10%,13.10%,13.00%,13.60%,4.30%,3.40%,6.20%,4.77%
Buyback Yield / Dilution,2.08%,-0.51%,0.91%,2.13%,-0.62%,-0.92%,0.12%,-0.79%,-12.70%,-0.09%,1.71%
Total Shareholder Return,2.78%,0.09%,1.41%,2.63%,-0.12%,-0.52%,0.42%,-0.59%,-12.60%,0.11%,1.99%
