,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,025","5,995","7,708","8,884","13,573","14,829","14,489","18,758","16,711","19,541","23,309"
Market Cap Growth,55.94%,19.31%,28.57%,15.26%,52.77%,9.25%,-2.29%,29.46%,-10.91%,16.94%,-
Enterprise Value,"5,201","6,360","7,995","9,715","14,362","16,026","15,800","22,371","20,279","22,702","26,685"
PE Ratio,19.11,20.88,25.07,27.19,31.72,30.76,31.33,34.26,31.00,30.99,34.48
PS Ratio,1.96,2.23,2.66,2.15,3.14,3.40,3.20,3.76,2.93,3.22,3.69
PB Ratio,5.23,6.46,7.37,8.85,12.40,13.15,10.76,10.37,8.71,8.72,11.27
P/FCF Ratio,14.46,15.73,20.28,26.09,23.53,26.18,27.06,31.89,40.32,24.90,23.47
P/OCF Ratio,12.96,13.90,17.61,17.22,19.57,24.03,24.22,29.30,37.68,23.74,22.58
EV/Sales Ratio,2.03,2.36,2.76,2.35,3.32,3.67,3.49,4.48,3.55,3.75,4.22
EV/EBITDA Ratio,10.55,11.77,13.70,15.17,19.67,19.50,19.39,23.99,20.89,19.90,21.29
EV/EBIT Ratio,13.15,13.78,16.17,18.30,23.95,24.69,24.75,29.77,26.79,24.40,26.36
EV/FCF Ratio,14.97,16.69,21.04,28.53,24.90,28.29,29.50,38.03,48.92,28.92,26.87
Debt / Equity Ratio,0.54,0.74,0.97,1.10,0.96,1.30,1.33,2.15,1.98,1.52,1.77
Debt / EBITDA Ratio,1.06,1.28,1.74,1.72,1.44,1.79,2.19,4.17,3.91,2.99,2.91
Debt / FCF Ratio,1.51,1.81,2.67,3.24,1.83,2.60,3.34,6.61,9.15,4.35,3.68
Quick Ratio,1.59,1.51,1.70,1.16,1.13,1.17,0.89,0.85,0.89,0.51,1.20
Current Ratio,1.82,1.69,1.86,1.33,1.27,1.30,0.99,0.98,1.01,0.58,1.40
Asset Turnover,1.25,1.22,1.15,1.35,1.31,1.23,0.98,0.87,0.70,0.74,0.77
Interest Coverage,-,20.42,19.25,12.43,15.53,15.53,10.86,13.61,8.94,6.87,7.02
Return on Equity (ROE),29.60%,30.40%,32.30%,32.80%,39.20%,40.60%,38.40%,35.10%,29.80%,31.80%,32.50%
Return on Assets (ROA),12.90%,13.00%,12.20%,10.60%,12.90%,13.60%,10.00%,9.60%,6.60%,7.70%,8.40%
Return on Capital (ROIC),18.72%,18.89%,15.92%,16.97%,21.24%,19.95%,15.91%,9.37%,10.67%,13.14%,13.96%
Earnings Yield,5.23%,4.79%,3.99%,3.68%,3.15%,3.25%,3.19%,2.92%,3.23%,3.23%,2.93%
FCF Yield,6.91%,6.36%,4.93%,3.83%,4.25%,3.82%,3.70%,3.14%,2.48%,4.02%,4.26%
Dividend Yield,2.00%,2.20%,1.80%,1.70%,1.30%,1.50%,1.70%,1.40%,1.80%,1.80%,1.62%
Payout Ratio,38.20%,45.20%,46.20%,47.70%,39.90%,46.60%,53.60%,48.60%,55.40%,54.10%,55.75%
Buyback Yield / Dilution,1.04%,0.08%,1.94%,0.66%,0.33%,1.33%,1.52%,-0.68%,-0.59%,-0.42%,-0.17%
Total Shareholder Return,3.04%,2.28%,3.74%,2.36%,1.63%,2.83%,3.22%,0.72%,1.21%,1.38%,1.45%
