,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,533.5,750.7,886.3,"1,038","1,460","1,619","2,374","4,176","5,858","4,746"
Depreciation & Amortization,38.4,54.1,61,54.7,62.4,72,90.6,82.1,81.4,91.6
Share-Based Compensation,25.6,29.9,39,44.9,55.8,73.2,77.8,91.4,105.1,111.2
Other Operating Activities,"-1,258.9",-134.3,-362.4,-697.8,"-1,033.3",-871.6,"-1,120.5","-3,814.9","-5,482.2",-644.4
Operating Cash Flow,-661.4,700.4,623.9,440.2,545.2,892.1,"1,422",534.4,561.8,"4,304"
Operating Cash Flow Growth,-,-,-10.92%,-29.44%,23.85%,63.63%,59.35%,-62.41%,5.13%,666.13%
Capital Expenditures,-100.2,-0.1,-86.1,-157.3,154.6,-80.3,-157,-229.8,-148.2,-96.6
Acquisitions,-244.1,-70.9,-82.2,-4.1,-141.7,-315.8,-9.7,-24.5,-271.5,-212.9
Change in Investments,-5.6,-23.7,55.5,-2.6,6.1,0,0,0,0,0
Other Investing Activities,67.8,-0.7,0.2,-,-,2.1,0.6,2.1,4.8,-0.7
Investing Cash Flow,-282.1,-95.4,-112.6,-164,19,-394,-166.1,-252.2,-414.9,-310.2
Dividends Paid,-48.6,-91.6,-118.7,-149.6,-188.4,-223.4,-256,-289.3,-316.5,-341.2
Share Issuance / Repurchase,45.2,61.8,72.4,-13.9,-80.1,-437.1,-337,-825.7,"-1,098.3","-1,153"
Debt Issued / Paid,630.7,134.5,-549.7,-410.3,199.5,93.3,906.9,"1,077",572.5,"-1,061.6"
Other Financing Activities,0.6,12.3,4.1,9.2,-13.5,77.1,-43.3,-47.4,31.1,-110.9
Financing Cash Flow,627.9,117,-591.9,-564.6,-82.5,-490.1,270.6,-85.1,-811.2,"-2,666.7"
Net Cash Flow,-315.6,722,-80.6,-288.4,481.7,8,"1,526",197.1,-664.3,"1,327"
Free Cash Flow,-761.6,700.3,537.8,282.9,699.8,811.8,"1,265",304.6,413.6,"4,208"
Free Cash Flow Growth,-,-,-23.20%,-47.40%,147.37%,16.00%,55.78%,-75.91%,35.78%,917.29%
Free Cash Flow Margin,-9.49%,6.47%,4.42%,2.01%,4.36%,4.61%,6.23%,1.10%,1.24%,11.87%
Free Cash Flow Per Share,-2.09,1.91,1.45,0.76,1.86,2.18,3.46,0.84,1.18,12.35
