,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"13,686","16,070","12,007","18,986","16,067","14,696","10,981","12,464","15,675","10,967","13,604"
Market Cap Growth,-19.54%,17.42%,-25.28%,58.12%,-15.37%,-8.53%,-25.28%,13.51%,25.76%,-30.03%,-
Enterprise Value,"11,697","14,306","8,231","22,916","18,931","17,105","13,040","15,206","17,613","20,036","22,414"
PE Ratio,15.24,18.30,4.83,-179.11,14.12,474.05,2.83,22.50,18.75,8.13,9.71
PS Ratio,3.27,4.06,3.34,4.72,6.28,5.98,4.41,4.89,5.61,3.29,3.59
PB Ratio,2.36,2.71,3.27,5.45,3.20,2.56,1098.10,-24.93,-168.55,4.99,5.63
P/FCF Ratio,12.59,15.93,22.66,-68.05,19.88,11.18,-11.56,13.58,11.85,14.60,13.65
P/OCF Ratio,10.68,12.25,14.97,-90.84,16.91,9.83,-12.75,17.65,16.09,14.49,13.74
EV/Sales Ratio,2.80,3.62,2.29,5.70,7.40,6.96,5.24,5.96,6.30,6.00,5.91
EV/EBITDA Ratio,8.57,10.98,2.02,40.34,14.41,19.96,2.76,14.54,13.26,12.87,13.97
EV/EBIT Ratio,11.72,15.09,2.18,301.52,28.09,70.68,3.02,17.40,15.08,16.63,20.68
EV/FCF Ratio,10.76,14.18,15.53,-82.14,23.43,13.02,-13.73,16.56,13.31,26.68,22.48
Debt / Equity Ratio,0.36,0.35,0.60,2.35,1.00,0.78,432.20,-7.39,-41.17,4.46,3.85
Debt / EBITDA Ratio,1.53,1.61,0.54,14.41,3.82,5.19,0.91,3.53,2.88,6.31,5.79
Debt / FCF Ratio,1.93,2.08,4.16,-29.34,6.22,3.39,-4.55,4.02,2.89,13.07,9.33
Quick Ratio,1.18,1.02,1.62,1.06,0.94,0.73,0.91,0.50,0.66,0.32,0.25
Current Ratio,1.31,1.22,1.73,1.15,1.10,0.85,1.17,0.72,0.74,0.43,0.67
Asset Turnover,0.32,0.30,0.29,0.25,0.16,0.15,0.17,0.40,0.41,0.25,0.24
Interest Coverage,11.88,12.15,50.35,0.37,2.63,1.16,22.06,6.07,9.27,3.00,1.60
Return on Equity (ROE),15.80%,14.90%,47.70%,-2.80%,26.90%,0.50%,77.60%,-112.40%,-363.50%,109.90%,59.60%
Return on Assets (ROA),6.80%,6.70%,20.30%,-0.70%,7.20%,0.20%,26.90%,8.70%,12.30%,10.10%,8.70%
Return on Capital (ROIC),1.79%,1.94%,5.22%,-0.86%,-4.17%,1.41%,7.72%,21.30%,21.58%,17.13%,31.53%
Earnings Yield,6.56%,5.46%,20.72%,-0.56%,7.08%,0.21%,35.40%,4.44%,5.33%,12.30%,10.27%
FCF Yield,7.94%,6.28%,4.41%,-1.47%,5.03%,8.94%,-8.65%,7.37%,8.44%,6.85%,7.33%
Dividend Yield,3.00%,2.50%,25.00%,1.00%,1.20%,1.30%,67.80%,2.30%,1.90%,2.90%,2.34%
Payout Ratio,46.50%,47.20%,124.00%,-176.50%,16.20%,600.00%,196.20%,53.20%,34.70%,22.70%,22.73%
Buyback Yield / Dilution,0.98%,1.14%,3.74%,7.76%,-8.09%,5.39%,-1.74%,6.69%,1.50%,-5.58%,0.92%
Total Shareholder Return,3.98%,3.64%,28.74%,8.76%,-6.89%,6.69%,66.06%,8.99%,3.40%,-2.68%,3.26%
