,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"5,718","5,869","5,749","5,495","5,094","5,678","6,538","5,413","4,983","3,911","4,459","4,971","5,137","5,731","8,124","9,378","10,025","12,926","12,761","18,035","15,286","17,602","18,294","18,375","21,072","15,191","27,478","28,771","40,214","36,951","43,582","43,457","37,438","31,007","19,903","13,513","11,588","10,723","11,654","10,894","10,217"
Market Cap Growth,36.84%,55.90%,44.32%,21.14%,-10.91%,-3.27%,13.72%,-1.50%,-2.18%,-31.12%,-31.80%,-8.16%,3.09%,46.54%,82.20%,88.64%,95.15%,125.56%,57.09%,92.32%,52.48%,36.17%,43.35%,1.88%,37.85%,-13.70%,50.20%,56.58%,90.84%,143.24%,58.61%,51.04%,-6.90%,-16.09%,-54.33%,-68.91%,-69.05%,-65.42%,-41.45%,-19.38%,-
Enterprise Value,"5,692","5,907","5,760","5,524","5,023","5,881","6,728","5,592","5,230","4,204","4,839","5,245","5,321","5,877","8,159","9,771","10,383","13,258","12,992","18,153","15,290","17,690","18,132","18,397","23,496","15,938","30,876","31,893","43,316","39,949","47,178","46,781","40,540","34,001","23,321","16,993","14,843","13,982","14,752","14,022","13,345"
PE Ratio,20.01,21.90,29.98,13.03,12.28,14.01,13.54,24.44,41.71,38.59,-29.19,-28.38,-124.45,-245.40,34.18,25.06,32.88,36.95,25.43,38.53,24.38,27.31,33.90,35.17,46.43,93.59,222.02,210.89,247.73,68.50,71.99,72.99,134.80,109.18,178.90,124.27,32.02,35.48,24.72,21.51,21.24
PS Ratio,1.89,1.94,1.93,1.83,1.64,1.81,2.07,1.69,1.54,1.19,1.37,1.56,1.64,1.86,2.62,2.96,3.03,3.65,3.33,4.39,8.84,9.56,14.30,25.65,10.27,7.13,12.55,12.58,16.82,14.70,16.34,15.36,12.55,9.96,6.22,4.21,3.63,3.38,3.63,3.32,3.11
PB Ratio,3.39,3.43,3.44,2.78,2.56,3.24,3.60,2.93,2.76,1.89,2.46,2.67,2.75,3.10,4.13,3.86,4.13,5.18,4.95,6.94,5.38,6.33,6.13,6.34,7.20,6.27,-16.09,-19.94,-28.43,-30.42,-306.38,-635.77,-183.73,-253.22,-43.94,-19.32,-32.20,-32.06,-65.50,-36.38,-36.38
P/FCF Ratio,17.29,19.25,21.10,16.85,13.89,17.90,21.54,21.59,14.50,10.20,13.40,14.81,19.30,19.13,24.32,24.94,29.38,30.65,22.57,25.35,15.98,19.63,19.22,18.31,23.44,17.01,32.64,38.85,52.93,47.34,54.45,49.73,44.97,32.46,39.27,28.12,24.32,29.60,15.01,13.88,13.01
P/OCF Ratio,13.91,16.25,17.34,14.41,12.01,15.04,18.11,17.27,12.28,8.71,11.06,11.95,14.92,15.37,19.40,20.94,24.06,25.81,19.98,22.81,15.47,18.74,18.97,18.28,22.47,16.59,31.29,36.81,50.13,44.87,50.85,46.40,41.03,29.74,34.22,24.75,22.04,25.93,13.95,12.88,12.08
Debt / Equity Ratio,0.64,0.63,0.65,0.55,0.54,0.62,0.59,0.54,0.98,0.84,0.94,0.88,0.86,0.85,0.80,0.68,0.82,0.80,0.77,0.77,0.79,0.84,1.06,1.08,0.99,1.50,-2.07,-2.44,-2.72,-3.16,-27.03,-56.30,-19.28,-31.98,-8.59,-5.55,-10.66,-11.47,-21.58,-12.83,-12.83
Quick Ratio,2.24,2.14,2.20,1.97,2.06,1.77,1.56,1.63,2.30,2.15,2.19,2.23,2.30,2.43,2.57,1.83,2.43,2.40,2.49,2.49,2.87,2.87,3.86,3.34,0.58,3.07,0.69,1.23,1.75,2.25,0.88,0.94,0.87,1.03,1.04,0.95,1.39,1.51,1.90,1.76,1.76
