,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,-,1.42,7.34,10.67,15.74,18.19,11.28,5.29,27.48,40.7,55.47,63.06,51.76,54.9,62.05,67.66
Revenue Growth (YoY),-,-,-,-,-,1183.84%,53.76%,-50.45%,74.61%,123.74%,391.79%,1092.68%,88.38%,34.87%,11.85%,7.30%
Cost of Revenue,-,5.12,9.52,12.56,19.79,16.78,8.82,17.74,20.79,36.97,50.52,54.59,49.93,48.54,47.45,52.69
Gross Profit,-,-3.7,-2.18,-1.89,-4.05,1.41,2.46,-12.45,6.69,3.74,4.96,8.47,1.83,6.36,14.59,14.97
"Selling, General & Admin",-,5.51,5.81,6.06,6.62,6.62,7.07,25.66,19.05,23.08,18.95,22.96,24.04,28.47,28.72,27.2
Research & Development,-,2.95,3.16,4.9,8.13,7.08,8.53,14.19,11.97,13.48,19.17,17.51,15.02,23.91,31.04,26.63
Operating Expenses,-,8.46,8.97,10.96,14.75,13.7,15.6,39.84,31.02,36.56,38.12,40.47,39.05,52.37,59.75,53.83
Operating Income,-,-12.15,-11.15,-12.85,-18.8,-12.29,-13.13,-52.3,-24.33,-32.82,-33.16,-32,-37.22,-46.02,-45.16,-38.86
Interest Expense / Income,-,-0.24,-0,0.03,-0.01,0.13,0.28,2.98,2.75,2.99,2.43,1.49,0.89,0.69,0.75,1.41
Other Expense / Income,-,2.05,-2.41,0.73,-0.56,3.2,2.82,34.38,-23.74,-13.49,3.9,-0.57,0.1,-1.61,-0.78,-1.06
Pretax Income,-,-13.96,-8.74,-13.61,-18.23,-15.62,-16.23,-89.65,-3.35,-22.32,-39.49,-32.92,-38.22,-45.09,-45.13,-39.22
Income Tax,-,0.29,0.46,-1,0.72,0.26,0.44,-1.68,-6.54,4.39,-2.07,1.69,-1.01,0.53,0.76,1.35
Net Income,-,-14.25,-9.21,-12.61,-18.95,-15.88,-16.67,-87.97,3.2,-26.71,-37.42,-34.61,-37.21,-45.62,-45.89,-40.57
Shares Outstanding (Basic),8,8,8,76,77,79,79,228,210,456,465,470,474,476,480,484
Shares Outstanding (Diluted),-,8,8,76,77,79,79,228,210,456,465,470,474,476,480,484
Shares Change,-,-,-,-,865.39%,875.57%,853.87%,200.14%,171.20%,479.12%,488.54%,105.80%,125.70%,4.32%,3.23%,3.04%
EPS (Basic),-,-1.76,-1.11,-0.17,-0.25,-0.20,-0.21,-0.39,0.37,-0.06,-0.08,-0.07,-0.08,-0.10,-0.10,-0.08
EPS (Diluted),-,-1.76,-1.11,-0.17,-0.25,-0.20,-0.21,-0.39,0.37,-0.06,-0.08,-0.07,-0.08,-0.10,-0.10,-0.08
Free Cash Flow,-,-14.11,-13.61,-11.48,-13.69,-19.53,-22.76,-19.04,-36.17,-32.58,-51.08,-31.35,-33.94,-38.06,-16.64,-46.25
Free Cash Flow Per Share,-,-1.75,-1.64,-0.15,-0.18,-0.25,-0.29,-0.08,-0.17,-0.07,-0.11,-0.07,-0.07,-0.08,-0.04,-0.10
Gross Margin,-,-260.97%,-29.73%,-17.67%,-25.76%,7.76%,21.84%,-235.50%,24.33%,9.18%,8.94%,13.43%,3.54%,11.58%,23.52%,22.12%
Operating Margin,-,-857.73%,-152.00%,-120.38%,-119.48%,-67.56%,-116.44%,-989.12%,-88.55%,-80.63%,-59.77%,-50.75%,-71.91%,-83.83%,-72.78%,-57.43%
Profit Margin,-,-1005.43%,-125.49%,-118.13%,-120.40%,-87.30%,-147.74%,-1663.87%,11.63%,-65.62%,-67.45%,-54.89%,-71.88%,-83.10%,-73.96%,-59.96%
Free Cash Flow Margin,-,-995.48%,-185.52%,-107.55%,-86.97%,-107.33%,-201.74%,-360.19%,-131.62%,-80.05%,-92.09%,-49.71%,-65.57%,-69.33%,-26.81%,-68.35%
EBITDA,-,-12.46,-5.29,-11.16,-14.98,-12.59,-13.01,-83.63,3.38,-12.51,-28.61,-22.79,-28.08,-36.39,-36.59,-27.98
EBITDA Margin,-,-879.53%,-72.10%,-104.55%,-95.21%,-69.20%,-115.32%,-1581.82%,12.29%,-30.74%,-51.58%,-36.15%,-54.25%,-66.28%,-58.98%,-41.35%
Depreciation & Amortization,-,1.74,3.46,2.42,3.26,2.9,2.94,3.05,3.97,6.82,8.44,8.64,9.24,8.02,7.79,9.83
EBIT,-,-14.2,-8.75,-13.58,-18.24,-15.49,-15.95,-86.68,-0.59,-19.33,-37.06,-31.43,-37.33,-44.41,-44.38,-37.8
EBIT Margin,-,-1002.19%,-119.22%,-127.24%,-115.91%,-85.15%,-141.40%,-1639.42%,-2.16%,-47.50%,-66.80%,-49.85%,-72.11%,-80.89%,-71.53%,-55.87%
