,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,380,384,474,"4,887","7,238","5,516","3,741","1,758","1,909","1,784","1,930","2,872","2,117","2,376"
Market Cap Growth,-,-,-,-,-,-,-,1803.53%,1335.85%,690.00%,-64.03%,-73.63%,-67.66%,-48.42%,63.38%,10.90%,-
Enterprise Value,-69,-,-,379,358,465,"4,902","6,570","4,953","3,283","1,359","1,553","1,462","1,681","2,690","1,987","2,246"
PE Ratio,-,-,-,-,-6.98,-8.36,-76.24,-51.90,-47.02,-29.20,-11.80,-19.98,-13.12,-12.46,-17.58,-12.51,-12.51
PS Ratio,-,-,-,-,10.93,9.12,87.45,143.34,88.63,44.15,13.63,10.22,8.46,8.57,12.39,8.96,10.05
PB Ratio,-,-,-,76.05,-2.31,-2.63,-25.06,10.74,7.90,5.11,2.46,2.76,2.65,3.02,4.70,3.61,4.06
P/FCF Ratio,-,-,-,-33.13,-7.27,-8.12,-72.46,-96.50,-56.58,-33.85,-12.66,-12.63,-11.98,-12.50,-23.94,-15.69,-15.69
P/OCF Ratio,-,-,-,-40.81,-13.84,-13.33,-93.54,-128.75,-76.84,-45.27,-17.61,-17.43,-16.75,-18.28,-39.13,-28.00,-28.00
Debt / Equity Ratio,-0.24,-,-,-,-0.16,-0.15,-0.64,0.19,0.18,0.20,0.21,0.22,0.23,0.24,0.27,0.28,0.28
Quick Ratio,3.10,-,-,-,1.17,0.95,2.53,10.52,7.33,3.70,4.07,3.49,3.14,2.29,1.21,1.04,1.04
Current Ratio,3.90,-,-,-,1.92,1.84,3.23,11.14,8.05,4.30,4.90,4.34,4.07,3.22,1.83,1.67,1.67
Interest Coverage,-,-,-,-468.14,-,-121.98,-58.00,-29.12,-0.22,-6.47,-15.24,-21.15,-41.85,-64.83,-59.57,-26.75,-43.89
Return on Capital (ROIC),,-,-,-,-256.90%,39.42%,35.85%,81.20%,-12.07%,-12.34%,-13.91%,-16.56%,-14.56%,-16.37%,-18.71%,-20.72%,-22.36%
Buyback Yield / Dilution,-,-,-,-,-865.39%,-875.57%,-853.87%,-200.14%,-171.20%,-479.12%,-488.54%,-105.80%,-125.70%,-4.32%,-3.23%,-3.04%,-3.04%
Total Shareholder Return,-,-,-,-,-865.39%,-875.57%,-853.87%,-200.14%,-171.20%,-479.12%,-488.54%,-105.80%,-125.70%,-4.32%,-3.23%,-3.04%,-3.04%
