,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-14.25,-9.21,-12.61,-18.95,-15.88,-16.67,-87.97,3.2,-26.71,-37.42,-34.61,-37.21,-45.62,-45.89,-40.57
Depreciation & Amortization,1.74,3.46,2.42,3.26,2.9,2.94,3.05,3.97,6.82,8.44,8.64,9.24,8.02,7.79,9.83
Share-Based Compensation,0.84,1.09,1.19,1.1,1.09,1.29,21.79,8.38,11.96,16.87,14.49,12.34,14.04,15.26,14.1
Other Operating Activities,3.97,0.27,-0.32,8.24,-3.59,-8.67,49.84,-37.47,-18.41,-26.15,-11.51,-3.32,-1.83,16.77,-8.56
Operating Cash Flow,-7.71,-4.39,-9.32,-6.34,-15.48,-21.1,-13.3,-21.91,-26.34,-38.26,-23,-18.95,-25.39,-6.06,-25.2
Capital Expenditures,-6.4,-9.22,-2.16,-7.34,-4.05,-1.65,-5.75,-14.25,-6.24,-12.83,-8.35,-14.99,-12.67,-10.57,-21.05
Acquisitions,0,-12.21,0,0,0,0,0,-66.44,-65.59,0.52,-0.75,0,0,-16.12,-0.82
Change in Investments,0,0,0,0,0,0,0,0,0,0,-179.61,-58.23,1.71,20.47,-10.1
Investing Cash Flow,-6.4,-21.43,-2.16,-7.34,-4.05,-1.65,-5.75,-80.69,-71.83,-12.31,-188.71,-73.22,-10.97,-6.22,-31.96
Share Issuance / Repurchase,0.01,0.02,0.35,0.61,0.55,0.22,702.11,-1.84,23.25,5.99,6.78,3.41,5.05,7.08,6.33
Debt Issued / Paid,0,0,0,0,0,98.9,0,0,-0.05,-0.07,-0.08,-0.08,-0.08,-0.08,-0.09
Other Financing Activities,-,20.5,-,-,-0.14,-2.16,2.3,-,-8.76,-20.93,-4.57,-2.86,-2.92,-5.05,-5.38
Financing Cash Flow,0.01,20.52,0.35,0.61,0.41,96.96,704.41,-1.84,14.44,-15.01,2.14,0.47,2.06,1.95,0.86
Exchange Rate Effect,-0.51,0.39,-0.57,0.53,0.52,-0.5,-0.62,2.73,-0.57,4.43,-0.77,1.28,0.13,-0.61,0.04
Net Cash Flow,-14.61,-4.91,-11.7,-12.55,-18.59,73.7,684.75,-101.71,-84.3,-61.15,-210.34,-90.42,-34.17,-10.95,-56.26
Free Cash Flow,-14.11,-13.61,-11.48,-13.69,-19.53,-22.76,-19.04,-36.17,-32.58,-51.08,-31.35,-33.94,-38.06,-16.64,-46.25
Free Cash Flow Margin,-995.48%,-185.52%,-107.55%,-86.97%,-107.33%,-201.74%,-360.19%,-131.62%,-80.05%,-92.09%,-49.71%,-65.57%,-69.33%,-26.81%,-68.35%
Free Cash Flow Per Share,-1.75,-1.64,-0.15,-0.18,-0.25,-0.29,-0.08,-0.17,-0.07,-0.11,-0.07,-0.07,-0.08,-0.04,-0.10
