,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,-,-,926,"1,361","2,489","5,730","5,249","22,433","27,757","15,055","9,169"
Market Cap Growth,-,-,-,47.03%,82.83%,130.22%,-8.40%,327.37%,23.74%,-45.76%,-
Enterprise Value,-54,-39,693,"1,143","2,213","5,443","5,273","21,874","29,156","16,268","10,581"
PE Ratio,-,-,-17.13,-45.53,30.43,73.95,54.74,64.23,56.25,-21.68,31.00
PS Ratio,-,-,3.39,3.73,5.64,9.49,6.41,13.00,11.92,5.87,3.38
PB Ratio,-,-,2.80,3.95,6.27,14.29,12.91,30.22,44.16,-27.51,-12.76
P/FCF Ratio,-,-,75.16,6361.68,44.49,32.13,27.39,33.39,44.53,23.06,13.57
P/OCF Ratio,-,-,27.93,28.38,36.02,28.81,25.37,33.04,42.60,22.02,13.06
EV/Sales Ratio,-0.43,-0.20,2.53,3.13,5.02,9.02,6.44,12.68,12.52,6.34,3.90
EV/EBITDA Ratio,-4.24,-5.16,-87.49,42.58,31.35,52.34,34.47,46.95,52.46,-29.52,25.39
EV/EBIT Ratio,-150.14,4.03,-26.17,264.20,51.00,70.46,50.24,53.65,60.55,-25.11,32.49
EV/FCF Ratio,101.98,-15.57,56.23,5343.26,39.56,30.52,27.52,32.56,46.77,24.92,15.66
Debt / Equity Ratio,0.20,0.82,0.20,0.20,0.18,0.85,2.08,1.50,3.80,-4.37,-3.84
Debt / EBITDA Ratio,0.06,7.31,-8.21,2.59,0.99,3.29,5.54,2.39,4.30,-4.34,5.73
Debt / FCF Ratio,-1.54,22.06,5.27,324.70,1.25,1.92,4.42,1.66,3.83,3.66,3.54
Quick Ratio,3.71,2.90,4.22,4.09,4.14,5.92,4.71,4.06,2.01,2.28,2.22
Current Ratio,4.00,3.07,4.48,4.42,4.29,6.07,4.89,4.17,2.18,2.40,2.45
Asset Turnover,-,1.11,0.56,0.65,0.78,0.68,0.53,0.87,0.71,0.83,1.07
Interest Coverage,1.19,-16.39,-17.34,0.60,3.90,3.48,4.32,9.70,48.71,-45.72,22.99
Return on Equity (ROE),-,-42.90%,-20.90%,-8.80%,24.30%,19.50%,23.80%,59.70%,83.10%,-2653.90%,-61.40%
Return on Assets (ROA),-,-8.70%,-11.10%,-5.30%,14.40%,8.70%,6.30%,17.70%,15.00%,-22.30%,13.20%
Return on Capital (ROIC),-208.67%,-5.11%,-0.48%,4.24%,6.46%,14.15%,8.42%,21.79%,16.15%,-35.74%,18.42%
Earnings Yield,-,-,-5.84%,-2.20%,3.29%,1.35%,1.83%,1.56%,1.78%,-4.61%,3.64%
FCF Yield,-,-,1.33%,0.02%,2.25%,3.11%,3.65%,2.99%,2.25%,4.34%,7.37%
Buyback Yield / Dilution,-7.88%,-23.20%,-126.41%,-24.63%,-7.67%,-3.94%,1.07%,-8.51%,-7.53%,13.57%,-9.93%
Total Shareholder Return,-7.88%,-23.20%,-126.41%,-24.63%,-7.67%,-3.94%,1.07%,-8.51%,-7.53%,13.57%,-9.93%
