,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,Upgrade,-0.8,-15.24,-54.06,-29.9,81.8,77.49,95.89,349.25,493.51,-694.29
Depreciation & Amortization,Upgrade,12.38,17.22,18.55,22.53,27.2,26.74,48.03,58.19,74.27,96.7
Share-Based Compensation,Upgrade,3.81,5.17,10.84,15.9,26.56,38.23,44.4,65.11,139.91,230.89
Other Operating Activities,Upgrade,1.15,4.93,57.83,39.44,-66.46,56.46,18.6,206.41,-56.13,"1,050"
Operating Cash Flow,Upgrade,16.54,12.09,33.16,47.96,69.1,198.93,206.92,678.96,651.55,683.61
Operating Cash Flow Growth,Upgrade,70.82%,-26.93%,174.30%,44.67%,44.07%,187.88%,4.02%,228.12%,-4.04%,4.92%
Capital Expenditures,Upgrade,-17.07,-9.58,-20.84,-47.75,-13.16,-20.56,-15.28,-7.11,-28.17,-30.74
Acquisitions,Upgrade,-0.68,-4.69,0,-7.88,0,-35.49,-272.37,-0.88,"-1,701.91",-6.46
Change in Investments,Upgrade,2.72,-1.11,-2.45,-79.8,74.99,-229.34,-200.72,-3.39,172.11,7.18
Other Investing Activities,Upgrade,-,-5.34,-,-,-,-,-,-,-,-
Investing Cash Flow,Upgrade,-15.03,-20.72,-23.28,-135.43,61.84,-285.39,-488.37,-11.38,"-1,557.97",-30.02
Share Issuance / Repurchase,Upgrade,1.14,42.96,203.09,10.57,23.54,-116.39,-167.19,-243.33,-280.07,-410.7
Debt Issued / Paid,Upgrade,-1.27,-1.48,-3.38,-6.09,-13.68,318.82,627.26,493.09,933.94,-6.38
Other Financing Activities,Upgrade,0.02,3.76,-4.05,-5.01,-3.3,-58.42,-100.46,-130.47,-201.12,-89.41
Financing Cash Flow,Upgrade,-0.1,45.24,195.66,-0.52,6.56,144.01,359.61,119.28,452.75,-506.48
Exchange Rate Effect,Upgrade,0.45,-3.74,-3.95,-1.66,-3.64,-6,-1.85,13.95,-10.23,-6.02
Net Cash Flow,Upgrade,1.86,32.86,201.59,-89.65,133.85,51.54,76.31,800.81,-463.9,141.08
Free Cash Flow,Upgrade,-0.53,2.5,12.32,0.21,55.95,178.37,191.64,671.85,623.38,652.87
Free Cash Flow Growth,Upgrade,-,-,392.21%,-98.26%,26042.52%,218.83%,7.44%,250.57%,-7.21%,4.73%
Free Cash Flow Margin,Upgrade,-0.42%,1.28%,4.50%,0.06%,12.68%,29.55%,23.42%,38.93%,26.76%,25.44%
Free Cash Flow Per Share,Upgrade,-0.02,0.06,0.14,0.00,0.47,1.49,1.60,5.54,4.90,5.15
