,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,Upgrade,125.02,195.59,273.5,364.97,441.23,603.69,818.38,"1,726","2,329","2,566"
Revenue Growth (YoY),Upgrade,67.59%,56.45%,39.83%,33.44%,20.90%,36.82%,35.56%,110.86%,34.97%,10.18%
Cost of Revenue,Upgrade,47.78,73.63,96.98,123.33,150.99,190.76,271.04,464.75,654.51,744.59
Gross Profit,Upgrade,77.24,121.96,176.52,241.64,290.25,412.93,547.34,"1,261","1,675","1,822"
"Selling, General & Admin",Upgrade,48.96,91.58,135.71,168.43,200.57,240.9,336.7,656.79,937.34,"1,023"
Research & Development,Upgrade,27.55,36.63,42.69,55.08,74.62,97.25,121.88,180.08,271.54,412.4
Other Operating Expenses,Upgrade,0,0,0,0.55,3.16,0,0,0,0,"1,045"
Operating Expenses,Upgrade,76.51,128.21,178.4,224.06,278.35,338.15,458.58,836.87,"1,209","2,480"
Operating Income,Upgrade,0.73,-6.25,-1.88,17.58,11.9,74.79,88.76,424.01,465.73,-658.56
Interest Expense / Income,Upgrade,0.3,0.59,1.53,7.2,11.13,22.18,24.32,42.03,9.89,14.17
Other Expense / Income,Upgrade,0.37,3.42,24.58,13.25,-31.5,-2.47,-16.21,16.28,-15.81,-10.75
Pretax Income,Upgrade,0.06,-10.26,-27.99,-2.88,32.27,55.08,80.65,365.71,471.65,-661.98
Income Tax,Upgrade,0.85,4.98,26.07,27.03,-49.54,-22.41,-15.25,16.46,-21.85,32.31
Net Income,Upgrade,-0.8,-15.24,-54.06,-29.9,81.8,77.49,95.89,349.25,493.51,-694.29
Net Income Growth,Upgrade,-,-,-,-,-,-5.27%,23.75%,264.20%,41.31%,-
Shares Outstanding (Basic),Upgrade,33,40,91,114,119,120,120,121,127,127
Shares Outstanding (Diluted),Upgrade,33,40,91,114,122,127,126,136,147,127
Shares Change,Upgrade,7.88%,23.20%,126.41%,24.63%,7.67%,3.94%,-1.07%,8.51%,7.53%,-13.57%
EPS (Basic),Upgrade,-0.02,-0.38,-0.59,-0.26,0.69,0.64,0.80,2.88,3.88,-5.48
EPS (Diluted),Upgrade,-0.02,-0.38,-0.59,-0.26,0.68,0.61,0.76,2.69,3.40,-5.48
EPS Growth,Upgrade,-,-,-,-,-,-10.29%,24.59%,253.95%,26.39%,-
Free Cash Flow,Upgrade,-0.53,2.5,12.32,0.21,55.95,178.37,191.64,671.85,623.38,652.87
Free Cash Flow Per Share,Upgrade,-0.02,0.06,0.14,0.00,0.47,1.49,1.60,5.54,4.90,5.15
Gross Margin,Upgrade,61.78%,62.35%,64.54%,66.21%,65.78%,68.40%,66.88%,73.07%,71.90%,70.98%
Operating Margin,Upgrade,0.59%,-3.20%,-0.69%,4.82%,2.70%,12.39%,10.85%,24.57%,20.00%,-25.66%
Profit Margin,Upgrade,-0.64%,-7.79%,-19.77%,-8.19%,18.54%,12.84%,11.72%,20.24%,21.19%,-27.06%
Free Cash Flow Margin,Upgrade,-0.42%,1.28%,4.50%,0.06%,12.68%,29.55%,23.42%,38.93%,26.76%,25.44%
Effective Tax Rate,Upgrade,1472.41%,-,-,-,-153.53%,-40.69%,-18.91%,4.50%,-4.63%,-
EBITDA,Upgrade,12.74,7.55,-7.92,26.85,70.59,104,153,465.92,555.81,-551.11
EBITDA Margin,Upgrade,10.19%,3.86%,-2.90%,7.36%,16.00%,17.23%,18.70%,27.00%,23.86%,-21.48%
Depreciation & Amortization,Upgrade,12.38,17.22,18.55,22.53,27.2,26.74,48.03,58.19,74.27,96.7
EBIT,Upgrade,0.36,-9.67,-26.47,4.33,43.4,77.26,104.97,407.73,481.54,-647.81
EBIT Margin,Upgrade,0.29%,-4.94%,-9.68%,1.19%,9.83%,12.80%,12.83%,23.63%,20.67%,-25.24%
