,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,924","6,937","10,042","15,952","16,316","54,868","64,483","39,223","26,856","33,069","34,942"
Market Cap Growth,34.67%,40.89%,44.76%,58.85%,2.28%,236.27%,17.52%,-39.17%,-31.53%,23.13%,-
Enterprise Value,"6,176","8,619","13,891","19,911","20,936","62,779","72,190","49,221","39,064","48,275","50,147"
PE Ratio,20.07,24.95,36.97,34.06,36.09,127.42,110.32,40.63,240.88,33.53,35.59
PS Ratio,1.93,2.50,3.47,4.01,4.85,11.17,8.69,4.60,2.99,3.43,3.62
PB Ratio,4.94,9.15,3.66,4.20,4.09,1.97,2.36,1.53,1.20,1.44,1.52
P/FCF Ratio,43.69,19.94,20.03,48.27,18.28,50.64,34.34,17.15,16.49,20.79,21.97
P/OCF Ratio,25.37,16.14,16.94,31.13,14.75,39.44,27.86,14.10,11.97,14.71,15.54
EV/Sales Ratio,2.42,3.11,4.79,5.01,6.22,12.78,9.72,5.77,4.35,5.00,5.19
EV/EBITDA Ratio,11.96,15.17,23.17,20.05,16.78,36.32,26.56,15.06,15.82,13.06,13.56
EV/EBIT Ratio,15.65,20.02,33.74,36.74,28.87,78.70,71.81,33.53,53.69,26.02,27.03
EV/FCF Ratio,54.80,24.77,27.71,60.25,23.45,57.95,38.44,21.52,23.99,30.35,31.53
Debt / Equity Ratio,1.84,3.08,1.78,1.40,1.46,0.34,0.35,0.47,0.64,0.75,0.75
Debt / EBITDA Ratio,3.55,4.11,8.16,5.33,4.67,5.55,3.55,3.67,5.75,4.68,4.68
Debt / FCF Ratio,16.27,6.70,9.76,16.02,6.53,8.85,5.14,5.24,8.72,10.87,10.87
Quick Ratio,0.66,0.28,0.55,0.43,0.48,0.72,0.60,0.66,0.43,0.39,0.39
Current Ratio,1.36,1.09,1.17,1.13,1.03,1.22,1.01,1.06,0.92,0.99,0.99
Asset Turnover,0.68,0.59,0.36,0.35,0.26,0.17,0.17,0.19,0.20,0.20,0.20
Interest Coverage,9.43,9.69,5.94,3.10,3.71,2.62,2.93,4.40,1.62,2.81,2.81
Return on Equity (ROE),22.90%,32.50%,15.50%,14.50%,11.50%,2.70%,2.10%,3.70%,0.50%,4.40%,4.40%
Return on Assets (ROA),6.60%,6.00%,3.30%,4.10%,3.50%,1.40%,1.30%,2.10%,0.30%,2.00%,2.00%
Return on Capital (ROIC),9.96%,10.64%,4.41%,7.85%,6.41%,1.85%,2.14%,3.08%,0.70%,3.51%,3.51%
Earnings Yield,4.98%,4.01%,2.71%,2.94%,2.77%,0.78%,0.91%,2.46%,0.42%,2.98%,2.82%
FCF Yield,2.29%,5.02%,4.99%,2.07%,5.47%,1.97%,2.91%,5.83%,6.06%,4.81%,4.55%
Dividend Yield,0.10%,0.10%,0.10%,0.00%,0.00%,0.10%,0.40%,0.70%,1.00%,0.80%,0.75%
Payout Ratio,2.40%,1.90%,2.00%,1.40%,1.40%,10.40%,40.00%,27.00%,243.90%,26.50%,26.53%
Buyback Yield / Dilution,5.79%,7.46%,2.75%,-23.12%,0.58%,-89.96%,0.40%,3.07%,6.81%,3.70%,3.70%
Total Shareholder Return,5.89%,7.56%,2.85%,-23.12%,0.58%,-89.86%,0.80%,3.77%,7.81%,4.50%,4.45%
