,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,295,246,454,"1,094","1,427","1,888","3,241","2,460","1,189","2,616","2,678"
Market Cap Growth,-27.89%,-16.61%,84.89%,140.70%,30.41%,32.37%,71.61%,-24.10%,-51.66%,120.02%,-
Enterprise Value,912,662,817,"1,257","1,538","2,058","3,208","2,450","1,410","2,813","2,874"
PE Ratio,-3.78,12.42,-7.51,-25.62,-407.60,151.07,40.71,-1229.94,-32.22,-293.95,-293.95
PS Ratio,0.39,0.37,0.84,1.81,2.31,2.63,4.33,3.03,1.32,2.52,2.58
PB Ratio,1.31,0.97,1.64,2.14,2.75,3.29,3.50,2.60,1.27,2.68,2.74
P/FCF Ratio,-58.95,-6.43,-20.56,-20.33,-116.93,510.38,302.87,-156.68,-16.72,204.39,209.22
P/OCF Ratio,44.66,-9.14,-34.69,-39.49,137.17,62.95,69.54,79.87,-46.27,40.13,41.07
EV/Sales Ratio,1.20,1.01,1.51,2.08,2.49,2.87,4.29,3.02,1.57,2.71,2.77
EV/EBITDA Ratio,-364.94,9.47,326.75,-598.34,38.64,27.82,51.00,40.83,61.02,43.14,44.09
EV/EBIT Ratio,-26.14,14.90,-40.84,-51.71,70.22,52.92,111.00,96.84,-79.19,137.20,140.22
EV/FCF Ratio,-182.47,-17.32,-36.96,-23.36,-126.05,556.33,299.79,-156.05,-19.82,219.73,224.57
Debt / Equity Ratio,2.93,1.75,1.56,0.57,0.57,0.60,0.38,0.36,0.32,0.28,0.28
Debt / EBITDA Ratio,-262.60,6.37,172.80,-139.76,7.39,4.63,5.54,5.66,13.06,4.13,4.13
Debt / FCF Ratio,-131.30,-11.65,-19.55,-5.46,-24.11,92.59,32.57,-21.62,-4.24,21.03,21.03
Quick Ratio,1.13,1.37,1.52,1.82,2.55,2.39,3.31,2.87,1.75,1.37,1.37
Current Ratio,1.65,1.86,1.90,2.50,3.00,2.86,3.87,3.43,2.49,2.03,2.03
Asset Turnover,0.66,0.65,0.61,0.59,0.61,0.61,0.53,0.52,0.57,0.65,0.65
Interest Coverage,-0.89,1.23,-0.58,-0.85,1.05,1.80,1.27,1.08,-1.01,1.00,1.00
Return on Equity (ROE),-32.00%,8.60%,-25.70%,-9.80%,-0.70%,2.20%,10.10%,-0.20%,-3.90%,-0.90%,-0.90%
Return on Assets (ROA),-6.70%,2.00%,-6.80%,-4.20%,-0.30%,1.10%,5.60%,-0.10%,-2.40%,-0.60%,-0.60%
Return on Capital (ROIC),0.60%,-1.52%,-2.54%,-1.49%,-11.93%,3.00%,30.02%,-2.29%,-0.21%,2.50%,2.50%
Earnings Yield,-26.46%,8.06%,-13.31%,-3.90%,-0.25%,0.66%,2.46%,-0.08%,-3.10%,-0.34%,-0.33%
FCF Yield,-1.70%,-15.54%,-4.86%,-4.92%,-0.86%,0.20%,0.33%,-0.64%,-5.98%,0.49%,0.48%
Buyback Yield / Dilution,-1.41%,-1.91%,-4.43%,-46.00%,-18.55%,-2.92%,-8.70%,-7.83%,1.02%,-2.92%,-2.92%
Total Shareholder Return,-1.41%,-1.91%,-4.43%,-46.00%,-18.55%,-2.92%,-8.70%,-7.83%,1.02%,-2.92%,-2.92%
