,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,Current
Market Capitalization,"12,574","12,556","13,740","14,101","15,042","15,050","16,558","14,935","15,980","16,245","16,861","18,499","17,282","20,274","21,528","23,121","26,022","23,610","20,494","22,407","17,950","20,610","21,913","21,713","25,219","14,888","21,003","25,538","28,609","32,285","33,583","28,497","30,751","23,016","16,197","11,117","11,113","12,331","14,351","12,807","13,545"
Market Cap Growth,3.38%,-3.23%,9.78%,-2.76%,19.62%,19.86%,20.51%,5.91%,6.24%,7.94%,1.83%,23.87%,8.15%,24.80%,27.68%,24.98%,50.57%,16.45%,-4.80%,-3.09%,-31.02%,-12.70%,6.93%,-3.10%,40.49%,-27.76%,-4.15%,17.62%,13.45%,116.85%,59.90%,11.59%,7.49%,-28.71%,-51.77%,-60.99%,-63.86%,-46.43%,-11.40%,15.20%,-
Enterprise Value,"16,280","16,638","17,557","17,903","18,392","19,076","20,430","18,946","19,315","20,199","20,465","21,996","19,978","24,879","25,398","27,042","29,196","27,409","25,020","27,256","21,860","26,022","26,976","26,768","28,438","20,241","25,508","29,520","31,614","35,582","37,391","32,604","37,205","33,294","27,101","18,629","18,175","19,874","21,845","20,060","20,798"
PE Ratio,25.65,21.99,22.88,21.01,19.77,19.77,21.45,19.55,18.08,17.84,17.65,18.97,17.85,17.29,18.27,19.20,21.20,23.51,20.09,22.55,29.75,34.20,32.93,33.50,26.39,16.20,26.37,26.84,23.19,20.32,18.51,15.46,18.20,16.71,16.11,7.74,10.46,17.63,18.19,-250.63,-250.63
PS Ratio,1.16,1.14,1.25,1.26,1.33,1.33,1.46,1.32,1.43,1.45,1.50,1.63,1.49,1.72,1.77,1.83,2.01,1.77,1.50,1.62,1.28,1.46,1.54,1.51,1.95,1.17,1.74,2.07,2.24,2.42,2.40,2.05,2.01,1.44,0.98,0.66,0.66,0.75,0.89,0.80,0.84
PB Ratio,1.85,1.82,1.95,2.03,2.34,2.68,2.86,2.65,2.75,2.87,2.91,3.07,2.71,2.98,2.80,2.89,3.13,2.80,2.50,2.77,2.29,2.60,2.66,2.63,2.76,1.66,2.11,2.46,2.59,2.83,3.03,2.52,2.65,2.46,1.78,1.17,1.14,1.30,1.51,1.37,1.45
P/FCF Ratio,23.65,23.00,16.80,14.16,14.74,15.25,19.30,17.79,17.76,16.45,14.49,15.90,20.61,31.93,88.05,220.84,115.09,181.75,111.74,95.19,23.35,29.29,21.46,20.98,23.33,13.37,21.57,17.11,17.09,16.84,16.82,22.63,213.55,-23.41,-8.48,-4.83,-5.58,-12.72,-78.21,18.31,19.37
P/OCF Ratio,14.49,14.54,12.31,11.14,11.61,12.04,14.71,13.39,13.52,12.63,11.47,12.51,14.58,21.02,34.73,47.30,38.93,37.29,30.16,29.67,14.24,17.48,14.79,14.64,16.75,9.72,15.45,13.85,14.15,14.23,14.08,16.63,46.38,-54.77,-12.38,-6.39,-7.61,-24.43,70.49,11.93,12.62
Debt / Equity Ratio,0.62,0.65,0.61,0.62,0.60,0.79,0.74,0.76,0.65,0.76,0.72,0.65,0.60,0.73,0.57,0.55,0.46,0.50,0.60,0.65,0.54,0.72,0.65,0.65,0.38,0.71,0.54,0.45,0.38,0.37,0.38,0.39,0.57,1.12,1.23,0.83,0.77,0.84,0.83,0.81,0.81
Quick Ratio,0.64,0.64,0.68,0.69,0.67,0.59,0.60,0.58,0.64,0.53,0.58,0.62,0.87,0.50,0.64,0.62,0.52,0.50,0.45,0.43,0.47,0.38,0.38,0.41,0.40,0.50,0.56,0.58,0.53,0.64,0.45,0.41,0.19,0.18,0.16,0.25,0.25,0.32,0.34,0.35,0.35
Current Ratio,1.24,1.24,1.30,1.31,1.39,1.25,1.28,1.25,1.31,1.09,1.16,1.23,1.71,1.04,1.25,1.26,1.04,1.06,0.94,0.92,1.14,0.91,0.95,0.98,1.01,1.06,1.26,1.37,1.32,1.43,1.21,1.23,0.97,0.89,0.85,1.16,1.21,1.30,1.28,1.30,1.30
Interest Coverage,2.07,5.76,7.71,7.78,5.16,5.90,7.62,7.73,7.83,6.39,8.59,7.53,6.78,10.23,7.40,7.20,6.89,4.99,5.27,5.22,3.31,3.62,6.63,5.00,4.02,3.45,3.11,9.98,11.02,13.69,12.33,10.07,5.39,4.62,1.32,9.76,0.15,-0.25,0.47,0.61,0.26
Return on Capital (ROIC),Upgrade,8.74%,9.00%,9.15%,9.83%,11.14%,11.33%,11.45%,11.35%,12.47%,12.13%,12.49%,12.74%,12.24%,12.78%,12.59%,12.55%,14.95%,12.18%,12.59%,12.24%,7.26%,6.67%,6.64%,6.52%,10.66%,8.62%,8.85%,10.15%,11.25%,12.87%,13.20%,12.53%,9.91%,7.69%,7.91%,7.55%,5.83%,4.25%,1.39%,1.28%
Dividend Yield,2.40%,2.50%,2.30%,2.20%,2.10%,2.20%,1.90%,2.20%,2.00%,2.00%,2.00%,1.80%,2.00%,1.70%,1.60%,1.60%,1.40%,1.60%,1.90%,1.70%,2.20%,1.90%,1.80%,1.90%,1.60%,2.80%,2.00%,1.70%,1.60%,1.40%,1.30%,1.70%,1.60%,2.20%,2.90%,4.20%,4.20%,4.00%,3.40%,3.80%,3.67%
Payout Ratio,138.90%,48.10%,36.20%,34.40%,55.90%,48.60%,34.00%,35.00%,30.40%,42.30%,29.40%,33.90%,33.10%,22.00%,31.20%,34.40%,33.70%,55.80%,32.10%,39.50%,-91.70%,57.40%,27.40%,44.50%,52.30%,77.50%,45.40%,28.30%,23.70%,23.00%,24.40%,30.40%,38.50%,69.90%,131.70%,13.70%,-242.40%,-63.50%,67.80%,2700.00%,-844.70%
Buyback Yield / Dilution,8.04%,0.03%,-0.83%,-1.04%,-0.92%,1.52%,4.39%,6.10%,4.42%,5.70%,3.54%,1.86%,-0.64%,-2.65%,-3.37%,-3.14%,-1.77%,-1.57%,-0.18%,1.33%,1.49%,2.60%,1.40%,-0.02%,-0.63%,-1.33%,-2.52%,-8.00%,-5.40%,-5.48%,-4.81%,-1.64%,-1.75%,-3.72%,4.84%,7.29%,9.26%,6.32%,-1.44%,-3.66%,-3.66%
Total Shareholder Return,10.44%,2.53%,1.47%,1.16%,1.18%,3.72%,6.29%,8.30%,6.42%,7.70%,5.54%,3.66%,1.36%,-0.95%,-1.77%,-1.54%,-0.37%,0.03%,1.72%,3.03%,3.69%,4.50%,3.20%,1.88%,0.97%,1.47%,-0.52%,-6.30%,-3.80%,-4.08%,-3.51%,0.06%,-0.15%,-1.52%,7.74%,11.49%,13.46%,10.32%,1.96%,0.14%,0.00%
