,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,"41,935","36,237","31,368","37,310","37,193","23,649","28,729","25,544","24,080","26,330","10,825","15,890","13,739","21,585","22,483","23,821","25,781","24,941","37,410","29,597","21,353","29,780","29,184","32,001","35,661","34,393","29,176"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-11.31%,-34.74%,-8.41%,-31.54%,-35.26%,11.34%,-62.32%,-37.79%,-42.95%,-18.02%,107.70%,49.92%,87.66%,15.55%,66.39%,24.24%,-17.18%,19.40%,-21.99%,8.12%,67.01%,15.49%,-
Enterprise Value,"-1,035",-,-704,-,-,"42,063","37,556","33,209","39,817","39,721","27,153","32,832","29,554","28,279","29,703","14,310","19,458","17,367","25,086","25,721","26,681","28,619","27,815","40,904","33,328","25,157","33,949","33,428","35,840","39,119","37,767","32,550"
PE Ratio,-,-,-,-,-,-312.95,-351.81,-950.55,-717.49,391.50,121.27,182.99,152.96,114.12,205.70,-1.07,-1.54,-1.30,-2.17,-136.26,-626.87,184.15,-113.89,122.66,-63.51,-43.49,-49.55,-297.79,27.80,21.15,17.70,15.26
PS Ratio,-,-,-,-,-,2.85,2.11,1.61,1.69,1.66,1.03,1.24,1.09,1.01,1.11,0.46,0.71,0.64,1.04,1.12,1.16,1.26,1.22,1.82,1.45,1.03,1.41,1.32,1.37,1.45,1.35,1.14
PB Ratio,-,-,-,-,-,2.80,2.54,2.20,2.70,2.71,1.35,1.64,1.47,1.10,1.20,0.94,1.41,1.19,1.67,1.72,1.72,1.82,1.68,2.38,1.99,1.51,2.07,1.98,2.12,2.34,2.24,1.90
P/FCF Ratio,-,-,-,-,-,-74.35,-28.05,-48.04,-65.57,-2324.53,19.30,49.45,26.66,24.77,22.90,6.29,11.12,10.41,41.75,26.08,20.10,17.93,13.61,30.41,29.84,19.34,26.68,20.58,16.90,17.24,16.81,14.26
P/OCF Ratio,-,-,-,-,-,-327.62,-45.35,-197.28,1622.16,81.03,13.42,22.37,14.70,12.96,12.38,3.88,6.55,6.02,16.55,14.95,13.38,13.04,10.51,21.16,18.70,12.10,15.77,12.82,11.37,11.78,11.23,9.53
Debt / Equity Ratio,0.03,-,0.02,-,-,0.33,0.58,0.52,0.53,0.53,0.41,0.41,0.41,0.32,0.30,0.57,0.68,0.66,0.59,0.58,0.49,0.48,0.45,0.43,0.45,0.47,0.46,0.45,0.44,0.44,0.39,0.39
Quick Ratio,0.65,-,0.72,-,-,1.14,1.41,1.38,1.26,1.25,1.07,1.04,1.01,0.96,0.97,0.90,0.92,0.91,0.95,0.97,0.95,0.99,1.04,0.98,0.91,0.89,0.76,0.75,0.75,0.77,0.75,0.75
Current Ratio,1.28,-,1.50,-,-,1.90,2.00,2.05,1.91,1.91,1.66,1.65,1.60,1.58,1.52,1.45,1.47,1.43,1.61,1.59,1.58,1.59,1.65,1.61,1.52,1.52,1.32,1.32,1.28,1.27,1.25,1.25
Interest Coverage,-,4.33,2.46,1.40,0.29,0.51,0.36,0.65,1.68,3.24,6.14,2.68,2.54,3.78,5.14,-172.25,-2.13,-1.48,18.70,-4.18,2.15,4.00,7.86,3.80,-9.95,3.09,6.30,12.80,11.52,16.37,12.36,13.17
Return on Capital (ROIC),,-,-,-,-,-,-0.97%,-0.49%,-1.89%,-1.79%,-0.74%,0.48%,0.88%,0.91%,1.03%,0.67%,-88.64%,-84.14%,-83.54%,-78.26%,0.78%,0.18%,0.48%,1.22%,0.95%,1.69%,1.51%,1.95%,2.95%,4.60%,6.97%,8.09%
Dividend Yield,-,-,-,-,-,48.30%,56.40%,64.90%,55.10%,2.10%,3.30%,2.60%,2.90%,3.10%,2.80%,6.90%,4.70%,5.40%,3.50%,3.30%,3.10%,2.90%,3.00%,2.00%,2.50%,3.40%,2.50%,2.60%,2.40%,2.20%,2.30%,2.88%
Payout Ratio,-,-,-,-,-,-5700.00%,257.10%,105.90%,-360.00%,600.00%,58.10%,300.00%,-900.00%,163.60%,225.00%,-1.10%,-60.00%,-72.00%,14.10%,-29.50%,-225.00%,1800.00%,48.60%,225.00%,-21.40%,-900.00%,100.00%,33.30%,46.30%,39.20%,45.50%,43.98%
Buyback Yield / Dilution,-,-,-,-,-,-,-0.01%,1.36%,1.36%,3.99%,3.96%,8.25%,8.19%,5.59%,6.60%,0.53%,0.45%,0.40%,-0.77%,-0.92%,-0.88%,-0.85%,-0.13%,1.24%,1.58%,2.28%,2.72%,1.58%,1.25%,0.89%,0.22%,0.22%
Total Shareholder Return,-,-,-,-,-,48.30%,56.39%,66.26%,56.46%,6.09%,7.26%,10.85%,11.09%,8.69%,9.40%,7.43%,5.15%,5.80%,2.73%,2.38%,2.22%,2.05%,2.87%,3.24%,4.08%,5.68%,5.22%,4.18%,3.65%,3.09%,2.52%,3.10%
