,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"3,024","3,329","3,064","3,015","5,301","5,799","5,399","5,548","5,665","6,265","5,615","5,994","5,882","6,348","5,425","4,736","5,049","5,495","4,782","5,142","5,093","5,485","4,835","5,047","5,369","5,905","5,716","6,315","6,641","6,835"
Revenue Growth (YoY),-,-,-,-,75.30%,74.20%,76.21%,84.01%,6.87%,8.04%,4.00%,8.04%,3.83%,1.32%,-3.38%,-20.99%,-14.16%,-13.44%,-11.85%,8.57%,0.87%,-0.18%,1.11%,-1.85%,5.42%,7.66%,18.22%,25.12%,23.69%,15.75%
Cost of Revenue,"2,294","2,710","2,378","2,476","4,349","4,940","4,558","4,612","4,692","5,029","4,639","4,932","4,781","5,054","4,670","4,058","4,292","4,486","3,924","4,166","4,083","4,280","3,865","4,077","4,245","4,568","4,567","5,004","5,298","5,388"
Gross Profit,730,619,686,539,952,859,841,936,973,"1,236",976,"1,062","1,101","1,294",755,678,757,"1,009",858,976,"1,010","1,205",970,970,"1,124","1,337","1,149","1,311","1,343","1,447"
"Selling, General & Admin",475,450,492,461,795,787,674,662,608,755,704,701,679,749,675,590,565,574,587,642,607,634,621,624,620,645,655,695,627,634
Other Operating Expenses,79,87,108,144,350,183,208,196,83,99,96,90,125,215,"16,139",140,241,253,107,140,25,-3,70,371,235,29,56,102,2,162
Operating Expenses,554,537,600,605,"1,145",970,882,858,691,854,800,791,804,964,"16,814",730,806,827,694,782,632,631,691,995,855,674,711,797,629,796
Operating Income,176,82,86,-66,-193,-111,-41,78,282,382,176,271,297,330,"-16,059",-52,-49,182,164,194,378,574,279,-25,269,663,438,514,714,651
Interest Expense / Income,21,28,20,14,41,56,46,63,55,59,59,56,59,63,59,69,66,69,74,65,67,94,64,60,65,64,64,58,49,45
Other Expense / Income,85,13,58,-70,-214,-131,-71,-28,104,20,18,129,74,6,"-5,896",95,49,"-1,108",473,54,110,-165,36,572,68,260,-381,-154,-88,95
Pretax Income,70,41,8,-10,-20,-36,-16,43,123,303,99,86,164,261,"-10,222",-216,-164,"1,221",-383,75,201,645,179,-657,136,339,755,610,753,511
Income Tax,70,41,8,-10,114,-67,-86,62,110,172,67,95,107,213,5,-21,6,569,69,143,193,352,107,182,153,157,179,200,235,71
Net Income,0,0,0,0,-134,31,70,-19,13,131,32,-9,57,48,"-10,227",-195,-170,652,-452,-68,8,293,72,-839,-17,182,576,410,518,440
Net Income Growth,-,-,-,-,-,-,-,-,-,322.58%,-54.29%,-,338.46%,-63.36%,-,-,-,1258.33%,-,-,-,-55.06%,-,-,-,-37.88%,700.00%,-,-,141.76%
Shares Outstanding (Basic),-,"1,145","1,145","1,145","1,145","1,145","1,130","1,130","1,099","1,100","1,036","1,037","1,038","1,027","1,031","1,032","1,034","1,035","1,040","1,042","1,043","1,037","1,027","1,025","1,019","1,008","1,011","1,012","1,010","1,006"
Shares Change,-,-,-,-,-,0.01%,-1.36%,-1.36%,-3.99%,-3.96%,-8.25%,-8.19%,-5.59%,-6.60%,-0.53%,-0.45%,-0.40%,0.77%,0.92%,0.88%,0.85%,0.13%,-1.24%,-1.58%,-2.28%,-2.72%,-1.58%,-1.25%,-0.89%,-0.22%
EPS (Basic),-,-,-,-,-0.31,0.07,0.17,-0.05,0.03,0.31,0.06,-0.02,0.11,0.08,-15.66,-0.30,-0.25,1.28,-0.61,-0.08,0.01,0.37,0.08,-0.84,-0.02,0.19,0.57,0.41,0.51,0.44
EPS (Diluted),-,-,-,-,-0.31,0.07,0.17,-0.05,0.03,0.30,0.06,-0.02,0.11,0.08,-15.66,-0.30,-0.25,1.28,-0.61,-0.08,0.01,0.37,0.08,-0.84,-0.02,0.19,0.57,0.40,0.51,0.43
EPS Growth,-,-,-,-,-,-,-,-,-,328.57%,-64.71%,-,266.67%,-73.33%,-,-,-,1500.00%,-,-,-,-71.09%,-,-,-,-48.65%,612.50%,-,-,126.32%
Free Cash Flow,-,362,-414,-106,-406,-366,225,-22,147,875,-419,355,161,"1,053",153,62,52,250,498,385,305,645,-105,147,417,657,197,623,592,634
Free Cash Flow Per Share,-,0.32,-0.36,-0.09,-0.35,-0.32,0.20,-0.02,0.13,0.80,-0.40,0.34,0.15,1.02,0.15,0.06,0.05,0.24,0.48,0.37,0.29,0.62,-0.10,0.14,0.41,0.65,0.20,0.61,0.59,0.63
Dividend Per Share,-,-,-,-,17.670,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.190,0.190,0.190,0.200,0.200
Dividend Growth,-,-,-,-,-,-,-,-,-98.98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.56%,5.56%,5.56%,11.11%,5.26%
Gross Margin,24.14%,18.59%,22.39%,17.88%,17.96%,14.81%,15.58%,16.87%,17.18%,19.73%,17.38%,17.72%,18.72%,20.38%,13.92%,14.32%,14.99%,18.36%,17.94%,18.98%,19.83%,21.97%,20.06%,19.22%,20.93%,22.64%,20.10%,20.76%,20.22%,21.17%
Operating Margin,5.82%,2.46%,2.81%,-2.19%,-3.64%,-1.91%,-0.76%,1.41%,4.98%,6.10%,3.13%,4.52%,5.05%,5.20%,-296.02%,-1.10%,-0.97%,3.31%,3.43%,3.77%,7.42%,10.46%,5.77%,-0.50%,5.01%,11.23%,7.66%,8.14%,10.75%,9.52%
Profit Margin,-,-,-,-,-2.53%,0.53%,1.30%,-0.34%,0.23%,2.09%,0.57%,-0.15%,0.97%,0.76%,-188.52%,-4.12%,-3.37%,11.87%,-9.45%,-1.32%,0.16%,5.34%,1.49%,-16.62%,-0.32%,3.08%,10.08%,6.49%,7.80%,6.44%
Free Cash Flow Margin,-,10.87%,-13.51%,-3.52%,-7.66%,-6.31%,4.17%,-0.40%,2.59%,13.97%,-7.46%,5.92%,2.74%,16.59%,2.82%,1.31%,1.03%,4.55%,10.41%,7.49%,5.99%,11.76%,-2.17%,2.91%,7.77%,11.13%,3.45%,9.87%,8.91%,9.28%
Effective Tax Rate,100.00%,100.00%,100.00%,-,-,-,-,144.19%,89.43%,56.77%,67.68%,110.47%,65.24%,81.61%,-,-,-,46.60%,-,190.67%,96.02%,54.57%,59.78%,-,112.50%,46.31%,23.71%,32.79%,31.21%,13.89%
EBITDA,-,180,160,162,447,407,418,498,531,715,508,501,579,677,"-9,808",192,218,"1,597",-17,418,530,"1,012",520,-323,456,658,"1,088",944,"1,070",830
EBITDA Margin,-,5.41%,5.22%,5.37%,8.43%,7.02%,7.74%,8.98%,9.37%,11.41%,9.05%,8.36%,9.84%,10.66%,-180.79%,4.05%,4.32%,29.06%,-0.36%,8.13%,10.41%,18.45%,10.75%,-6.40%,8.49%,11.14%,19.03%,14.95%,16.11%,12.14%
Depreciation & Amortization,-,111,132,158,426,387,388,392,353,353,350,359,356,353,355,339,316,307,292,278,262,273,277,274,255,255,269,276,268,274
EBIT,91,69,28,4,21,20,30,106,178,362,158,142,223,324,"-10,163",-147,-98,"1,290",-309,140,268,739,243,-597,201,403,819,668,802,556
EBIT Margin,3.01%,2.07%,0.91%,0.13%,0.40%,0.34%,0.56%,1.91%,3.14%,5.78%,2.81%,2.37%,3.79%,5.10%,-187.34%,-3.10%,-1.94%,23.48%,-6.46%,2.72%,5.26%,13.47%,5.03%,-11.83%,3.74%,6.82%,14.33%,10.58%,12.08%,8.13%
