,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,0,0,0,0,-134,31,70,-19,13,131,32,-9,57,48,"-10,227",-195,-170,652,-452,-68,8,293,72,-839,-17,182,576,410,518,440
Depreciation & Amortization,-,111,132,158,426,387,388,392,353,353,350,359,356,353,355,339,316,307,292,278,262,273,277,274,255,255,269,276,268,274
Share-Based Compensation,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,205,52,50,53,52,49,49,50,49
Other Operating Activities,-,346,-478,-201,-488,-632,-164,-234,-126,605,-566,243,-53,956,"10,350",86,73,-792,838,296,146,3,-329,836,306,409,-433,124,-26,169
Operating Cash Flow,-,457,-346,-43,-196,-214,294,139,240,"1,089",-184,593,360,"1,357",478,230,219,377,678,506,416,774,72,321,597,898,461,859,810,932
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,326.62%,50.00%,24.61%,-,-61.21%,-39.17%,-72.22%,41.84%,120.00%,89.95%,105.31%,-89.38%,-36.56%,43.51%,16.02%,540.28%,167.60%,35.68%,3.79%
Capital Expenditures,-,-95,-68,-63,-210,-152,-69,-161,-93,-214,-235,-238,-199,-304,-325,-168,-167,-127,-180,-121,-111,-129,-177,-174,-180,-241,-264,-236,-218,-298
Acquisitions,-,-15,0,0,"-3,365",10,0,0,-20,-57,0,0,0,-99,0,0,0,130,0,0,0,-17,0,-86,0,-681,0,11,-19,0
Change in Investments,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,26,0,0,0,372,0
Other Investing Activities,-,-16,1,-,-174,-102,-65,133,71,-103,-21,-69,103,17,7,49,53,-70,6,165,29,-252,-89,96,4,-62,35,40,-224,-16
Investing Cash Flow,-,-126,-67,-63,"-3,749",-244,-134,-28,-42,-374,-256,-307,-96,-386,-318,-119,-114,-67,-174,44,-82,-251,-266,-164,-150,-984,-229,-185,-89,-314
Dividends Paid,-,0,0,0,-76,-79,-76,-74,-74,-91,-93,-92,-93,-117,-118,-118,-123,-129,-131,-149,-156,-156,-172,-182,-182,-190,-192,-192,-202,-200
Share Issuance / Repurchase,-,0,0,0,0,-477,-513,-512,0,"-1,461",0,0,-250,0,0,0,0,0,0,0,-106,-328,-236,-226,-265,-101,0,-99,-120,-319
Debt Issued / Paid,-,32,227,-272,-280,"3,413",-829,-119,-44,-68,-48,-18,-161,-360,-115,"1,203",-21,-76,-36,-841,-15,-3,-11,11,0,0,-5,5,0,-651
Other Financing Activities,-,-363,230,"1,359","7,024",-150,-135,-114,-157,-96,-91,-85,-65,-61,-94,-63,-57,-64,-88,-40,-23,-71,-50,-2,18,-4,-53,-14,11,3
Financing Cash Flow,-,-331,457,"1,087","6,668","2,707","-1,553",-819,-275,"-1,716",-232,-195,-569,-538,-327,"1,022",-201,-269,-255,"-1,030",-300,-558,-469,-399,-429,-295,-250,-300,-311,"-1,167"
Exchange Rate Effect,-,-17,2,15,31,4,-6,-44,-37,-41,22,-26,-25,8,-72,-11,25,30,1,11,-21,-38,1,-21,-95,18,-55,16,-14,-6
Net Cash Flow,-,-17,46,995,"2,755","2,253","-1,399",-752,-114,"-1,042",-650,65,-330,441,-239,"1,122",-71,71,250,-469,13,-73,-662,-263,-77,-363,-73,390,396,-555
Free Cash Flow,-,362,-414,-106,-406,-366,225,-22,147,875,-419,355,161,"1,053",153,62,52,250,498,385,305,645,-105,147,417,657,197,623,592,634
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,9.52%,20.34%,-,-82.54%,-67.70%,-76.26%,225.49%,520.97%,486.54%,158.00%,-,-61.82%,36.72%,1.86%,-,323.81%,41.97%,-3.50%
Free Cash Flow Margin,-,10.87%,-13.51%,-3.52%,-7.66%,-6.31%,4.17%,-0.40%,2.59%,13.97%,-7.46%,5.92%,2.74%,16.59%,2.82%,1.31%,1.03%,4.55%,10.41%,7.49%,5.99%,11.76%,-2.17%,2.91%,7.77%,11.13%,3.45%,9.87%,8.91%,9.28%
Free Cash Flow Per Share,-,0.32,-0.36,-0.09,-0.35,-0.32,0.20,-0.02,0.13,0.80,-0.40,0.34,0.15,1.02,0.15,0.06,0.05,0.24,0.48,0.37,0.29,0.62,-0.10,0.14,0.41,0.65,0.20,0.61,0.59,0.63
